Generation,Orientation Variance,Velocity Variance
0,0.0900898031838408,0.017079364187046
1,0.0434123956231804,0.00352824693705817
2,0.0416090685946207,0.00195929722828715
3,0.0272285766821912,0.00598905467296796
4,0.0176451537259915,0.00273044164029349
5,0.0120378584958575,0.00291236342153141
6,0.0217304391292537,0.00150772218783422
7,0.0197823225737001,0.0028257908525871
8,0.0249163682619675,0.00451287534128412
9,0.0210109553399152,0.0065509850935194
10,0.0255576606098268,0.00607090746262752
11,0.0168685789310692,0.00227209132106847
12,0.0120836257065137,0.00234347596438284
13,0.012713810237328,0.00327660574561613
14,0.0232010119490021,0.00371785423397063
15,0.0210054897753109,0.00313069654227797
16,0.0211574046145138,0.00707072086891108
17,0.0221078109802062,0.00396031994530641
18,0.0151009382114459,0.00188989910049197
19,0.0179997216321802,0.00256627675627297
20,0.0178872375850302,0.000746946558860571
21,0.0130686307028184,0.00189711944144786
22,0.0127812769952135,0.00118178467280527
23,0.0091756535696861,0.000339263635094078
24,0.0136625054602987,0.00114603773294656
25,0.0119807557725614,0.000575952795925981
26,0.0168068758911268,0.000426924968484465
27,0.0139545684361264,0.00157065033591707
28,0.0121207403453811,0.000268980840257505
29,0.0102642446609214,0.000726120359821613
30,0.0124193341134625,0.00408438345354814
31,0.0131521147773397,0.00275068055977375
32,0.00952413676692876,0.000485046675867293
33,0.00861507732941065,0.000845201129256561
34,0.0111672365934641,0.000619678359280032
35,0.0112055212043662,0.000492149652122412
36,0.0127320284361199,0.000381590506928084
37,0.00715266735505888,0.000436937156013223
38,0.00857181074216982,0.00109939664910058
39,0.00978972691922986,0.000580433886393374
40,0.0122789005393122,0.00261392582451153
41,0.00955262637897637,0.000746101900782414
42,0.0114351250347083,0.000475353595264379
43,0.0125539228527532,0.00165036423617396
44,0.00588444503848569,0.000551036461109693
45,0.0105157356368507,0.00047904123901442
46,0.00951153566028047,0.000517528851980812
47,0.0110206714727655,0.00176842596250209
48,0.0113027269371681,0.000206821566257197
49,0.0103678038802356,0.00025125268303162
50,0.0102145315365157,0.000463743223120874
51,0.0127312254763831,0.00211975543847372
52,0.00825745419102774,0.000371229044715264
53,0.0127552938031942,0.000243568897261427
54,0.0137679587994706,0.000275376440341508
55,0.0110670725464158,0.000494526467282643
56,0.0103660932322822,9.81494407510554E-05
57,0.0125009734726164,0.00103524384872806
58,0.0111709518464659,0.000863167125701474
59,0.0137638331639887,0.000994171870287837
60,0.0125038840402433,0.000440186843154708
61,0.0106184482767291,0.00115698896333579
62,0.0148737758829568,0.000781104770561769
63,0.00502146248333003,0.00164751006113062
64,0.00365499057895384,0.00174192920287517
65,0.00483677755838219,0.000184704241388226
66,0.00687813170049091,0.000268830728325231
67,0.00714609655659887,0.000386460959583211
68,0.00963820734491798,0.000874053383299114
69,0.00923220005194343,0.00142174422418871
70,0.00901500606953661,0.0011456276409624
71,0.00994382942872675,0.000352382350033311
72,0.0089657802344223,0.000333430680182078
73,0.00954939747954305,0.000491208903509153
74,0.0107691089457601,0.00035567801376048
75,0.00602134081898953,4.94826549849837E-05
76,0.013059243841652,0.000323753642247332
77,0.00858311569071092,5.26819201757763E-05
78,0.0104562740564642,6.60008419663086E-05
79,0.0109440375546283,0.000214070266196558
80,0.015527552793848,0.000839139720469608
81,0.00876256015444673,0.000235056341667361
82,0.0215441361147235,0.000819474532249639
83,0.0125502611589,0.000889228548696798
84,0.0108676020293811,0.000937684412248493
85,0.0134058749354017,0.000270640494943681
86,0.0135412828399434,0.000596205801080588
87,0.00982480013753058,0.00122619468889308
88,0.0178253490030704,0.00143824574268598
89,0.0176761907771606,0.00115732229975256
90,0.0108866601886868,0.000358645277585962
91,0.0149161525266099,0.00385871843136162
92,0.0133444707797294,0.00297474640739343
93,0.0194426293876565,0.00308736094715944
94,0.0121166483959269,0.00220296356128701
95,0.0146855593324717,0.00189303141169474
96,0.0193675587584584,0.00221770953439028
97,0.0229045681990217,0.00423951170785824
98,0.0124012140694969,0.00188305910046348
99,0.0102166463934114,0.00110790280152238
100,0.012205012158363,0.00105895970509903
101,0.00989488248508333,0.0008413528991359
102,0.017175845155101,0.00253412496045419
103,0.014014853106925,0.000907063325756598
104,0.0109586799449507,0.000853182609196032
105,0.011053103918136,0.000924228408189035
106,0.0097978940973303,0.000897158007119185
107,0.012450695145034,0.00184637922203259
108,0.00818536546898425,0.000718781739252496
109,0.0173669642991885,0.0063811215970306
110,0.00975143201434379,0.00279578327005004
111,0.0103367250733733,0.00127477602480548
112,0.0104154819199975,0.000330647176722996
113,0.0125867506874682,0.00135526646306935
114,0.00978953891467866,0.00561343100722517
115,0.0131724097319359,0.00455628329130516
116,0.0129054107534081,0.00244117839064437
117,0.0154662770251589,0.0082253137073097
118,0.00875535275447586,0.00155222637406884
119,0.0150740034558408,0.00955304915707157
120,0.00678062363240726,0.00178393711933081
121,0.0120014074291289,0.00988736707552428
122,0.0165234191906,0.00353711719824513
123,0.00949372292173255,0.00630655581834998
124,0.0148085641386683,0.00952283131384936
125,0.0156216440922612,0.00393864130509658
126,0.0113776148722409,0.00896513766590597
127,0.014769580718342,0.00451823543836299
128,0.0152229677668938,0.00819142788600541
129,0.0156462152908615,0.00733440535443148
130,0.0159775631158715,0.00738660034171839
131,0.0179662484881447,0.0112937442136817
132,0.0182697230801806,0.00686641868678422
133,0.0153416486030432,0.00703773257000487
134,0.017628321050684,0.00808380718586668
135,0.0135771825350065,0.00228399129392637
136,0.0117816824138977,0.00476528093960884
137,0.0104483527607664,0.00424907129066016
138,0.016820598486658,0.00401963313069876
139,0.0116950130753223,0.00808562814698863
140,0.0124168948325506,0.00284571767724936
141,0.00609924750197471,0.00575524516615065
142,0.010408127891268,0.00504716139205605
143,0.0102995913457843,0.00429622432877497
144,0.00624516829494536,0.00391708494591081
145,0.0172547087019509,0.00745724854934891
146,0.00737678865198739,0.00130775733427871
147,0.00688105337589813,0.00178400016640065
148,0.00554963233998745,0.0010415050464402
149,0.0058737214106247,0.000614065612576949
150,0.00603658232376135,0.00191474795669244
151,0.00700397161883255,0.00413681526397287
152,0.00641869571772253,0.00181678309019976
153,0.0108532767611919,0.0013304501600358
154,0.00699898077420839,0.00281974752688463
155,0.00757207638351224,0.000921761474562166
156,0.00628521184271429,0.00182259254232896
157,0.00439740446350877,0.00243701903676734
158,0.00664995918306921,0.00372435038736815
159,0.0111377759575142,0.004763237656634
160,0.00765761536009805,0.0013463775094071
161,0.00761814748327676,0.00342137896848562
162,0.00566167494977986,0.0192493190364309
163,0.00631004395191523,0.00213357642262014
164,0.00552207797390777,0.00380209079483347
165,0.00513810248148483,0.00446136590958038
166,0.0061934734459162,0.00381689090233466
167,0.00532112179740432,0.00333417912925296
168,0.00393101140274949,0.00170324227694837
169,0.00349950160002276,0.00127604535012742
170,0.00350035975336366,0.00122229417791737
171,0.0018958590206416,0.00269783106446762
172,0.00270393806679926,0.00184597322903653
173,0.00197800425101339,0.00145442393351031
174,0.00296513646408193,0.00117774675498667
175,0.00203661282047519,0.00207972605138056
176,0.00248421156093832,0.00206468032335654
177,0.00531898961584247,0.00156429161105678
178,0.00319663092371409,0.00127813470052549
179,0.00527818469404505,0.000759861684062644
180,0.00328022312369952,0.00177172044527609
181,0.00255331742644698,0.000639073859468832
182,0.00272934735997814,0.00132760472252905
183,0.00179895361702853,0.00164799381164177
184,0.00113371388925938,0.000420042988405911
185,0.00149807055762834,0.000937623831065899
186,0.00384518975831664,0.00356893710781087
187,0.000990869883525956,0.0016133730603421
188,0.00316206628613106,0.0018756211036244
189,0.000804475366608722,0.00020071200060871
190,0.00261826968937841,0.000133793746514261
191,0.00351568900544515,0.000225534895640554
192,0.0037974375719117,0.00136274909251678
193,0.00151709630328299,0.00159735031887259
194,0.00141567864411706,0.000581252032335103
195,0.00132223586359311,0.000148313687820909
196,0.00073848199201988,0.00055528315387806
197,0.00203450245262596,0.000693426361423672
198,0.00122160633571395,0.00104796282239551
199,0.00145210321500915,0.000763415396274248
200,0.0018501887372283,0.00402403731908075
