Step,Best,Average
1,1500,69
2,1600,26
3,1000,135
4,1500,224
5,1800,320
6,1700,371
7,1500,124
8,2300,279
9,1700,340
10,1100,248
11,1800,324
12,2100,522
13,1400,107
14,1900,364
15,1700,578
16,1900,490
17,2200,476
18,2000,675
19,2200,520
20,1900,372
21,2000,747
22,2800,635
23,2000,553
24,2700,356
25,2300,475
26,2600,1121
27,2300,998
28,2600,924
29,2600,1302
30,2200,544
31,2000,256
32,1900,193
33,1600,136
34,1000,134
35,1300,53
36,1800,566
37,2200,748
38,2100,799
39,1200,302
40,700,171
41,500,312
42,0,0
43,200,195
44,200,139
45,800,400
46,500,16
47,300,201
48,200,200
49,0,0
50,500,350
51,500,162
52,100,100
53,100,100
54,200,194
55,200,200
56,100,100
57,100,1
58,300,295
59,400,210
60,300,220
61,600,210
62,200,200
63,800,207
64,500,407
65,200,114
66,100,100
67,0,0
68,0,0
69,200,105
70,100,100
71,500,220
72,0,0
73,0,0
74,100,97
75,100,100
76,0,0
77,600,326
78,200,193
79,100,97
80,0,0
81,500,318
82,700,400
83,300,204
84,700,572
85,100,100
86,200,130
87,400,300
88,100,2
89,700,493
90,800,506
91,100,100
92,200,200
93,700,439
94,400,305
95,200,101
96,100,100
97,100,100
98,200,195
99,100,100
100,0,0
101,200,200
102,500,324
103,100,100
104,0,0
105,100,100
106,100,100
107,500,354
108,800,505
109,0,0
110,0,0
111,600,397
112,200,173
113,0,0
114,100,100
115,800,431
116,800,466
117,200,145
118,300,107
119,300,297
120,200,199
121,0,0
122,500,131
123,500,495
124,100,100
125,0,0
126,200,200
127,100,100
128,0,0
129,400,103
130,200,188
131,0,0
132,0,0
133,300,141
134,100,100
135,400,276
136,0,0
137,0,0
138,100,100
139,200,101
140,100,100
141,200,198
142,0,0
143,200,200
144,300,201
145,200,83
146,200,102
147,0,0
148,200,59
149,0,0
150,200,110
151,0,0
152,0,0
153,100,100
154,0,0
155,0,0
156,100,95
157,300,284
158,200,200
159,0,0
160,0,0
161,100,95
162,100,100
163,0,0
164,200,123
165,300,260
166,200,114
167,400,323
168,300,116
169,0,0
170,200,155
171,500,312
172,0,0
173,0,0
174,0,0
175,200,101
176,100,100
177,0,0
178,0,0
179,200,170
180,100,80
181,0,0
182,0,0
183,100,100
184,0,0
185,0,0
186,100,100
187,100,100
188,300,269
189,0,0
190,100,100
191,0,0
192,300,212
193,0,0
194,100,2
195,100,88
196,200,200
197,100,5
198,100,100
199,100,100
