Step,Best,Average
1,1500,278
2,2000,281
3,2100,214
4,1700,424
5,1500,256
6,2000,353
7,1700,247
8,1600,234
9,1600,239
10,2100,362
11,2000,473
12,2400,503
13,2100,489
14,1900,765
15,2200,1262
16,2500,1288
17,2100,1256
18,2400,1169
19,2300,1446
20,2200,1282
21,2500,1109
22,0,0
23,1400,563
24,200,3
25,0,0
26,300,233
27,400,239
28,800,607
29,400,114
30,1200,606
31,600,401
32,1900,920
33,0,0
34,100,99
35,0,0
36,2300,1059
37,0,0
38,2400,1498
39,1900,1272
40,1700,767
41,1700,202
42,2400,433
43,2100,1537
44,1000,453
45,200,110
46,100,100
47,700,563
48,800,574
49,200,200
50,400,259
51,0,0
52,0,0
53,0,0
54,100,68
55,900,544
56,100,100
57,0,0
58,300,300
59,100,100
60,600,261
61,0,0
62,100,100
63,0,0
64,1100,723
65,100,71
66,0,0
67,400,220
68,500,500
69,0,0
70,600,552
71,0,0
72,0,0
73,0,0
74,300,300
75,0,0
76,600,105
77,900,669
78,0,0
79,500,66
80,1100,349
81,400,312
82,400,243
83,500,140
84,100,100
85,1400,1110
86,0,0
87,0,0
88,0,0
89,900,753
90,200,200
91,0,0
92,0,0
93,0,0
94,300,212
95,700,233
96,200,199
97,1600,267
98,400,398
99,100,100
100,800,442
101,100,100
102,0,0
103,500,466
104,100,100
105,400,192
106,100,100
107,700,624
108,400,400
109,900,314
110,0,0
111,100,100
112,500,104
113,100,100
114,100,100
115,200,200
116,1300,394
117,0,0
118,100,100
119,400,394
120,900,304
121,1200,780
122,0,0
123,400,282
124,1000,443
125,0,0
126,200,198
127,400,301
128,800,288
129,500,377
130,100,100
131,500,218
132,0,0
133,400,366
134,300,28
135,300,293
136,0,0
137,200,200
138,900,457
139,900,353
140,0,0
141,300,217
142,1300,712
143,100,74
144,100,99
145,200,200
146,1100,595
147,400,202
148,900,545
149,800,721
150,1400,385
151,100,100
152,100,100
153,200,198
154,100,100
155,700,683
156,400,399
157,1100,451
158,400,400
159,1600,681
160,0,0
161,400,240
162,300,300
163,800,192
164,100,100
165,900,785
166,500,317
167,500,448
168,900,296
169,100,100
170,300,262
171,500,231
172,1000,499
173,0,0
174,200,200
175,400,202
176,100,100
177,1400,820
178,1100,614
179,600,271
180,300,258
181,500,322
182,700,415
183,0,0
184,200,111
185,700,373
186,500,115
187,0,0
188,1500,645
189,800,252
190,200,200
191,1100,548
192,800,506
193,0,0
194,300,293
195,1800,606
196,100,100
197,800,470
198,0,0
199,1300,794
