generation,averageFitness,topFitness,Updates
0,634.24,6019,0
1,2069.28,5018,0
2,2483.34,4019,0
3,3142.6,5020,0
4,1909.25,5018,0
5,1810.34,8005,0
6,2081.78,8009,0
7,2892.04,8014,0
8,2281.02,9020,0
9,3561.17,10007,0
10,2203.36,7015,0
11,3392.97,9026,0
12,2394.44,10016,0
13,2551.01,9019,0
14,2813.7,9013,0
15,2531.78,11015,0
16,2251.82,8016,0
17,3944.12,13019,0
18,3182.81,10017,0
19,6117.17,14016,0
20,5218.05,9019,0
21,5096.05,10021,0
22,4607.48,10015,0
23,4707.5,11017,0
24,5838.17,12018,0
25,5189.74,11027,0
26,5527.89,13017,0
27,5709.31,13024,0
28,5686.87,10019,0
29,5868.26,12013,0
30,5295.38,11020,0
31,5018.32,13014,0
32,6566.08,11019,0
33,5137.01,11025,0
34,6309.35,12013,0
35,6118.79,12019,0
36,6068.34,16024,0
37,6208.02,13021,0
38,6257.46,12024,0
39,6679.58,13012,0
40,6288.83,11018,0
41,5879.51,12026,0
42,6638.02,14027,0
43,5699.73,12021,0
44,7558.71,15023,0
45,7238,15024,0
46,6878.37,13015,0
47,8049.51,17023,0
48,7858.63,13022,0
49,7059.51,15017,0
50,7799.02,14017,0
51,8209.9,15023,0
52,7341.38,14023,0
53,8258.87,16017,0
54,7000.22,15029,0
55,7367.28,16014,0
56,8320.37,14022,0
57,7289.6,18019,0
58,8058.16,17010,0
59,7401.93,13018,0
60,8468.92,14022,0
61,7672.75,15022,0
62,6939.5,14023,0
63,7887.9,15018,0
64,8878.77,17011,0
65,8438.69,16015,0
66,10481.12,17019,0
67,8167.11,15019,0
68,8619.34,18019,0
69,7807.16,15023,0
70,6629.41,14023,0
71,8420.37,15019,0
72,7859.52,15019,0
73,8469.81,14029,0
74,7550.11,15021,0
75,8318.57,16024,0
76,8188.21,18015,0
77,7108.58,15015,0
78,6329.65,13018,0
79,7646.96,19016,0
80,6948.47,15027,0
81,8348.99,17016,0
82,7527.12,14018,0
83,7206.57,17014,0
84,7727.84,15017,0
85,7759.7,14021,0
86,9788.8,19024,0
87,10009.78,17019,0
88,9088.79,15021,0
89,9158.05,16016,0
90,9208.33,16020,0
91,8727.9,15023,0
92,8196.61,17024,0
93,9411.92,14026,0
94,8938.2,17023,0
95,8658.08,16019,0
96,8237.98,17013,0
97,8518.43,18029,0
98,9289.68,15019,0
99,9229.21,18029,0
100,9619.18,17025,0
101,9617.43,16026,0
102,9697.9,18016,0
103,8424.34,17017,0
104,9867.18,18023,0
105,9698.13,18027,0
106,10698.49,18017,0
107,9116.04,17020,0
108,9757.3,17015,0
109,9428.48,16031,0
110,8908.29,17015,0
111,10750.51,18026,0
112,8707.84,18025,0
113,10019.33,17019,0
114,10859.73,19021,0
115,10191.25,19024,0
116,10740.13,18017,0
117,11419.92,18023,0
118,11708.76,18020,0
119,9720.06,16024,0
120,10071.45,17024,0
121,11049.9,17027,0
122,11620.32,20024,0
123,10501.43,18021,0
124,10679.88,18023,0
125,10819.74,18019,0
126,10810.72,15028,0
127,10341.87,17022,0
128,10761.53,21018,0
129,10290.22,17019,0
130,11779.45,19023,0
131,10431.31,16026,0
132,10021.02,19022,0
133,10670.56,17021,0
134,10980.32,18012,0
135,11509.29,17014,0
136,12229.8,22020,0
137,11671.5,20021,0
138,10939.99,20020,0
139,10052.82,18025,0
140,11472.13,18022,0
141,12029.38,21017,0
142,11719.72,19013,0
143,11761.9,19021,0
144,12779.06,21022,0
145,11441.4,17018,0
146,11101.77,20028,0
147,11248.13,18029,0
148,10950.22,18012,0
149,10118.48,17012,0
150,12008.7,20014,0
151,11029.82,20020,0
152,11001.99,19023,0
153,10560.59,16025,0
154,12050.72,21027,0
155,10989.23,18015,0
156,11870.95,19019,0
157,10538.71,17015,0
158,10280.47,17017,0
159,12189.04,18015,0
160,10441.37,19022,0
161,10930.41,16023,0
162,11329.52,18017,0
163,11456.71,21022,0
164,10331.07,17013,0
165,10478.35,19024,0
166,11470.29,18016,0
167,11978.66,21013,0
168,11870.01,19024,0
169,11901.33,17031,0
170,10350.49,17019,0
171,10570.21,16022,0
172,10718.5,20016,0
173,11830.62,19021,0
174,12668.81,18022,0
175,11299.31,17021,0
176,11499.6,18023,0
177,11278.26,19016,0
178,11938.67,18024,0
179,10618.36,17010,0
180,10859.68,18011,0
181,10959.95,16028,0
182,9818.56,17016,0
183,10790.19,18022,0
184,9620,19027,0
185,11451.67,21038,0
186,11280.5,17027,0
187,10827.66,18015,0
188,11757.91,20021,0
189,11840.84,18028,0
190,10569.81,18025,0
191,11659.05,20021,0
192,10318.8,21024,0
193,11700.32,20015,0
194,12588.45,22019,0
195,10888.4,20021,0
196,9930.32,16017,0
197,11018.14,19023,0
198,11079.82,18021,0
199,10689.07,18023,0
200,12177.37,23016,0
201,11498.65,20013,0
202,10819.64,20015,0
203,11327.02,19014,0
204,11819.95,18020,0
205,10759.75,18019,0
206,11329.47,18026,0
207,11618.34,24015,0
208,9607.2,17021,0
209,11839.16,20019,0
210,11727.52,23020,0
211,11010.07,21015,0
212,12607.16,21010,0
213,11507.87,20019,0
214,10806.76,19018,0
215,11458.9,20025,0
216,11638.85,22023,0
217,12038.28,23021,0
218,11877.87,21018,0
219,12260.51,17023,0
220,11159.27,20019,0
221,12260.83,21026,0
222,11718.68,20017,0
