Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.0822711106321,0.0171918804543,0.0199789735245,0.0152698993273,100
1,0.0519423546549,0.0116162443331,0.00476610603004,0.00256783564899,100
2,0.0467206123748,0.012138271414,0.00369787158448,0.00265452281337,100
3,0.0448212360987,0.0127116829955,0.00314743654997,0.00272254588443,100
4,0.0438353391525,0.0134695891414,0.00285160243796,0.00264442709986,100
5,0.0428861630104,0.0130461840752,0.00248333469545,0.00191467171829,100
6,0.0432019098242,0.0130182933294,0.00241872679286,0.00206988297222,100
7,0.0416733910877,0.0143344682159,0.00209997820683,0.00181992406685,100
8,0.0410119032546,0.0145691475556,0.00199001016055,0.0016674145231,100
9,0.039986707871,0.0143783549922,0.00191655866522,0.00163804022026,100
10,0.0395735718869,0.0152556036199,0.00187554302006,0.00198965766276,100
11,0.0393788006885,0.0153638771284,0.0019419210014,0.00172182984541,100
12,0.038534774625,0.015707391238,0.00184557109064,0.00171899425146,100
13,0.037267239992,0.0142810402117,0.00182675536167,0.00187577583821,100
14,0.0387247261303,0.0151129349452,0.00175627919991,0.00191993046867,100
15,0.0375321912125,0.015065112607,0.00168792150684,0.00170318449549,100
16,0.0377875222876,0.0146611902644,0.00158639124848,0.00166063773381,100
17,0.0359303259591,0.0147398091479,0.00161485493962,0.00169048676631,100
18,0.0361604426766,0.0150841410531,0.00156656616617,0.0015756780891,100
19,0.0347986975005,0.0146592582126,0.0016454401977,0.00153127056008,100
20,0.0346751857084,0.01507068828,0.00150711589453,0.00159903081604,100
21,0.0338380858865,0.0148930222964,0.00150512147603,0.00158133598241,100
22,0.0335872692437,0.0146546598605,0.00143228693058,0.00141631874458,100
23,0.0337685407315,0.0149451142411,0.00139823700075,0.0013417414609,100
24,0.0344282963242,0.0156088402375,0.00143613437013,0.00142839863998,100
25,0.0337314933764,0.0170047075101,0.00146445041885,0.00190894792473,100
26,0.0317244059281,0.0153814412864,0.00143728579255,0.00190876986127,100
27,0.0322750759874,0.0165954541288,0.00162647583037,0.00176322716422,100
28,0.0308454269653,0.0156206180748,0.00156027292539,0.00155067669803,100
29,0.0317920402782,0.0169769411284,0.00142983459755,0.00145752202197,100
