generation,averageFitness,topFitness
0,342.5,1100
1,168.5,1250
2,353,1000
3,626,1400
4,415,1050
5,884.5,1750
6,960,1550
7,982.5,1800
8,945.5,1800
9,1309.5,1850
10,1111.5,2100
11,1039,1900
12,1183.5,1700
13,1511.5,2350
14,1612.5,2350
15,1119,2350
16,1366.5,1900
17,1913,2300
18,976,1450
19,1534,2350
20,2064.5,2700
21,1454.5,1900
22,1183.5,1600
23,1403.5,1800
24,1193.5,2250
25,1220.5,1600
26,1014,1850
27,1318,2150
28,1195,1700
29,1501.5,1950
30,1238,1800
31,1009,1850
32,1203,1800
33,1433,2000
34,1329,1900
35,1231.5,1900
36,1244.5,2300
37,1562.5,2250
38,1333,1900
39,1133.5,1650
40,1438,2150
41,1294,1950
42,1625,2250
43,1426,2100
44,1514.5,2400
45,1580,2150
46,1479.5,1950
47,1389,2100
