generation,averageFitness,topFitness
0,42.5,1100
1,326,1150
2,12.5,450
3,610.5,1500
4,55,950
5,182.5,1250
6,85.5,1150
7,273.5,1450
8,302,1200
9,149.5,900
10,208,1600
11,920.5,1800
12,309,1050
13,453.5,1650
14,352,1100
15,554,1650
16,538.5,1650
17,439.5,1450
18,378,1500
19,302,1300
20,467.5,1400
21,278,1600
22,444,1700
23,330.5,1150
24,354,1500
25,573.5,1450
26,194.5,1000
27,564.5,2200
28,431,1650
29,295.5,1600
30,442.5,1850
31,483,1350
32,389,1400
33,206,1200
34,317,1350
35,172,1150
36,498.5,1600
37,285,1150
38,268,1050
39,483.5,1500
40,472.5,1600
41,486.5,1650
42,300.5,1050
43,194,1250
44,283.5,1500
45,370.5,1100
46,387,1450
47,408.5,1100
48,593,1600
49,317.5,1350
50,366.5,1400
51,567.5,1700
52,549,1650
53,644,1400
54,283,1350
55,576.5,1650
56,862.5,2300
57,398,1500
58,480.5,1500
59,488.5,1550
60,684,2000
61,783,1800
62,405.5,1250
63,1000,2250
64,658.5,1450
65,759.5,1550
66,1052,2000
67,146,950
68,611,1450
69,297,1200
70,585.5,1750
71,325.5,1350
72,572.5,1600
73,811.5,1700
74,265,1000
75,460.5,1500
76,476,1750
77,1019,2000
78,544,1450
79,429,1050
80,696.5,1900
81,682,1600
82,508.5,1600
83,385,1200
84,590.5,1750
85,390,1250
86,464,1550
87,641,1850
88,926.5,1750
89,938.5,1950
90,781,1850
91,477,1700
92,635,1650
93,543.5,1650
94,998.5,2000
95,611,1950
96,352,1300
97,419.5,1450
98,439,1600
99,703,2150
100,788,1650
101,702,1700
102,699,1550
103,835.5,1900
104,894.5,2050
105,515.5,1950
106,246,1700
107,752,1900
108,415.5,1700
109,384,1250
110,549,1300
111,546,1700
112,573,1650
113,433.5,1800
114,437.5,1550
115,583.5,2100
116,541,1450
117,569,1700
118,426,1200
119,330.5,1200
120,641.5,1650
121,584.5,1600
122,536,1600
123,449.5,1250
124,396.5,1200
125,405,1300
126,797,1900
127,381.5,1900
128,692.5,1850
129,486.5,1600
130,472,1600
131,634,1750
132,115,950
133,352.5,1600
134,635,1800
135,191,1200
136,424,1700
137,607.5,1550
138,533,1550
139,494.5,1100
140,782.5,1700
141,530.5,1450
142,602,1100
143,334.5,1850
144,447,1650
145,646,1600
146,647.5,1550
147,586.5,1700
148,319.5,1350
149,470.5,1650
150,965,1900
151,730,1600
152,1217,2150
153,344,1350
154,578,1500
155,780,1800
156,403,1950
157,532.5,1300
158,311,1550
159,747,1900
160,392.5,1850
161,687,1650
162,803,1750
163,824,2200
164,1019,1900
165,261.5,1750
166,313.5,1350
167,410.5,1450
168,579.5,1800
169,420,1300
170,89.5,950
171,619.5,1500
172,447.5,1500
173,757,1750
174,573,1700
175,529,1650
176,706.5,1800
177,264,1700
178,821,2050
179,536.5,1750
180,399.5,1300
181,399,1650
182,704,2050
183,770,1850
184,420,1250
185,272,1500
186,685.5,1350
187,605,2050
188,612.5,2450
189,149.5,1100
190,532,1350
191,375.5,1800
192,715.5,1650
193,520.5,1650
194,686,1550
195,966,2300
196,331.5,1250
197,537.5,1500
198,376.5,1500
199,754,1850
200,310.5,1500
201,507.5,1250
202,850,2000
203,485.5,1550
204,455,1400
205,764,1800
206,446,1150
207,301,1250
208,524,1500
209,594.5,1450
210,880.5,2000
211,735,1500
212,890,1900
213,405.5,1600
214,550.5,1400
215,491.5,1650
216,192,1000
217,650,1500
218,550.5,1750
219,865,2000
220,256.5,1150
221,340,1400
222,450,1500
223,289,1700
224,623,1900
225,483,1400
226,551.5,1900
227,738,2100
228,838,1750
229,410,1400
230,453.5,1500
231,718.5,2000
232,934.5,2000
233,639.5,1700
234,739.5,1600
235,797.5,1750
236,498.5,1650
237,455.5,1650
238,709,1650
239,449,1900
240,947,1900
241,468,1450
242,523,2050
243,634,2000
244,444,1900
245,378,1100
246,418,1600
247,392.5,1850
248,541.5,1400
249,527,1650
250,386.5,1300
251,620.5,1600
252,177,1300
253,511.5,1800
254,423,1550
255,590,1600
256,826.5,1800
257,615,1750
258,974,2300
259,529.5,1550
260,193,1000
261,630.5,1650
262,558,1800
263,403.5,1600
264,717.5,1850
265,440.5,1450
266,114.5,1350
267,624,2000
268,893.5,2250
269,411,1550
270,661.5,1750
271,875,2150
272,346.5,1500
273,624,1600
274,286,1100
275,470,1500
276,339.5,1400
277,331,1350
278,322.5,1200
279,588,1550
280,297,1500
281,605.5,1550
282,431.5,1750
283,562,1650
284,650.5,1550
285,337.5,1350
286,461,1400
287,552,1650
288,925.5,2050
