Step,Best,Average
1,700,44
2,300,31
3,800,69
4,1100,75
5,2200,377
6,1800,180
7,1600,380
8,1700,324
9,1900,594
10,1900,695
11,1900,622
12,2200,582
13,2000,1116
14,2000,939
15,2100,1202
16,2200,852
17,2000,1150
18,1900,1180
19,2200,1171
20,2300,1332
21,2000,1245
22,1900,1385
23,2200,1381
24,2400,1584
25,2000,1345
26,2300,1481
27,2300,1455
28,2300,1549
29,1800,1268
30,2000,1152
31,2500,1574
32,2100,1434
33,1800,1353
34,1900,1289
35,2200,1519
36,2100,1484
37,2200,1572
38,2000,1234
39,2400,1435
40,2200,1523
41,2200,1605
42,2100,1399
43,2000,1138
44,2000,1274
45,2100,1497
46,2400,1528
47,2300,1491
48,2300,1589
49,2000,1361
50,2200,1480
51,2200,1226
52,2500,1454
53,1900,1188
54,1500,1029
55,1800,1265
56,2300,1463
57,2200,1602
58,2100,1470
59,2100,1581
60,2300,1629
61,1000,397
62,200,112
63,600,284
64,300,243
65,0,0
66,0,0
67,0,0
68,800,408
69,1700,1053
70,2100,718
71,1000,398
72,900,480
73,600,446
74,1100,271
75,100,36
76,600,303
77,1900,348
78,1700,713
79,2300,1590
80,2200,947
81,1200,363
82,800,174
83,1100,475
84,1400,536
85,500,389
86,1300,490
87,0,0
88,0,0
89,1000,386
90,400,302
91,1000,510
92,600,263
93,700,261
94,800,340
95,500,185
96,1000,439
97,1300,597
98,1100,272
99,0,0
100,1100,330
101,800,419
102,800,508
103,1400,542
104,1000,274
105,1200,402
106,300,111
107,1300,672
108,1200,413
109,1300,746
110,900,548
111,0,0
112,700,323
113,200,107
114,600,244
115,800,511
116,0,0
117,500,251
118,500,205
119,800,162
120,200,200
121,200,200
122,400,262
123,600,416
124,100,100
125,300,202
126,900,622
127,300,104
128,0,0
129,100,100
130,100,100
131,400,267
132,900,320
133,600,441
134,0,0
135,700,359
136,200,119
137,900,564
138,0,0
139,0,0
140,0,0
141,900,163
142,600,457
143,900,427
144,600,264
145,100,100
146,200,175
147,0,0
148,0,0
149,100,100
150,0,0
151,400,204
152,100,100
153,100,96
154,500,384
155,500,302
156,100,79
157,1000,547
158,600,524
159,0,0
160,300,299
161,200,200
162,100,100
163,1100,543
164,900,708
165,200,200
166,0,0
167,600,444
168,0,0
169,200,200
170,0,0
171,1200,405
172,1600,815
173,600,322
174,200,102
175,200,200
176,1600,742
177,400,304
178,800,515
179,100,100
180,200,200
181,1100,767
182,0,0
183,1000,319
184,100,100
185,1100,283
186,0,0
187,1400,1016
188,600,223
189,300,157
190,1300,507
191,1100,692
192,0,0
193,1100,326
194,300,229
195,0,0
196,1100,613
197,300,300
198,100,100
199,1100,349
