Generation,Average,Best,Updates,Samples
164,1860.35,2495.0,19000,10
165,1936.4,2545.0,19000,10
166,1939.55,2495.0,19000,10
167,1938.8,2510.0,19000,10
168,1988.95,2500.0,19000,10
169,1901.05,2470.0,19000,10
170,1941.8,2510.0,19000,10
171,1957.4,2520.0,19000,10
172,1913.0,2465.0,19000,10
173,1932.05,2475.0,19000,10
174,1890.5,2450.0,19000,10
175,2000.85,2525.0,19000,10
176,1927.9,2470.0,19000,10
177,1949.7,2515.0,19000,10
178,1992.3,2590.0,19000,10
179,1888.45,2535.0,19000,10
180,1810.75,2505.0,19000,10
181,1853.75,2505.0,19000,10
182,1898.55,2460.0,19000,10
183,1974.65,2565.0,19000,10
184,1998.65,2535.0,19000,10
185,1950.8,2505.0,19000,10
186,2001.35,2590.0,19000,10
187,1960.6,2510.0,19000,10
188,1983.75,2585.0,19000,10
189,1885.65,2470.0,19000,10
190,1923.85,2520.0,19000,10
191,1963.5,2545.0,19000,10
192,2028.6,2555.0,19000,10
193,1957.1,2530.0,19000,10
194,1975.45,2580.0,19000,10
195,1951.15,2550.0,19000,10
196,1923.4,2535.0,19000,10
197,1970.95,2510.0,19000,10
198,1986.4,2555.0,19000,10
199,2005.5,2570.0,19000,10
200,1911.2,2550.0,19000,10
201,1907.25,2560.0,19000,10
202,1990.05,2565.0,19000,10
203,2002.7,2565.0,19000,10
204,2000.4,2550.0,19000,10
205,2000.1,2565.0,19000,10
206,2020.95,2620.0,19000,10
207,1895.55,2510.0,19000,10
208,2039.05,2590.0,19000,10
209,2033.0,2535.0,19000,10
210,2007.65,2585.0,19000,10
211,1893.15,2555.0,19000,10
212,1979.6,2550.0,19000,10
213,2006.7,2575.0,19000,10
214,1908.25,2495.0,19000,10
215,2053.55,2575.0,19000,10
216,2032.4,2595.0,19000,10
217,1859.0,2490.0,19000,10
218,1956.4,2590.0,19000,10
219,2019.6,2600.0,19000,10
220,2040.5,2605.0,19000,10
221,2020.9,2610.0,19000,10
222,2003.7,2560.0,19000,10
223,2112.85,2635.0,19000,10
224,2038.15,2620.0,19000,10
225,2021.85,2555.0,19000,10
226,2046.55,2610.0,19000,10
227,2105.1,2595.0,19000,10
228,2004.5,2625.0,19000,10
229,1991.1,2590.0,19000,10
230,2070.9,2580.0,19000,10
231,1921.1,2630.0,19000,10
232,1916.7,2545.0,19000,10
233,2073.35,2590.0,19000,10
234,2050.85,2630.0,19000,10
235,2043.05,2610.0,19000,10
236,2026.95,2565.0,19000,10
237,2033.5,2590.0,19000,10
238,2065.95,2610.0,19000,10
239,2068.1,2595.0,19000,10
240,2041.35,2610.0,19000,10
241,2110.85,2620.0,19000,10
242,2028.75,2640.0,19000,10
243,2058.75,2635.0,19000,10
244,2032.6,2565.0,19000,10
245,2056.3,2585.0,19000,10
246,2001.3,2570.0,19000,10
247,1922.55,2595.0,19000,10
248,2055.0,2600.0,19000,10
249,2012.15,2570.0,19000,10
250,2087.6,2615.0,19000,10
251,2110.4,2630.0,19000,10
252,2064.05,2580.0,19000,10
253,2050.25,2595.0,19000,10
254,1897.55,2605.0,19000,10
255,2014.35,2560.0,19000,10
256,2030.1,2570.0,19000,10
257,2124.25,2595.0,19000,10
258,2061.85,2630.0,19000,10
259,2048.2,2580.0,19000,10
260,2033.95,2580.0,19000,10
261,2096.5,2615.0,19000,10
262,1966.1,2605.0,19000,10
263,2051.25,2610.0,19000,10
264,2138.55,2630.0,19000,10
265,2087.9,2600.0,19000,10
266,1959.4,2615.0,19000,10
267,2042.3,2565.0,19000,10
268,2066.05,2640.0,19000,10
269,2060.9,2595.0,19000,10
270,2055.35,2610.0,19000,10
271,2078.35,2620.0,19000,10
272,2109.8,2645.0,19000,10
273,2087.1,2610.0,19000,10
274,2119.45,2660.0,19000,10
275,2071.55,2600.0,19000,10
276,2088.85,2645.0,19000,10
277,2040.8,2580.0,19000,10
278,2122.35,2625.0,19000,10
279,2099.1,2650.0,19000,10
280,2097.3,2605.0,19000,10
281,2025.1,2605.0,19000,10
282,2084.2,2620.0,19000,10
283,2104.2,2605.0,19000,10
284,2044.95,2575.0,19000,10
285,2097.7,2610.0,19000,10
286,1961.45,2565.0,19000,10
287,2027.05,2575.0,19000,10
288,2114.45,2665.0,19000,10
289,1915.6,2505.0,19000,10
290,2089.65,2630.0,19000,10
291,2108.35,2655.0,19000,10
292,2111.05,2620.0,19000,10
293,2074.25,2580.0,19000,10
294,2036.15,2555.0,19000,10
295,2064.0,2585.0,19000,10
296,2083.1,2630.0,19000,10
297,2086.65,2565.0,19000,10
298,2092.9,2600.0,19000,10
299,2090.5,2670.0,19000,10
300,1989.95,2545.0,19000,10
301,2056.75,2595.0,19000,10
302,2153.35,2685.0,19000,10
303,2080.15,2645.0,19000,10
304,2018.95,2570.0,19000,10
305,2109.4,2640.0,19000,10
306,2043.65,2605.0,19000,10
307,2008.1,2520.0,19000,10
308,2046.2,2580.0,19000,10
309,2095.15,2610.0,19000,10
310,2084.8,2590.0,19000,10
311,2079.3,2660.0,19000,10
312,1973.1,2535.0,19000,10
313,2094.3,2595.0,19000,10
314,2061.95,2580.0,19000,10
315,1943.15,2590.0,19000,10
316,2044.75,2585.0,19000,10
317,2088.3,2630.0,19000,10
318,2050.9,2575.0,19000,10
319,2094.35,2630.0,19000,10
320,2051.05,2570.0,19000,10
321,2139.45,2650.0,19000,10
322,2031.05,2605.0,19000,10
323,2091.65,2640.0,19000,10
324,2118.95,2610.0,19000,10
325,2116.4,2650.0,19000,10
326,2119.2,2665.0,19000,10
327,2097.2,2665.0,19000,10
328,2093.6,2625.0,19000,10
329,2090.25,2565.0,19000,10
330,2087.9,2630.0,19000,10
331,2065.55,2655.0,19000,10
332,2129.25,2645.0,19000,10
333,2091.1,2595.0,19000,10
334,2059.7,2565.0,19000,10
335,2106.7,2650.0,19000,10
336,2132.15,2625.0,19000,10
337,2139.7,2640.0,19000,10
338,2116.55,2650.0,19000,10
339,2064.65,2605.0,19000,10
340,2078.0,2615.0,19000,10
341,2108.3,2630.0,19000,10
342,2128.05,2680.0,19000,10
343,2104.05,2590.0,19000,10
344,2213.4,2695.0,19000,10
345,2078.25,2590.0,19000,10
346,2032.85,2600.0,19000,10
347,2174.0,2690.0,19000,10
348,2126.25,2655.0,19000,10
349,2117.35,2635.0,19000,10
350,2114.9,2600.0,19000,10
351,2142.55,2660.0,19000,10
352,2118.55,2650.0,19000,10
353,2117.2,2595.0,19000,10
354,2120.3,2635.0,19000,10
355,2084.05,2630.0,19000,10
356,2139.0,2650.0,19000,10
357,2094.5,2635.0,19000,10
358,2101.9,2620.0,19000,10
359,2116.05,2615.0,19000,10
360,2110.7,2640.0,19000,10
361,2124.25,2630.0,19000,10
362,2134.2,2665.0,19000,10
363,2140.9,2670.0,19000,10
364,2144.1,2655.0,19000,10
365,2120.35,2635.0,19000,10
366,2152.05,2675.0,19000,10
367,2109.85,2625.0,19000,10
368,2169.7,2680.0,19000,10
369,2094.7,2630.0,19000,10
370,2118.95,2635.0,19000,10
371,2136.0,2655.0,19000,10
372,2144.4,2660.0,19000,10
373,2141.85,2695.0,19000,10
374,2140.25,2635.0,19000,10
375,2105.25,2625.0,19000,10
376,2139.7,2655.0,19000,10
377,2167.0,2700.0,19000,10
378,2152.0,2640.0,19000,10
379,2132.0,2645.0,19000,10
380,2113.45,2630.0,19000,10
381,2163.75,2610.0,19000,10
382,2204.65,2685.0,19000,10
383,2184.95,2690.0,19000,10
384,2127.6,2625.0,19000,10
385,2165.25,2690.0,19000,10
386,2117.15,2625.0,19000,10
387,2118.55,2635.0,19000,10
388,2117.3,2615.0,19000,10
389,2126.7,2635.0,19000,10
