Generation,Average,Best,Updates,Samples
187,10637.572,17920.4,75782,10
188,11789.273,19916.7,65183,10
189,11227.124,19119.5,74117,10
190,10813.188,18218.5,59901,10
191,10923.005,18519.0,74148,10
192,11223.766,18416.5,64655,10
193,9760.296,16917.4,80155,10
194,9900.668,18216.5,48001,10
195,9526.376,17016.1,74046,10
196,10256.358,17715.2,74482,10
197,9974.688,17417.0,63681,10
198,10594.826,17916.2,76047,10
199,11736.124,19717.2,85683,10
200,11475.812,19418.2,66745,10
201,12123.513,20017.9,77300,10
202,11934.853,19817.5,89873,10
203,11801.494,19618.3,79187,10
204,12093.448,19619.7,76409,10
205,11427.785,19118.0,65940,10
206,12851.961,20117.6,64467,10
207,11897.467,20917.3,60724,10
208,11758.185,19219.8,78691,10
209,11489.585,19317.1,73730,10
210,11634.779,19618.4,77968,10
211,12739.861,19720.5,69751,10
212,12741.807,20518.8,67560,10
213,12327.227,19517.0,80332,10
214,12431.482,20116.1,45680,10
215,11325.744,19616.8,59196,10
216,13096.849,20415.7,76441,10
217,13222.683,20817.6,70044,10
218,11800.11,18916.0,59198,10
219,12027.449,20215.0,65597,10
220,11208.72,19014.5,68429,10
221,12186.9,19916.4,70380,10
222,11257.156,18017.4,76359,10
223,12095.018,19317.4,43123,10
224,10853.868,19917.3,53673,10
225,11471.851,19817.5,57072,10
226,11486.884,19513.8,74870,10
227,12029.287,19914.4,60484,10
228,11876.863,18517.6,71951,10
229,12217.813,20116.8,59351,10
230,12073.629,19417.7,36183,10
231,11947.359,20617.8,56410,10
232,12611.103,20814.2,60463,10
233,12249.105,20416.6,55928,10
234,12203.538,20716.8,53761,10
235,12205.293,20314.1,53616,10
236,11525.551,20014.9,53171,10
237,11835.953,20214.6,54102,10
238,11400.438,18916.0,61952,10
239,10883.261,18915.7,83579,10
240,9740.914,17417.4,61336,10
241,10298.196,18815.0,59236,10
242,11469.229,20213.3,50870,10
243,11566.195,20814.2,38124,10
244,11955.779,20215.7,48271,10
245,10730.37,19615.7,47280,10
246,11190.281,20614.6,46326,10
247,10953.026,19715.8,60466,10
248,12208.918,20815.9,60410,10
249,11349.383,19718.0,73431,10
250,12469.409,20113.9,65201,10
251,11816.693,19817.8,64699,10
252,11856.553,19915.3,69750,10
253,11609.433,20114.6,62420,10
254,12326.799,20719.1,64967,10
255,11960.221,21215.7,52990,10
256,11173.758,18416.7,47332,10
257,11806.778,20114.7,65784,10
258,12125.239,20615.9,68466,10
259,12454.942,21116.4,56154,10
260,11560.903,19915.8,44547,10
261,11395.179,19315.1,45956,10
262,11102.029,19114.6,57031,10
263,10839.499,19115.5,69788,10
264,11552.02,20412.7,42332,10
265,12413.361,20612.5,64777,10
266,10071.357,18616.3,57598,10
267,12225.837,21014.8,50394,10
268,12101.97,20713.6,52718,10
269,12650.435,20813.8,67350,10
270,10627.986,19215.9,63259,10
271,10326.919,18812.0,53969,10
272,11094.398,18815.7,68403,10
273,11346.01,19116.1,58661,10
274,12171.833,19913.2,34492,10
275,11864.653,18913.9,56261,10
276,11811.495,19213.9,52852,10
277,11860.432,18913.7,56804,10
278,12296.659,20214.5,53518,10
279,12107.454,19616.0,60013,10
280,12615.023,20614.1,36610,10
281,12257.656,18815.3,47248,10
282,12701.276,20714.5,70282,10
283,12480.753,20015.1,53281,10
284,13374.26,21713.0,54857,10
285,12914.514,20216.2,64068,10
286,12967.559,20917.1,49223,10
287,12386.286,19914.4,60637,10
288,11927.654,19115.0,52922,10
289,12441.655,20316.0,58418,10
290,12526.98,20314.3,59777,10
291,13672.42,20715.8,44351,10
292,12516.899,19917.6,34125,10
293,12495.426,19817.2,74294,10
294,12692.194,20014.8,72372,10
295,12224.443,20613.5,74550,10
296,12315.461,19813.5,68585,10
297,12301.069,19316.9,84233,10
298,12462.076,20015.4,50330,10
299,13188.913,19017.1,51799,10
300,12677.118,21314.5,60856,10
301,12063.455,19116.6,45137,10
302,12477.232,20712.5,48005,10
303,12982.788,20313.2,59081,10
304,12918.813,21215.7,53178,10
305,13010.326,20315.4,40257,10
306,12964.009,21815.7,38877,10
307,12798.56,20716.6,65086,10
308,13435.371,22013.6,44429,10
309,11930.341,19713.9,71871,10
310,12402.171,20214.4,46259,10
311,13049.766,21018.7,51242,10
312,11080.247,19014.2,46737,10
313,10886.972,19814.9,61870,10
314,11285.609,18816.3,68489,10
315,12594.237,19815.2,68776,10
316,11974.931,19815.3,34649,10
317,12983.893,20415.5,66144,10
318,12680.774,20315.3,48413,10
319,12127.401,20314.7,55676,10
320,11504.964,19514.7,43381,10
321,12411.184,18914.2,63177,10
322,12595.51,20114.7,35146,10
323,13324.843,20114.6,37696,10
324,13688.918,20714.5,52276,10
325,12280.488,20216.3,60953,10
326,12737.957,19914.4,45094,10
327,12721.211,19615.6,46306,10
328,11635.319,18915.4,58262,10
329,12239.327,19715.3,42734,10
330,13091.034,19716.5,33459,10
331,13142.556,21914.2,24756,10
332,13532.988,20617.1,47839,10
333,12198.94,20515.1,49914,10
334,12738.563,21516.0,47463,10
335,12903.84,21116.2,58821,10
336,12584.606,20715.9,68502,10
337,12685.341,20315.4,80258,10
338,12670.251,20416.0,59691,10
339,13137.797,21115.3,50600,10
340,11981.725,20417.0,44959,10
341,11467.42,20418.6,50213,10
342,13315.075,21114.0,70028,10
343,13970.175,22415.8,61115,10
344,13102.751,21214.0,63100,10
345,11715.394,20715.0,53522,10
346,11502.198,19514.9,72230,10
347,12885.139,21615.3,65454,10
348,13744.366,20516.4,63451,10
349,13740.939,21115.4,49213,10
350,13973.795,21516.6,39346,10
351,12913.56,19815.5,49479,10
352,13388.081,20214.6,55338,10
353,12673.525,20615.7,64189,10
354,12795.118,20614.6,68819,10
355,13169.245,21516.3,71450,10
