Step,Best,Average
1,1000,11
2,1400,14
3,900,146
4,1900,377
5,1700,175
6,1900,187
7,1800,253
8,2200,393
9,1900,526
10,2200,522
11,2300,712
12,2100,659
13,2000,582
14,1800,677
15,1600,458
16,2100,919
17,2400,1244
18,2200,846
19,1500,348
20,1300,151
21,2000,619
22,1900,300
23,2000,1013
24,1300,528
25,1000,168
26,1900,360
27,900,135
28,2800,1713
29,2300,1518
30,2300,1424
31,2200,1023
32,1900,1392
33,2400,1615
34,2500,1184
35,2500,1613
36,2500,1537
37,1800,835
38,2300,1103
39,2500,1585
40,1400,618
41,1100,333
42,700,304
43,1000,267
44,800,213
45,0,0
46,1000,637
47,200,200
48,0,0
49,1100,275
50,700,220
51,600,498
52,100,100
53,400,202
54,100,100
55,200,200
56,800,382
57,0,0
58,0,0
59,200,101
60,0,0
61,100,100
62,300,300
63,0,0
64,200,175
65,200,196
66,100,100
67,700,158
68,300,261
69,100,100
70,100,100
71,800,286
72,0,0
73,500,314
74,200,200
75,100,100
76,2300,1073
77,2600,1294
78,2500,1688
79,2600,1578
80,2900,1658
81,2600,1503
82,1400,164
83,1800,757
84,2100,912
85,2000,1099
86,2000,1036
87,2000,616
88,2100,1415
89,2100,1261
90,2100,894
91,1900,1120
92,2000,1025
93,100,100
94,1900,965
95,1900,1071
96,2200,968
97,2200,919
98,2200,1307
99,2000,922
100,2200,1284
101,1900,739
102,1800,744
103,2300,895
104,1900,1040
105,1800,954
106,2300,1342
107,1800,470
108,2400,721
109,2200,1009
110,1500,518
111,1500,485
112,1800,425
113,1800,1034
114,1700,998
115,2300,1056
116,2300,771
117,2300,1184
118,2300,950
119,2200,971
120,1700,769
121,2200,630
122,1600,514
123,1800,793
124,1400,434
125,2100,630
126,1100,769
127,1000,428
128,200,186
129,500,337
130,1600,460
131,200,198
132,0,0
133,200,200
134,100,100
135,200,109
136,1700,990
137,0,0
138,1800,867
139,1800,405
140,300,187
141,1800,912
142,2100,944
143,1800,960
144,1200,663
145,1700,503
146,700,332
147,400,310
148,2000,1046
149,1900,1158
150,900,218
151,1100,329
152,2000,982
153,2100,1106
154,300,300
155,1300,772
156,1800,948
157,1900,1114
158,200,200
159,1900,733
160,1600,534
161,1500,894
162,1700,1017
163,1700,652
164,1500,493
165,2100,935
166,300,227
167,1900,779
168,1800,752
169,1600,723
170,1500,857
171,700,391
172,1700,581
173,1500,759
174,2200,1258
175,1600,776
176,2000,839
177,0,0
178,1500,967
179,500,500
180,2500,961
181,1100,377
182,800,221
183,1200,298
184,1400,314
185,1700,840
186,100,100
187,1300,654
188,1800,742
189,2300,1368
190,1600,664
191,1900,827
192,1600,396
193,2200,1048
194,2000,965
195,1200,373
196,2000,715
197,1400,530
198,1800,668
199,1700,876
