generation,averageFitness,topFitness
0,726,2000
1,1935.5,2700
2,2310.5,2800
3,2297,2800
4,2345,2900
5,2526,2800
6,2370,2900
7,2381,2750
8,2324,2750
9,2483,2850
10,2356.5,2850
11,2356,2750
12,2384.5,2900
13,2261.5,2700
14,2283.5,2700
15,2259.5,2800
16,2140.5,2650
17,1949.5,2750
18,1664,2550
19,1765.5,2500
20,1607,2600
21,1908.5,2750
22,1894,2700
23,2045,2700
24,1839.5,2650
25,2051.5,2650
26,1885.5,2450
27,2027.5,2700
28,2407.5,2950
29,2424,2800
30,2571,2900
31,2508.5,2900
32,2442.5,2800
33,2364.5,2900
34,2281.5,2750
35,2137.5,2650
36,2297,2800
37,2139.5,2750
38,2093.5,2750
39,2245.5,2800
40,2415.5,2850
41,2464,2950
42,2292.5,2750
43,2232.5,2850
