generation,averageFitness,topFitness
0,231,1500
1,1800.5,2600
2,2118.5,2650
3,2479,2950
4,2262,2700
5,1495.5,2600
6,1974,2650
7,1922.5,2600
8,1966,2700
9,1933,2700
10,1922.5,2750
11,2210.5,2850
12,2365,2800
13,2318.5,2850
14,2434.5,2850
15,2413,2850
16,2299.5,2800
17,2283,2800
18,2378.5,2850
19,2434.5,2800
20,2506,2950
21,2521,2850
22,2464,2950
23,2309.5,2700
24,2336,2750
25,2338,2800
26,2246.5,2650
27,2463,2900
28,2310,2800
29,2380.5,2850
30,2100,2600
31,1979.5,2600
32,1668,2300
33,2267.5,2750
34,2408,2900
35,2205,2800
