generation,averageFitness,topFitness
0,219.5,1000
1,671,2350
2,1412,2900
3,1980,2900
4,1709.5,2950
5,2727.5,3000
6,1915.5,2800
7,2386,3000
8,2737.5,3000
9,2465,3000
10,1934.5,3000
11,2576,3000
12,2218,3000
13,2032.5,2800
14,2416.5,3000
15,2583,2950
16,2212,3000
17,2325.5,2950
18,1975,3000
19,2225.5,3000
20,2070.5,2850
21,2109.5,2900
22,2064,2950
23,1975.5,2700
24,2300,2950
25,1839,2850
26,1778.5,2500
27,2413,2950
28,1974.5,3000
29,2509,3000
30,2457,3000
31,2200,3000
32,1903.5,2800
33,1901.5,3000
34,1962,2750
35,2370,2950
36,1790.5,2800
37,1986,2950
38,2131.5,2900
39,2583.5,3000
40,2582.5,3000
41,2423,2900
42,2501,3000
43,2404,2900
44,2301,2950
45,2424,2950
46,1779.5,2850
47,2541,3000
48,2096.5,2600
49,2538,3000
50,2254.5,2900
51,2131.5,3000
52,2574,2900
53,2345,2950
54,1919.5,2900
55,1738.5,2950
56,2302,2950
57,2097.5,3000
58,2259.5,2900
59,2337,2950
60,2220,2900
61,1042,3000
62,2312,3000
63,2368,2950
64,2558.5,2950
65,2529,3000
66,2338,2900
67,2599,3000
68,2353,3000
69,2322,2850
70,2065.5,2650
71,2303.5,3000
72,2278.5,3000
73,2249,2900
74,2244,2900
75,2617,3000
76,2579.5,3000
77,2324.5,2700
78,2322,2900
79,2272,2800
80,2182.5,2700
81,2133,2750
82,2258.5,2850
83,2401.5,3000
84,2138.5,3000
85,2244,3000
86,2286,2900
87,2464.5,3000
88,2087.5,2700
89,2077,2900
90,2394.5,3000
91,2177,3000
92,2463.5,3000
93,2198.5,2800
94,2260.5,2950
95,2200.5,2800
96,2155.5,3000
97,2107.5,2950
98,2443.5,3000
99,2245,2750
100,2237,3000
101,1918.5,2750
102,1778.5,2800
103,2251,3000
104,2486,3000
105,2455,2950
106,1978,2950
107,1769.5,2650
108,2076,2850
109,2007.5,2950
110,2083,2700
111,2291,2900
112,1945.5,3000
113,2287.5,3000
114,2095.5,2850
115,2290.5,2950
116,1965.5,2750
117,2105,2950
118,1912,2800
119,2298,3000
120,1838,2850
121,1438,2850
122,2196,2850
123,2044.5,2750
124,1797,2400
125,2067.5,2900
126,2291.5,2950
127,1964,2950
128,1947,2900
129,1928,2850
130,1845.5,2650
131,2038,2750
132,1904.5,2900
133,2146.5,2850
134,2160,2900
135,2381,2950
136,1683,2750
137,2189,2900
138,1841,2700
139,2173,2850
140,2039.5,2950
141,2016.5,2800
142,2198,3000
143,2095.5,2950
144,1980.5,2800
145,1784.5,3000
146,2132.5,2950
147,2041.5,2850
148,2262.5,3000
149,2116,2800
150,1947.5,2750
151,1937,2800
152,2260,2900
153,2077.5,2900
154,2135,2950
155,2140.5,2900
156,1976.5,2850
157,2142.5,3000
158,1999.5,2900
159,1889,2700
160,1636,2800
161,1479,2500
162,1586.5,2650
163,2051,2800
164,1606,2700
165,1564,2600
166,1761.5,2500
167,2037,2950
168,1713,2550
169,2024.5,2900
170,1929,2850
171,1494,2400
172,2167.5,2900
173,2070,3000
174,1768.5,2700
175,2277.5,3000
176,2055,2850
177,1773,2750
178,2176,2950
179,2009,2900
180,1745.5,2700
181,1948.5,2800
182,1900,3000
183,1760.5,2750
184,1980.5,2900
185,2007,2900
186,1961,2750
187,1844.5,2750
188,1725.5,2550
189,1647,2750
190,1893,2800
191,1833,2750
192,1948,3000
193,1801,2700
194,2142,2950
195,1620,2450
196,1661.5,2600
197,1975,2900
198,2017,2800
199,1899.5,2800
200,2001,2850
