Step,Best,Average
1,600,110
2,900,108
3,2100,182
4,1500,290
5,1700,266
6,2300,548
7,2000,526
8,1900,404
9,2300,639
10,1800,621
11,2200,846
12,2000,1032
13,2100,1270
14,2000,965
15,2200,1299
16,1500,415
17,800,204
18,1500,837
19,900,419
20,2700,1489
21,1900,967
22,900,107
23,2400,1438
24,2900,1735
25,2300,1450
26,2000,1262
27,2100,169
28,2300,1562
29,2300,1578
30,2100,1216
31,1900,1027
32,1300,542
33,2000,377
34,1600,814
35,1600,501
36,900,488
37,1900,746
38,1500,647
39,2000,591
40,2300,1055
41,2400,1208
42,2200,1025
43,2000,1313
44,1800,855
45,2200,1446
46,2100,1409
47,2200,1214
48,2500,1554
49,2200,1499
50,2300,1425
51,1900,1119
52,1100,310
53,1300,442
54,100,100
55,2200,800
56,800,149
57,2100,1199
58,2400,1042
59,1700,489
60,1200,279
61,2200,1136
62,1600,381
63,200,200
64,1600,838
65,2400,1488
66,2100,1287
67,1800,1223
68,2900,1716
69,2400,1465
70,2200,1635
71,2600,1769
72,2300,1603
73,2300,1554
74,2300,1446
75,2000,1381
76,2200,1479
77,2100,1429
78,2500,1646
79,2400,1547
80,2200,1210
81,2500,1190
82,2300,1169
83,2800,1598
84,2700,1674
85,2500,1433
86,2400,1558
87,2300,1630
88,2300,1331
89,2400,1561
90,2400,1729
91,2500,1456
92,2100,1323
93,2100,1312
94,2400,1365
95,2000,1098
96,2200,1366
97,2000,1093
98,2100,1413
99,2500,1525
100,2000,1282
101,2700,1269
102,2200,1440
103,2100,1177
104,2000,1086
105,2400,1470
106,2400,1414
107,2200,1262
108,2100,1341
109,2000,886
110,2500,1433
111,2300,1287
112,2500,1203
113,2000,1200
114,2200,1230
115,1900,454
116,2300,1478
117,2500,1457
118,2400,1318
119,1900,1013
120,2700,1704
121,1900,1294
122,1800,373
123,2400,1525
124,2700,1285
125,2300,1451
126,2300,1353
127,2400,1556
128,2300,1444
129,1800,582
130,2200,1103
131,2100,739
132,2800,1802
133,2200,1365
134,2300,1640
135,2400,1559
136,2500,1684
137,2600,1461
138,0,0
139,2200,1461
140,2500,1732
141,2200,1460
142,1900,970
143,2100,1431
144,1900,1210
145,2400,1704
146,2200,1273
147,900,238
148,2300,1551
149,2300,1202
150,2500,1492
151,2200,1514
152,2100,941
153,2100,1311
154,2200,1275
155,2400,1488
156,2800,1444
157,2100,1296
158,2300,1604
159,2100,1324
160,2300,1514
161,2400,1615
162,100,100
163,2200,1541
164,2500,1589
165,2400,1717
166,2300,1750
167,2000,1378
168,2700,2073
169,2500,1463
170,1900,1075
171,2200,1496
172,2200,1504
173,2200,1621
174,2400,1559
175,1900,1112
176,2300,1636
177,1800,1142
178,2300,1586
179,2800,1584
180,1500,1349
181,200,200
182,2100,1456
183,2200,1364
184,2500,1569
185,2100,1418
186,1800,777
187,2400,1767
188,400,400
189,2300,1628
190,2400,1493
191,2400,1592
192,2000,1177
193,3000,1735
194,2500,1861
195,2400,1633
196,2200,1642
197,2300,1533
198,600,600
199,2000,1388
