Generation,Champion,Average,Updates,Samples,Baseline-Avg,Baseline-Best
106,1320,730.2,30,,2521.933333,3733.333333
107,1246.666667,716,30,,2501.166667,3660
108,1286.666667,699.8,30,,2602.366667,3813.333333
109,1153.333333,696.1333333,30,,2532.9,3780
110,1263.333333,705.8666667,30,,2497.5,3713.333333
111,1150,635.5666667,30,,2541.233333,3740
112,990,610,30,,2579.666667,3790
113,1293.333333,715.3666667,30,,2499.6,3643.333333
114,1213.333333,650,30,,2567.9,3720
115,1043.333333,589.9333333,30,,2566.933333,3743.333333
116,1083.333333,581.3333333,30,,2548.733333,3726.666667
117,1216.666667,716.4666667,30,,2556.333333,3780
118,1103.333333,612.8666667,30,,2583.433333,3766.666667
119,1290,718.8333333,30,,2535,3670
120,1136.666667,592.6333333,30,,2504.066667,3703.333333
121,1283.333333,681.3,30,,2530,3740
122,1216.666667,679.4,30,,2551.033333,3746.666667
123,1236.666667,625.3,30,,2518.633333,3693.333333
124,1096.666667,623.9666667,30,,2535.833333,3666.666667
125,1106.666667,619.1333333,30,,2588.166667,3760
126,1146.666667,647.3,30,,2582,3750
127,970,543.0333333,30,,2557.5,3656.666667
128,1250,666.1333333,30,,2566.233333,3683.333333
129,1113.333333,614.8666667,30,,2599.633333,3790
130,1130,612.8333333,30,,2550.266667,3740
131,1163.333333,621.1333333,30,,2633.3,3810
132,1023.333333,573.9,30,,2565.033333,3730
133,1240,622.5,30,,2538.433333,3736.666667
134,1280,674.2333333,30,,2518.033333,3760
135,1073.333333,592.5,30,,2555.6,3786.666667
136,1083.333333,569.5,30,,2517.233333,3703.333333
137,1110,655.6333333,30,,2570.933333,3726.666667
138,1233.333333,649.5333333,30,,2559.966667,3690
139,1123.333333,634.5,30,,2507.3,3716.666667
140,1250,676.6,30,,2549.7,3723.333333
141,1166.666667,649.6666667,30,,2594.6,3770
142,1183.333333,696.5333333,30,,2532.1,3760
143,1050,544.0666667,30,,2553.266667,3706.666667
144,1193.333333,650.1666667,30,,2615.566667,3786.666667
145,1240,685.6333333,30,,2569.1,3740
146,1116.666667,584.8333333,30,,2558.5,3796.666667
147,1216.666667,668.4333333,30,,2579.2,3760
148,1233.333333,678.5333333,30,,2583.766667,3753.333333
149,1226.666667,716.8,30,,2585.966667,3670
150,1170,627.1333333,30,,2512.933333,3703.333333
151,1140,587.3333333,30,,2557.366667,3776.666667
152,1186.666667,684.3,30,,2611.066667,3763.333333
153,1066.666667,625.3,30,,2621.733333,3740
154,1113.333333,652.3666667,30,,2596.1,3793.333333
155,1213.333333,691.8,30,,2605.6,3796.666667
156,1206.666667,713.9333333,30,,2610.233333,3780
157,1096.666667,648.5333333,30,,2629.2,3790
158,1350,730.9,30,,2600.533333,3716.666667
159,1120,587.9,30,,2631.6,3803.333333
160,1110,619.0666667,30,,2576.866667,3743.333333
161,963.3333333,549.7666667,30,,2560.233333,3733.333333
162,1116.666667,605.7666667,30,,2605.7,3816.666667
163,1013.333333,565.3333333,30,,2623.766667,3783.333333
164,1173.333333,648.1666667,30,,2607.433333,3830
165,910,549.4666667,30,,2623.366667,3753.333333
166,1106.666667,624.0333333,30,,2643.066667,3773.333333
167,930,511.3333333,30,,2543.233333,3670
168,983.3333333,590.9666667,30,,2626.033333,3806.666667
169,1030,594.5333333,30,,2589.533333,3780
170,986.6666667,580.1666667,30,,2601.066667,3813.333333
171,1180,681.1,30,,2593,3663.333333
172,1073.333333,606.2666667,30,,2600.4,3686.666667
173,1026.666667,608.7333333,30,,2634.166667,3760
174,1023.333333,600.1333333,30,,2563.233333,3656.666667
175,1276.666667,700,30,,2626.1,3730
176,883.3333333,574.6,30,,2668.866667,3843.333333
