generation,averageFitness,topFitness
376,466.5,1900
377,514,2000
378,510,1850
379,0,0
380,306,1750
381,539,1750
382,392,1800
383,683,2050
384,475.5,2050
385,648,1900
386,553.5,1850
387,597,2000
388,708.5,2100
389,424,2400
390,0,0
391,0,0
392,273.5,1350
393,652,2450
394,294.5,1350
395,0,0
396,396.5,1900
397,675.5,1950
398,180.5,1950
399,351,1450
400,841.5,2000
401,624,2250
402,334,1750
403,652,1950
404,0,0
405,236.5,1500
406,411,1800
407,651.5,2150
408,573,2200
409,579.5,2300
410,437,1600
411,465,1650
412,422.5,1550
413,484.5,2200
414,415.5,1750
415,669.5,1850
416,516.5,2250
417,527.5,2100
418,398.5,1950
419,565.5,2250
420,438,1650
421,617.5,1900
422,435,2150
423,330,1300
424,568.5,2650
425,565.5,1900
426,425.5,1400
427,527,1650
428,638.5,2500
429,910,2200
430,549.5,1400
431,552,1900
432,715,2200
433,654.5,1800
434,864.5,2250
435,574,1900
436,465.5,1650
437,980.5,1900
438,676,1800
439,1058,2150
440,87.5,1150
441,1049,2050
442,0,0
443,523,1950
444,778.5,1850
445,779,2100
446,675.5,1800
447,1137,2400
448,837.5,2450
449,1331,2200
450,0,0
451,1193,2300
452,693.5,1850
453,349,1500
454,3,300
455,434,1450
456,721,1600
457,1094.5,2700
458,1049,2550
459,1114,2150
460,1442,2450
461,1027.5,2100
462,274,1550
463,770,2200
464,1280.5,2350
465,1076,2450
466,1387.5,2450
467,157.5,1900
468,1389,2450
469,2081,2700
470,1076.5,1950
471,1667.5,2950
472,1464.5,2300
473,1315.5,2350
474,1473.5,2650
475,692.5,1500
476,1421.5,2350
477,1685.5,2650
478,1380,2750
479,1243,2200
480,1135.5,2450
481,1630,2900
482,423.5,1600
483,1113.5,2050
484,1829.5,2600
485,1158,2600
486,1625.5,2450
487,648,2200
488,1407.5,2550
489,40.5,950
490,909,1650
491,1052.5,1750
492,570.5,1550
493,587,1450
494,619.5,1750
495,1147.5,2250
496,1519.5,2350
497,1280.5,2150
498,922,1900
499,1503.5,2500
500,1573,2500
