Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.0959231526793,0.00694291979985,0.0217252148334,0.00773920972086,10
1,0.0616233567821,0.0116823186809,0.00765904262179,0.00218987622552,10
2,0.0494600460668,0.0113627684034,0.00431777743266,0.00172232975827,10
3,0.0485193412643,0.0170974091074,0.00677721388913,0.00428632945523,10
4,0.0457624110935,0.0144240023808,0.00439840376054,0.00296254783982,10
5,0.0419874335323,0.0112525693618,0.00330641206167,0.00164940654984,10
6,0.0426792278472,0.0137681434065,0.00327372308522,0.00180802354771,10
7,0.0415407009989,0.0121010338835,0.00295806123763,0.00168763943088,10
8,0.043171655291,0.0143295437553,0.00300270145472,0.00169561473019,10
9,0.0436849546275,0.0166450372209,0.00240657605268,0.00149481570608,10
10,0.04479882496,0.0177071382498,0.00254888443151,0.00187757812638,10
11,0.0429564201605,0.0202817879209,0.00248765742363,0.00174056125689,10
12,0.0429255765458,0.0190833276111,0.00315428924662,0.00242417353472,10
13,0.040190064585,0.0152847131916,0.00298429517683,0.00184141676426,10
14,0.0355622310624,0.0120602019372,0.00207790183129,0.00178566277083,9
15,0.0433353096282,0.0158541050781,0.00289704221763,0.00191608272057,6
16,0.0414425685786,0.0158568714392,0.00181207064223,0.0015425871855,5
17,0.0409254148885,0.0129872056315,0.00246750317446,0.000931497148741,5
18,0.0394224746921,0.011328093369,0.00205578230771,0.00109381842958,5
19,0.0397238668057,0.00750589506203,0.00406939942818,0.00101572121917,2
20,0.0311971779018,0.00525233220629,0.00282302437714,0.000507429441629,2
21,0.0441623707888,0.0124430457706,0.00583971145228,0.00025545955939,2
22,0.0364093065808,0.0,0.00441408282344,0.0,1
23,0.0340218779574,0.0,0.00383450598719,0.0,1
24,0.0402238336686,0.0,0.00333090461692,0.0,1
25,0.0342922675175,0.0,0.00303159474411,0.0,1
26,0.0313112085558,0.0,0.00239592180302,0.0,1
27,0.0305850913525,0.0,0.003640020194,0.0,1
