Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
123,9413.289,17419.6,0,10,8260.469,14719.1
124,9619.601,17018.4,0,10,8818.872,16020.6
125,9263.2,16515.5,0,10,9931.575,17718.9
126,9547.812,17517.9,0,10,9264.349,15920.8
127,9772.727,17615,0,10,9175.033,16219.8
128,9480.657,16916.3,0,10,9409.695,16519.4
129,9504.52,16719.3,0,10,9153.521,16118.4
130,10386.67,17816.6,0,10,9813.664,16318.1
131,10144.591,17917.1,0,10,10158.176,16420.9
132,10253.53,17816.7,0,10,10233.697,16621.1
133,10160.838,17617.5,0,10,9691.74,16621.3
134,10516.897,18116.3,0,10,9957.409,16721.3
135,10128.789,17514.9,0,10,9765.523,16419.8
136,10572.659,17918.5,0,10,9195.512,15217.1
137,10555.786,18516.2,0,10,9735.757,16217.9
138,10137.761,18516.5,0,10,9595.225,16416.6
139,10270.051,17518.4,0,10,9779.69,16918.6
140,10293.277,18020.3,0,10,10133.512,17517.2
141,10573.204,18317.4,0,10,9224.49,16216.6
142,10174.903,17218.9,0,10,10080.577,16119.6
143,10242.142,18019.8,0,10,9291.883,15319
144,10715.295,19114.2,0,10,9176.286,15717.5
145,10202.888,17616.9,0,10,9220.719,16118.4
146,9987.449,18818.7,0,10,8798.153,15815.9
147,9928.875,18118,0,10,9342.14,17115.8
148,10184.947,17714.9,0,10,10140.922,17620.9
149,9535.646,17119.8,0,10,9876.591,17120.1
150,10931.269,19215.8,0,10,9733.984,17018.9
151,10037.749,18219.2,0,10,10724.258,17919.6
152,9908.316,17915.6,0,10,10889.24,18217.4
153,9953.724,17821.9,0,10,10798.96,18518.8
154,10116.49,18419.1,0,10,10571.595,17120.9
155,10328.259,17819.5,0,10,11437.465,18618.3
156,10079.827,17719.6,0,10,11154.213,18918.4
157,10014.441,17318.8,0,10,10849.128,18019.5
158,10105.121,18015.6,0,10,11536.04,18616.9
159,10087.137,17918.7,0,10,11410.821,18319.7
160,9708.481,17218.7,0,10,11049.169,18319.9
161,10345.001,18120.3,0,10,10878.208,18418.3
162,10511.998,17920.6,0,10,11552.992,18617.6
163,10368.493,19317.7,0,10,11398.533,18420.2
164,10230.487,18117.4,0,10,10787.839,19216
165,10143.612,18217.2,0,10,11530.101,19321.9
