generation,averageFitness,topFitness
307,2599.5,2900
308,2629,2900
309,2518,2950
310,2605,2950
311,2461.5,2850
312,2548.5,2950
313,2353,2900
314,2316,2800
315,2500,2900
316,2412.5,2800
317,2578.5,2900
318,2562,2900
319,2535,2950
320,2517,2850
321,2566,2950
322,2657,3000
323,2207,2800
324,2466.5,2950
325,2433,2950
326,2554.5,2950
327,2499,2800
328,2492.5,2900
329,2334.5,2900
330,2199,2950
331,1892.5,2850
332,1825,2650
333,1896,2850
334,1955.5,2650
335,1817,2550
336,1988,2650
337,1955,2750
338,2154,2700
339,1958,2850
340,2158,2900
341,1634,2850
342,2165,2850
343,1925.5,2800
344,2241,2900
345,1924,2700
346,1745,2800
347,1774.5,2650
348,1537.5,2550
349,1671,2650
350,1476.5,2600
351,1785.5,2550
352,1769.5,2600
353,1539,2700
354,1617,2550
355,1995.5,2700
356,1738,2450
357,1956.5,2650
358,1949.5,2700
359,2071,2950
360,1927.5,2750
361,1659.5,2950
362,2131.5,2850
363,1312,2500
364,2138.5,2900
365,1719,2650
366,1895.5,2700
367,1934,2700
368,1800.5,2850
369,1850,2700
370,1834.5,2700
371,1755.5,2900
372,2011,2800
373,1551.5,2750
374,1867.5,2700
375,1960,2800
376,2003.5,2750
377,1960.5,2750
378,1804,2750
379,1944,2750
380,2183.5,2850
381,2193.5,2950
382,2244,2950
383,2460,2950
384,2514,2950
385,2561,2900
386,2492,3000
387,2280.5,3000
388,2454.5,2900
389,2341.5,2950
390,2351,2800
391,2375,2950
392,2384,2900
393,2223.5,2700
394,2477,2850
395,2642.5,3000
396,2489,2950
397,2521,2900
398,2383.5,2800
399,2307.5,2850
400,2313,2750
401,2546.5,2900
402,2620.5,2950
403,2726,2950
404,2569.5,2900
405,2536.5,2900
406,2491,2850
407,2629.5,2950
408,2580,2950
409,2464.5,2850
410,2658,3000
411,2322,2700
412,2480,2800
413,2537.5,2900
414,2453,2950
415,2552.5,2900
416,2559.5,2950
417,2263,2900
418,2316.5,2950
419,2118,2800
420,2240.5,2800
421,2549,3000
422,2478,2850
423,2636,3000
424,2585,2850
425,2666,3000
426,2644,3000
427,2466,2950
428,2202,2900
429,2480.5,2850
430,2624.5,3000
431,2571,2900
432,2624,2950
433,2489.5,2850
434,2570,2950
435,2579.5,2900
436,2343,2850
437,2490,2900
438,2605.5,2900
439,2554.5,2950
440,2482,2850
441,2691,3000
442,2587.5,2950
443,2474,2950
444,2459,2850
445,2644,2950
446,2636.5,2900
447,2615,2950
448,2585,3000
449,2537,2900
450,2252.5,2800
451,2531,2950
452,2282,2950
453,2303.5,2900
454,2303.5,2900
455,2418,2900
456,2365.5,2800
457,2482,3000
458,2457,2900
459,2672.5,3000
460,2615,2950
461,2605.5,2950
462,2500,2750
463,2454.5,2800
464,2533.5,2900
465,2664.5,3000
466,2541.5,2950
467,2522.5,2850
468,2554.5,2900
469,2622.5,2950
470,2380,2750
471,2477.5,2850
472,2674,2950
473,2678.5,3000
474,2435,2950
475,2539.5,3000
476,2418.5,2900
477,2478.5,2900
478,2540,2950
479,2562,2900
480,2440,2850
481,2629,2950
482,2566.5,2950
483,2606,2900
484,2466.5,2900
485,2334.5,2750
486,2508.5,2800
487,2541,2900
488,2425,2800
489,2466.5,2900
490,2359.5,2900
491,2519,3000
492,2475,3000
493,2706.5,2950
494,2519,2900
495,2558,2900
496,2479.5,3000
497,2214,2850
498,2278.5,2850
499,2258,3000
500,2188.5,2750
