generation,averageFitness,topFitness,Updates
265,12759.6,23018,0
266,11599.58,19021,0
267,11898.13,18019,0
268,12609.72,19025,0
269,13229.18,23020,0
270,11946.79,20018,0
271,10799.42,20021,0
272,13389.91,22009,0
273,14398.97,23016,0
274,12599.42,20022,0
275,13275.99,19016,0
276,13528.26,21019,0
277,13407.92,23018,0
278,15550.24,24011,0
279,11454.83,20023,0
280,10455.38,21024,0
281,12326.01,23016,0
282,12476.6,21024,0
283,14555.47,23026,0
284,12963.97,21015,0
285,13244.66,19016,0
286,11933.52,20017,0
287,12883.9,18018,0
288,15506.95,22013,0
289,13186.41,21015,0
290,11545.84,19016,0
291,13745.64,21018,0
292,13887.41,19024,0
293,13155.7,19015,0
294,14937.85,22009,0
295,11327.3,19020,0
296,13955.33,24014,0
297,13656.72,21018,0
298,14935.43,23018,0
299,14076.61,25019,0
300,12164.07,20008,0
301,13114.34,18023,0
302,11565.79,19012,0
303,13076.82,19013,0
304,12760.66,24010,0
305,12116.03,20016,0
306,12521.15,20026,0
307,13694.2,21019,0
308,13618.82,21019,0
309,13289.15,20016,0
310,16828.36,23017,0
311,14566.21,22023,0
312,15737.13,23013,0
313,13608.17,20029,0
314,14305.6,23019,0
315,13645.37,21023,0
316,15515.08,21018,0
317,14445.55,21019,0
318,15294.33,22009,0
319,13026.11,18021,0
320,14246.01,21015,0
321,16305.3,22018,0
322,14492.75,22014,0
323,14636.63,22016,0
324,13225.57,19019,0
325,13776.65,21014,0
326,13976.56,20017,0
327,15097.56,21004,0
328,12866.55,19016,0
329,12107.51,18021,0
330,11315.21,19015,0
331,12787.32,19020,0
332,13435.94,21011,0
333,14796.46,23014,0
334,14615.7,21017,0
335,13186.62,23016,0
336,13326.95,19019,0
337,13838.06,23018,0
338,13367.37,19022,0
339,12667.81,20015,0
340,13258.37,18024,0
341,15288.14,21018,0
342,13536.76,21017,0
343,14356.81,23021,0
344,13816.8,19018,0
345,13738.01,24018,0
346,13537.79,20024,0
347,14707.26,22014,0
348,14638.48,23018,0
349,13037.15,19018,0
350,12922.08,19020,0
351,13768.73,20019,0
352,13620.89,19018,0
353,14128.58,25013,0
354,14551.94,22019,0
355,14716.27,24018,0
356,14481.26,20023,0
357,12828.87,20026,0
358,13213.3,19029,0
359,13067.12,19019,0
360,15627.62,22013,0
361,15808.13,23023,0
362,15089.62,22020,0
363,14980.11,22028,0
364,14111.09,22019,0
365,14260.84,23016,0
366,12692.41,20022,0
367,13021.95,22014,0
368,13060.75,20022,0
369,14520.41,20024,0
370,13629.88,20030,0
371,13729.41,22013,0
372,14140.25,22026,0
373,13570.01,22016,0
374,14040.59,22024,0
375,13611.09,20019,0
376,12919.66,23026,0
377,13732.28,22019,0
378,13583.19,20015,0
379,13123.37,21019,0
380,14038.52,21025,0
381,14443.12,23017,0
382,13424.8,21019,0
383,15101.15,25025,0
384,13511.28,21030,0
385,12613.33,19021,0
386,12872.46,22025,0
387,15290.94,22027,0
388,14699.56,24020,0
389,15990.76,22026,0
390,13721.48,22022,0
391,13952.26,22028,0
392,14549.63,20015,0
393,14164.97,23028,0
394,15171.58,21005,0
395,14551.57,22022,0
396,12462.9,21012,0
397,13330.48,21017,0
398,13892.99,21023,0
399,12412.79,18027,0
400,14961.58,23022,0
401,15583.03,21033,0
402,13903,22019,0
403,14331.24,22024,0
404,14671.63,21022,0
405,12783.74,18033,0
406,14012.33,21021,0
407,13340.36,19017,0
408,16118.71,24011,0
409,14072.27,21026,0
410,13821.73,20027,0
411,14281.02,20023,0
412,15420.52,23019,0
413,13654.11,20025,0
414,14431.62,21024,0
415,13090.8,21024,0
416,11833.97,20016,0
417,12061.95,20015,0
418,13081.31,20020,0
419,12480.09,19017,0
420,14470.88,22016,0
421,13509.5,22013,0
422,13378.96,23014,0
423,13361.98,19011,0
424,14692.88,24022,0
425,13868.85,20018,0
426,13372.67,21017,0
427,12510.55,21013,0
428,14701.3,23024,0
429,12463.21,21023,0
430,12401.97,20024,0
431,13613.14,21025,0
432,12871.17,20010,0
433,12302.23,27023,0
434,13222.36,22020,0
435,13841.79,22019,0
436,13610.97,23018,0
437,13449.95,20026,0
438,13538.4,22023,0
439,13591.09,21025,0
440,11889.05,23020,0
441,15597.5,23013,0
442,12008.59,19018,0
443,12988.71,21014,0
444,12099.8,22021,0
445,12557.91,21022,0
446,14578.78,21012,0
447,13866.34,21008,0
448,12566.24,22011,0
449,12818.29,20015,0
450,14457.62,22024,0
451,12517.74,23011,0
452,14277.84,22010,0
453,12508.17,21016,0
454,13547.78,20026,0
455,14877.97,21018,0
456,14187.22,21022,0
457,12299.35,21025,0
458,13187.58,23022,0
459,14538.34,21021,0
460,14869.38,23023,0
461,13579.34,21015,0
462,13258.7,22024,0
463,12147.39,22019,0
464,14728.29,22018,0
465,14436.74,20013,0
466,16087.38,24016,0
467,13124.63,22020,0
468,13218.94,22023,0
469,15284.34,20022,0
470,12276.39,19015,0
471,13806.49,22011,0
472,14416.69,25009,0
473,14306.59,20020,0
474,16235.42,22008,0
475,14177.25,20013,0
476,12286.39,19016,0
477,15786.58,25022,0
478,14295.48,21012,0
479,13996.4,22014,0
480,14955.84,22016,0
481,14747.09,23016,0
482,13535.61,21017,0
483,15226.11,21024,0
484,12746.04,20018,0
485,15375.83,25021,0
486,13738.58,21024,0
487,13369.83,20021,0
488,13357.3,22015,0
489,14035.96,25019,0
490,13756.19,21013,0
491,13926.33,21018,0
492,13370.32,20025,0
493,14586.55,23012,0
494,11949.28,20018,0
495,13666.84,23017,0
496,14028.04,24018,0
497,14416.33,22018,0
498,15338.39,24018,0
499,14602.36,25011,0
500,11584.62,24021,0
