Step,Best,Average
1,700,17
2,1000,68
3,1300,295
4,1700,252
5,1700,319
6,1800,124
7,1600,153
8,2200,330
9,1700,533
10,2100,637
11,2200,422
12,1900,524
13,2100,572
14,2300,701
15,1900,906
16,2200,1062
17,2300,1247
18,2200,1120
19,2100,1291
20,2300,1046
21,2300,1206
22,1400,605
23,1400,173
24,1900,950
25,1600,602
26,2400,1517
27,2400,1501
28,2300,1404
29,2000,627
30,1500,594
31,100,73
32,2000,1053
33,2100,559
34,2700,822
35,2100,1554
36,2100,663
37,1600,615
38,700,346
39,600,250
40,100,100
41,100,100
42,0,0
43,1300,654
44,1700,527
45,1000,395
46,2000,634
47,1300,696
48,2300,1387
49,2000,1437
50,2300,1372
51,2300,1370
52,2200,1003
53,1600,447
54,2500,1486
55,1900,1286
56,2400,1582
57,2200,1489
58,2200,1502
59,2500,1506
60,2100,1305
61,2100,1370
62,2200,1458
63,2300,1542
64,2100,1451
65,2400,1641
66,2400,1509
67,2300,1531
68,2200,1426
69,2400,1517
70,2000,1251
71,2500,1354
72,2200,1680
73,2200,1362
74,2500,1559
75,2400,1580
76,2300,1551
77,2200,1455
78,2100,1335
79,2400,1431
80,2200,1588
81,2500,1598
82,2600,1606
83,2200,1580
84,2400,1676
85,2600,1745
86,2100,1472
87,2400,1598
88,2200,1580
89,2400,1702
90,2400,1486
91,2700,1829
92,2300,1675
93,2100,1452
94,2300,1566
95,2300,1597
96,2300,1466
97,2100,1584
98,2400,1658
99,2200,1420
100,2300,1615
101,2000,1297
102,2500,1393
103,2000,1446
104,2400,1728
105,2100,1436
106,2200,1696
107,2200,1421
108,2500,1655
109,2200,1248
110,2600,1765
111,2300,1492
112,2900,1577
113,2000,1357
114,2000,1398
115,2000,1345
116,2100,1458
117,2100,1419
118,2500,1844
119,2300,1586
120,2200,1422
121,2500,1718
122,2100,1552
123,2200,1234
124,2200,1447
125,2500,1917
126,2400,1692
127,2300,1458
128,2600,1831
129,2200,1502
130,2000,1316
131,2200,1616
132,2100,1216
133,1900,1198
134,2200,1132
135,2200,1328
136,1800,1251
137,2500,1758
138,2100,1472
139,2100,1397
140,2100,1467
141,2000,1545
142,1900,1245
143,2500,1822
144,2100,1436
145,2400,1385
146,2400,1698
147,1600,1188
148,2200,1592
149,2400,1615
150,2100,1431
151,2200,1485
152,1900,1106
153,2400,1801
154,2200,1551
155,1900,1258
156,2100,1741
157,2100,1550
158,2200,1697
159,2200,1652
160,2200,1369
161,2100,1508
162,1700,1298
163,1900,1465
164,2300,1784
165,1600,1237
166,2200,1325
167,1400,1053
168,2100,1459
169,2200,1764
170,2100,1643
171,1700,1109
172,2300,1506
173,2200,1828
174,2300,2029
175,2200,1784
176,2800,2125
177,2400,1760
178,2000,1406
179,1900,1607
180,1900,1421
181,2100,1543
182,2300,1679
183,1700,1122
184,2200,1669
185,2100,1788
186,1600,1368
187,2100,1638
188,1900,1476
189,1400,1168
190,1500,1421
191,2600,2248
192,2500,1821
193,2000,1577
194,2400,1556
195,2000,1467
196,1800,1343
197,2300,1515
198,1700,1367
199,1700,1401
