Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.158886578603,0.00706302963056,0.156298863293,0.00758813457228,30
1,0.0808368584389,0.0166632591462,0.0301566477416,0.0329015268949,30
2,0.0633094827705,0.0170302782878,0.0150253096052,0.0174981979745,30
3,0.0567588137334,0.0144310219105,0.00959903170463,0.00988172916258,30
4,0.0478693334689,0.0134516753025,0.00672903309277,0.0100763179888,30
5,0.0466542406777,0.0159470184481,0.00483956215498,0.0035294635149,30
6,0.0412948337427,0.0163682347426,0.00438097081788,0.00556451535028,30
7,0.0396519165772,0.0191957179748,0.00491490920813,0.00885534924669,30
8,0.0392287088933,0.0184670368286,0.00410223987843,0.00570444334245,30
9,0.0368236304882,0.0173672558387,0.00321309026326,0.00443828932874,30
10,0.0317178535836,0.014962492471,0.00286983089326,0.00354106934655,30
11,0.0347231047077,0.0183104692439,0.0031195733007,0.00356257511271,30
12,0.0324302729517,0.0140886163618,0.00378447391763,0.00646168584858,30
13,0.0288174709726,0.0133790651686,0.00302527340701,0.00336366668974,30
14,0.028428515832,0.0143284284728,0.00317498811116,0.00333807107146,30
15,0.0275653821769,0.0150475370364,0.00292779923357,0.00310927036301,30
16,0.0260722995735,0.0154675077483,0.00229514350655,0.00227129139396,30
17,0.0234449142899,0.0146726909164,0.00220239014876,0.00205360530061,30
18,0.0226873989189,0.0146329283254,0.00202715673347,0.00249577553371,30
19,0.0218375698822,0.0142377412595,0.00273622430866,0.00341917511119,30
20,0.0201014508069,0.0145140004641,0.00201976981145,0.00203394810473,30
21,0.0207087323285,0.0164498389603,0.00237468354872,0.00245217152028,30
22,0.0171324505915,0.0110892244609,0.00484208294177,0.0134324378273,30
23,0.0167010617285,0.0122357070689,0.00230728913357,0.0024853978931,30
24,0.0149550303952,0.00973826985751,0.00246402229921,0.00292989526122,30
25,0.0145758139792,0.0100850744396,0.00273223142457,0.00361874778487,30
26,0.0136615082009,0.00905548863626,0.0038600560055,0.00974534110316,30
27,0.0124630366718,0.00957669121059,0.00263359245791,0.00376091574256,30
28,0.0135754575424,0.00982097870395,0.0035856866717,0.00663654592101,30
29,0.0120491858254,0.00864105912444,0.00416392905582,0.00866383661568,30
