generation,averageFitness,topFitness
0,4.5,300
1,139,800
2,352,1200
3,78.5,900
4,2.5,150
5,201,1100
6,130,650
7,144,850
8,125.5,950
9,56.5,650
10,54,500
11,179.5,500
12,195,800
13,88,900
14,20,700
15,92.5,950
16,251.5,1150
17,4.5,400
18,88.5,550
19,93.5,1350
20,83,1050
21,33.5,600
22,0,0
23,430,1050
24,132.5,900
25,1.5,150
26,213.5,1050
27,223,1350
28,403.5,1750
29,201,900
30,38,650
31,158.5,750
32,115.5,600
33,170.5,1650
34,452,1600
35,307,1600
36,383,1350
37,342.5,1050
38,65,600
39,66,700
40,284,900
41,182,1000
42,222,1050
43,315,1250
44,112.5,1550
45,206,1450
46,105.5,950
47,4.5,350
48,142.5,1600
49,43.5,700
50,222,1000
51,243.5,1100
52,99.5,1250
53,113,800
54,219,1250
55,334.5,1200
56,457,1300
57,150,1000
58,252,1000
59,225.5,1350
60,392,1150
61,377.5,1350
62,270.5,1550
63,696.5,1650
64,142.5,1500
65,529.5,1650
66,532,1500
67,235.5,950
68,695,1850
69,131.5,1650
70,690,1850
71,144.5,1250
72,208.5,1050
73,204.5,1000
74,337,1150
75,675,1600
76,637,1500
77,463.5,1500
78,213,1200
79,148,1100
80,227,1400
81,187.5,800
82,155,850
83,396.5,1650
84,249,1250
85,473,1750
86,618,1900
87,506.5,1650
88,899,1700
89,282,1650
90,885,1850
91,254.5,1000
92,190,1050
93,321.5,1450
94,510.5,1200
95,383.5,1500
96,193.5,800
97,347.5,2250
98,413.5,1850
99,331.5,1100
100,187,1400
