Step,Best,Average
1,500,123
2,1300,235
3,1900,252
4,1400,91
5,1500,127
6,1800,660
7,1700,334
8,2100,637
9,1900,610
10,2000,757
11,2100,1044
12,2200,1170
13,2300,985
14,2300,1555
15,2400,964
16,2200,272
17,2400,1357
18,2000,1025
19,2300,1507
20,2500,1277
21,2600,1592
22,2500,1398
23,2200,1629
24,1700,750
25,400,209
26,0,0
27,500,336
28,400,368
29,0,0
30,2500,1555
31,2000,1106
32,1900,1068
33,300,114
34,300,122
35,0,0
36,800,343
37,400,385
38,0,0
39,0,0
40,0,0
41,800,357
42,800,713
43,500,412
44,1500,519
45,1200,918
46,1000,627
47,1600,344
48,1500,747
49,1700,492
50,700,558
51,2400,846
52,2500,1773
53,2400,1545
54,1800,927
55,0,0
56,200,198
57,1300,689
58,1800,1012
59,2200,1423
60,700,288
61,100,99
62,400,249
63,200,199
64,300,298
65,200,108
66,100,100
67,1400,1065
68,1500,677
69,1300,545
70,1300,508
71,2400,1557
72,2100,1365
73,2000,1065
74,1400,212
75,1400,700
76,700,249
77,400,376
78,1000,315
79,2200,1168
80,100,99
81,500,448
82,300,202
83,700,106
84,2900,1784
85,2200,1512
86,2100,1335
87,2700,1583
88,2900,1507
89,2200,913
90,2100,1010
91,1200,327
92,1200,638
93,1200,700
94,300,224
95,1600,636
96,100,100
97,900,436
98,300,199
99,200,2
100,800,336
101,200,199
102,500,381
103,0,0
104,0,0
105,0,0
106,400,400
107,200,200
108,200,199
109,800,710
110,0,0
111,300,300
112,300,300
113,300,154
114,0,0
115,400,176
116,900,272
117,0,0
118,200,200
119,400,233
120,800,712
121,200,101
122,200,197
123,1000,646
124,0,0
125,0,0
126,600,274
127,1300,237
128,0,0
129,0,0
130,2100,705
131,1600,514
132,2400,652
133,1900,591
134,2000,525
135,1900,605
136,1400,502
137,1600,502
138,200,200
139,2000,886
140,900,343
141,0,0
142,400,400
143,2000,814
144,1000,214
145,1400,697
146,1100,664
147,2000,902
148,2200,947
149,2300,856
150,2500,1392
151,1600,156
152,2000,993
153,1200,241
154,2200,1200
155,1600,1252
156,2500,1359
157,2400,1200
158,2100,1285
159,2000,992
160,1700,841
161,2400,933
162,1600,864
163,200,184
164,900,470
165,100,100
166,100,100
167,2100,1318
168,200,200
169,1400,673
170,1000,171
171,1600,397
172,300,300
173,1100,513
174,1900,895
175,500,113
176,1800,595
177,200,200
178,1100,416
179,2300,437
180,1700,755
181,2000,263
182,1300,946
183,800,501
184,1000,321
185,700,300
186,500,343
187,300,278
188,500,484
189,0,0
190,1400,432
191,100,100
192,100,100
193,200,200
194,200,200
195,100,100
196,300,250
197,200,200
198,100,100
199,500,305
