Step,Best,Average
1,800,169
2,1400,215
3,2100,257
4,1500,336
5,1900,511
6,2300,457
7,2000,568
8,1600,392
9,1800,706
10,2100,875
11,1900,546
12,2000,855
13,2700,1340
14,1900,722
15,2100,876
16,2000,535
17,2200,826
18,2100,341
19,2600,553
20,2300,974
21,1400,49
22,1200,222
23,1000,482
24,900,146
25,1300,243
26,100,99
27,700,286
28,1900,884
29,800,197
30,1800,1064
31,100,100
32,500,290
33,400,103
34,1200,380
35,1900,580
36,100,100
37,700,439
38,100,100
39,500,395
40,600,379
41,1300,319
42,600,302
43,600,415
44,100,100
45,0,0
46,200,200
47,0,0
48,900,751
49,200,186
50,300,164
51,1100,528
52,1800,378
53,1400,772
54,1000,736
55,200,200
56,1100,674
57,1300,543
58,700,402
59,1600,712
60,200,200
61,1600,755
62,1400,559
63,900,313
64,2000,1312
65,2000,1172
66,1800,314
67,1600,645
68,900,318
69,400,365
70,100,100
71,0,0
72,600,373
73,2300,1495
74,2000,1045
75,800,255
76,100,85
77,100,100
78,400,304
79,200,117
80,900,549
81,200,110
82,0,0
83,100,96
84,100,100
85,200,200
86,700,319
87,700,205
88,200,191
89,200,200
90,0,0
91,100,87
92,200,102
93,100,77
94,0,0
95,0,0
96,200,105
97,0,0
98,0,0
99,400,117
100,0,0
101,0,0
102,200,64
103,100,1
104,0,0
105,200,18
106,0,0
107,0,0
108,0,0
109,100,1
110,200,91
111,100,8
112,0,0
113,100,1
114,0,0
115,0,0
116,0,0
117,100,9
118,200,63
119,300,206
120,0,0
121,0,0
122,0,0
123,0,0
124,100,95
125,0,0
126,0,0
127,0,0
128,100,5
129,0,0
130,0,0
131,100,4
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,200,101
143,0,0
144,0,0
145,200,2
146,0,0
147,100,1
148,100,1
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,100,2
155,0,0
156,0,0
157,0,0
158,100,36
159,0,0
160,0,0
161,0,0
162,0,0
163,100,1
164,0,0
165,100,19
166,0,0
167,100,1
168,0,0
169,0,0
170,0,0
171,0,0
172,100,2
173,0,0
174,0,0
175,100,1
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,100,1
184,0,0
185,100,1
186,0,0
187,0,0
188,100,3
189,0,0
190,100,100
191,0,0
192,200,101
193,0,0
194,0,0
195,0,0
196,100,1
197,0,0
198,0,0
199,0,0
