Step,Best,Average
1,700,98
2,900,24
3,1400,181
4,1600,192
5,1600,212
6,1200,454
7,1800,403
8,1300,299
9,2100,515
10,2000,367
11,2100,420
12,2100,692
13,2000,632
14,2500,634
15,2000,672
16,2100,843
17,2100,1131
18,2300,1177
19,2400,1473
20,2700,1368
21,1200,595
22,1300,721
23,1300,509
24,0,0
25,0,0
26,0,0
27,100,1
28,200,200
29,200,2
30,400,4
31,200,198
32,200,199
33,400,200
34,1000,543
35,200,96
36,1100,515
37,500,400
38,100,100
39,300,210
40,400,205
41,300,295
42,100,98
43,0,0
44,200,178
45,600,348
46,300,5
47,500,286
48,100,98
49,600,371
50,400,233
51,1200,542
52,0,0
53,0,0
54,400,331
55,300,118
56,100,100
57,200,4
58,300,104
59,100,99
60,400,204
61,0,0
62,0,0
63,100,94
64,0,0
65,0,0
66,600,268
67,300,117
68,700,573
69,100,100
70,200,100
71,400,203
72,100,100
73,800,331
74,1000,508
75,200,104
76,600,194
77,500,206
78,200,192
79,100,100
80,800,308
81,300,281
82,200,200
83,100,100
84,0,0
85,700,354
86,500,432
87,200,200
88,600,218
89,0,0
90,0,0
91,200,200
92,100,100
93,900,578
94,200,200
95,400,103
96,400,289
97,100,100
98,600,382
99,0,0
100,500,246
101,100,100
102,100,100
103,500,400
104,200,180
105,100,97
106,0,0
107,800,499
108,300,123
109,700,264
110,0,0
111,300,273
112,400,217
113,300,210
114,700,555
115,100,63
116,700,116
117,200,185
118,0,0
119,200,178
120,400,255
121,100,100
122,100,100
123,200,200
124,200,115
125,800,453
126,400,132
127,300,117
128,0,0
129,600,388
130,200,200
131,200,153
132,200,200
133,100,100
134,0,0
135,0,0
136,0,0
137,0,0
138,300,280
139,0,0
140,500,364
141,100,100
142,600,164
143,300,161
144,0,0
145,0,0
146,0,0
147,400,313
148,600,259
149,600,450
150,0,0
151,700,566
152,0,0
153,100,100
154,200,200
155,200,132
156,400,212
157,500,199
158,0,0
159,0,0
160,100,100
161,100,100
162,300,201
163,100,100
164,1000,242
165,600,585
166,200,135
167,100,100
168,0,0
169,0,0
170,300,300
171,0,0
172,100,100
173,200,200
174,100,100
175,100,82
176,700,216
177,400,128
178,200,200
179,0,0
180,400,292
181,300,182
182,400,195
183,300,112
184,700,384
185,500,416
186,0,0
187,0,0
188,100,100
189,200,110
190,1000,564
191,200,134
192,0,0
193,400,393
194,100,100
195,700,492
196,200,200
197,600,479
198,300,271
199,200,186
