generation,averageFitness,topFitness
0,57,1350
1,254,1100
2,471,1200
3,490,1150
4,445.5,1450
5,332,1100
6,525.5,1400
7,775.5,1500
8,687.5,1350
9,809,1400
10,871,1600
11,718.5,1400
12,504,1300
13,845,1500
14,801.5,1650
15,683.5,1400
16,823.5,1650
17,847.5,1650
18,948,1550
19,997.5,1600
20,1182,1850
21,920,1500
22,1317.5,1900
23,1016.5,1750
24,1078.5,1550
25,1065,1750
26,1175,1750
27,1236,1900
28,1299,1950
29,1078,1650
30,1293.5,1800
31,1166.5,1850
32,1253.5,1650
33,999,1700
34,1219.5,1850
35,1414.5,2050
36,1147.5,1750
37,1173.5,2000
38,1293.5,1850
39,1005.5,1750
40,1361.5,1800
41,1090.5,2100
42,1230.5,1850
43,1152,2200
44,1326,1850
45,1099,1950
46,1339.5,1950
47,1183,1850
48,1113.5,1950
49,1152.5,1800
50,1148.5,2050
51,1239,2100
52,1268.5,2200
53,1253.5,2050
54,1531.5,2250
55,1365.5,2150
56,1540.5,2250
57,1355.5,2350
58,1467,2100
59,1199.5,2200
60,1373.5,2200
61,1320.5,2350
62,1376,2300
63,1537.5,2400
64,1392.5,2350
65,1303,2250
66,1171.5,2150
67,1376.5,2400
68,1329,2150
69,1300.5,2300
70,1431,2250
71,1397.5,2150
72,1273.5,2000
73,1529.5,2350
74,1553.5,2300
75,1435.5,2200
