Generation,Average,Best,Updates
0,65,2000,585
1,809,3100,7281
2,1431,3200,12879
3,1391,2900,12519
4,1803,3000,16226
5,1919,3000,17263
6,1931,3300,17379
7,2110,3300,18989
8,2123,3400,19106
9,1995,3400,17954
10,1955,3200,17591
11,2128,3300,19151
12,2306,3700,20754
13,2121,3400,19088
14,2234,3800,20106
15,2392,3500,21522
16,2222,3500,19993
17,2314,3600,20823
18,2418,4200,21757
19,2298,3600,20682
20,2390,3600,21500
21,2125,3800,19117
22,2280,3600,20514
23,2438,3600,21941
24,2306,3500,20747
25,2431,3700,21877
26,2477,3500,22292
27,2357,3500,21209
28,2377,3200,21392
29,2319,3600,20869
30,2420,3900,21771
31,2492,3600,22424
32,2264,3700,20376
33,2285,3300,20564
34,2363,3800,21262
35,2065,3300,18585
36,2220,3200,19976
37,2057,3700,18512
38,2374,3300,21364
39,2309,3400,20774
40,1981,3200,17827
41,2304,3400,20735
42,2386,3800,21471
43,2331,3400,20979
44,2491,3600,22417
45,2258,3500,20321
46,2582,3600,23237
47,1802,3100,16217
48,2280,3600,20517
49,2281,3400,20528
50,2385,3500,21464
51,2436,3700,21913
52,2314,3700,20824
53,2457,3800,22113
54,2031,3800,18276
55,2131,3500,19178
56,2229,3500,20048
57,2453,3700,22076
58,2502,3600,22515
59,2142,3600,19277
60,2572,3800,23147
61,2465,3600,22183
62,2477,3700,22291
63,2258,3300,20318
64,2693,3900,24236
65,2426,3300,21832
66,2214,3400,19915
67,2375,3300,21375
68,2291,4100,20616
69,2425,3500,21816
70,2465,3300,22184
71,2318,3400,20861
72,2580,3500,23215
73,2527,3500,22740
74,2266,3600,20394
75,2413,3700,21714
76,2376,3500,21378
77,2426,3800,21833
78,2481,3500,22327
79,2344,3300,21094
80,2299,3500,20691
81,2421,3600,21788
82,2528,3800,22749
83,2491,3700,22411
84,2309,3700,20779
85,2619,3400,23563
86,2373,3500,21356
87,2424,3300,21815
88,2508,4000,22569
89,2587,3600,23280
90,2466,3700,22192
91,2502,3600,22514
92,2500,3600,22489
93,2086,3300,18772
94,2413,3300,21707
95,2497,3500,22462
96,2238,3200,20141
97,2268,3500,20411
98,2394,3800,21545
99,2467,3900,22201
100,2319,3300,20869
101,2066,3200,18592
102,2237,3700,20130
103,2149,3300,19341
104,2649,3900,23837
105,1928,3100,17349
106,2403,3600,21625
107,2296,3200,20662
108,2406,4200,21652
109,2440,3600,21959
110,2181,3400,19626
111,2245,3600,20203
112,2145,3000,19304
113,2433,3600,21894
114,2310,3100,20782
115,2680,3700,24120
116,2606,3600,23449
117,2478,3400,22301
118,2471,3400,22237
119,2508,3600,22570
120,2244,3400,20195
121,2400,3700,21595
122,2232,3200,20080
123,2028,3100,18251
124,2367,3500,21293
125,2229,3200,20052
126,2447,3700,22022
127,2508,3900,22570
128,2374,3600,21365
129,2435,3300,21915
130,2344,3600,21095
131,2485,3600,22364
132,2438,3900,21941
133,2459,3500,22122
134,2529,3600,22759
135,2288,3500,20591
136,2301,3400,20707
137,2384,3400,21455
138,2574,3800,23165
139,2407,3500,21662
140,2249,4000,20240
141,2629,3700,23661
142,2631,3700,23676
143,2411,3500,21695
144,2187,3700,19683
145,2335,3600,21012
146,2333,3400,20995
147,2540,3700,22853
148,2220,4200,19977
149,2311,3600,20795
150,2241,3800,20165
151,2345,3600,21102
152,2292,3500,20626
153,2300,3500,20700
154,2165,3400,19483
155,2140,3600,19259
156,2163,3100,19466
157,2208,4000,19864
158,2323,3500,20907
159,2163,3300,19462
160,2403,3800,21624
161,2429,3500,21857
162,2348,3400,21130
163,2536,3700,22821
164,2310,3500,20787
165,2159,3700,19430
166,2203,3300,19827
167,2117,3400,19053
168,2367,3300,21300
169,2603,4100,23426
170,1974,3200,17764
171,2503,3600,22525
172,2400,3700,21599
173,2368,3400,21310
174,2093,3100,18836
175,2014,3300,18124
176,2006,3300,18054
177,2375,3300,21375
178,2182,3400,19634
179,2373,3400,21354
180,2442,3500,21976
181,2516,4100,22642
182,2488,3700,22388
183,2336,3500,21019
184,2411,3400,21695
185,2493,3400,22435
186,2323,3300,20903
187,2462,3600,22154
188,2604,3900,23435
189,2383,3700,21443
190,2504,3600,22531
191,2660,3600,23939
192,2548,3700,22929
193,2428,3600,21850
194,2455,3700,22093
195,2337,3800,21032
196,2511,4000,22596
197,2476,3900,22283
198,2561,3700,23049
199,2156,3600,19403
200,2389,3300,21499
