Generation,Average,Best,Updates
0,611,2600,60452
1,1368,2600,135329
2,2234,3400,221023
3,2578,3600,255061
4,2248,3400,222400
5,1826,3400,180687
6,769,2200,76101
7,2460,3600,243421
8,1355,2600,134110
9,1412,2800,139661
10,1218,2500,120398
11,679,2400,67144
12,1653,3300,163603
13,1419,2700,140437
14,2062,3500,204046
15,2552,3500,252556
16,2336,3400,231131
17,2729,3600,270025
18,2150,3300,212796
19,2527,3700,250110
20,2495,3600,246935
21,2639,3700,261193
22,1150,3200,113827
23,2329,3600,230514
24,2196,3700,217336
25,1720,3400,170210
26,453,700,44826
27,46,600,4554
28,1250,2300,123684
29,1040,1900,102921
30,749,1500,74128
31,229,800,22663
32,1838,3100,181849
33,1921,3400,190126
34,2312,3600,228748
35,1718,2900,170026
36,1141,2600,112912
37,1678,3600,166067
38,2591,3700,256412
39,1803,3500,178465
40,1846,2900,182679
41,821,2700,81260
42,1374,2100,135994
43,1189,2600,117676
44,967,2000,95699
45,1117,2900,110561
46,1620,2800,160297
47,453,1700,44736
48,1135,2600,112334
49,1499,3000,148355
50,1247,3300,123411
51,1532,3100,151625
52,1887,3600,186756
53,1696,3100,167868
54,1820,3200,180143
55,2303,3400,227962
56,2358,3600,233334
57,1135,2500,112334
58,2414,3600,238920
59,1666,3000,164877
60,1057,2700,104625
61,563,1700,55622
62,893,2400,88388
63,509,1500,50385
64,1832,3300,181225
65,1930,3400,191028
66,2212,3700,218934
67,2267,3400,224382
68,2083,3500,206086
69,1947,3200,192628
70,1770,3300,175136
71,1682,2900,166450
72,2024,3500,200297
73,1452,3100,143710
74,1604,2700,158750
75,1209,2600,119650
76,1570,2700,155404
77,1357,2900,134312
78,1269,2700,125607
79,1919,3400,189936
80,2420,3500,239527
81,2505,3600,247920
82,2306,3800,228215
83,1473,2800,145747
84,1586,3100,156940
85,1454,2900,143886
86,1572,2700,155564
87,1698,3100,168039
88,1608,3000,159141
89,1195,2100,118274
90,1451,2900,143612
91,855,2600,84625
92,891,1400,88176
93,1622,2500,160533
94,1726,3000,170802
95,1144,2500,113221
96,734,2200,72651
97,649,2200,64237
98,1307,2600,129359
99,1762,3700,174387
100,661,2600,65423
101,845,2100,83637
102,1575,3200,155870
103,2515,3900,248849
104,2188,3300,216542
105,2339,3800,231492
106,2381,3600,235624
107,1987,3400,196651
108,2212,4000,218867
109,2718,3900,269007
110,2313,3300,228898
111,1155,2200,114320
112,2587,3700,256004
113,2643,3900,261560
114,2644,3900,261656
115,2649,3700,262062
116,2534,3700,250795
117,2245,3700,222170
118,2661,4200,263354
119,1658,2900,163991
120,1999,3200,197803
121,1300,3100,128579
122,1631,3000,161428
123,1660,3500,164265
124,1377,2700,136288
125,1013,2700,100253
126,581,2800,57504
127,1370,3100,135574
128,1876,3100,185676
129,2763,4000,273440
130,3029,4300,299791
131,2663,4100,263572
132,2617,3400,259019
133,2580,3900,255353
134,2629,3700,260214
135,2347,3400,232263
136,1238,2800,122508
137,2168,3300,214548
138,2493,3400,246714
139,2942,4000,291168
140,2644,4100,261682
141,2052,3200,203096
142,1954,3400,193306
143,676,2600,66903
144,2501,3600,247394
145,2179,3100,215625
146,2407,3500,238153
147,2591,4000,256373
148,2617,3800,258999
149,2553,3500,252630
150,2742,4000,271370
151,2622,3600,259473
152,1882,3600,186226
153,1587,2900,157061
154,960,2100,95011
155,1661,3200,164370
156,1900,3300,187967
157,1597,3400,158033
158,1888,3300,186839
159,1807,3600,178824
160,1014,2700,100358
161,1587,3000,157075
162,1693,2900,167541
163,1248,3000,123495
164,1941,3300,192073
165,1929,3500,190916
166,2402,3500,237702
167,2354,3600,232982
168,1916,3100,189614
169,2600,3400,257330
170,2212,3300,218885
171,1924,2900,190435
172,1940,3500,192021
173,2088,3100,206648
174,1762,2900,174345
175,2817,3700,278765
176,2468,3700,244253
177,2513,3600,248713
178,2765,3800,273554
179,2640,3700,261269
180,2644,3700,261647
181,2175,3600,215241
182,2706,3600,267816
183,2133,3300,211089
184,1285,2800,127186
185,1963,3600,194260
186,589,1800,58219
187,1502,2600,148615
188,1709,3000,169128
189,1578,2500,156168
190,2050,3200,202891
191,1564,2800,154789
192,2405,4000,237989
193,2666,3700,263835
194,2836,4300,280668
195,2796,3700,276683
196,2694,3400,266634
197,2595,3700,256828
198,2728,3800,269975
199,2490,3300,246459
200,2209,3700,218619
