Step,Best,Average
1,700,22
2,1400,42
3,400,42
4,700,19
5,900,129
6,1700,184
7,1300,71
8,1300,81
9,1900,190
10,1900,235
11,1700,144
12,2000,133
13,2200,455
14,2200,322
15,1900,155
16,2400,302
17,1900,641
18,2200,394
19,1900,722
20,2000,374
21,1900,257
22,1700,505
23,2300,814
24,1900,366
25,2000,691
26,2200,857
27,2700,1176
28,2300,1186
29,1900,377
30,2300,579
31,1900,990
32,1600,885
33,900,27
34,1800,498
35,2100,757
36,1800,639
37,1700,149
38,1100,524
39,500,109
40,500,338
41,400,280
42,600,225
43,200,194
44,100,99
45,100,99
46,0,0
47,700,368
48,400,360
49,2300,884
50,2500,1343
51,800,157
52,2400,1602
53,2100,1544
54,2400,1553
55,1800,915
56,900,329
57,200,198
58,500,495
59,1100,319
60,800,163
61,200,198
62,700,527
63,100,99
64,700,459
65,0,0
66,300,297
67,2200,1340
68,1300,587
69,1900,876
70,800,303
71,1600,994
72,900,408
73,1800,853
74,0,0
75,2200,1625
76,2500,1700
77,2600,1777
78,2600,1720
79,2200,1478
80,2200,1461
81,2400,1482
82,2500,1631
83,2200,1464
84,2400,1591
85,2300,1577
86,2300,1720
87,2300,1511
88,2700,1714
89,2400,1567
90,2400,1673
91,2300,1310
92,2900,1627
93,2200,1476
94,2500,1676
95,2400,1481
96,2400,1489
97,2400,1577
98,2600,1782
99,2200,1668
100,2500,1551
101,2400,1735
102,2200,1683
103,2100,1392
104,2200,1531
105,2200,1538
106,2500,1665
107,2700,1780
108,2400,1694
109,2500,1780
110,2800,1828
111,2600,1803
112,2400,1754
113,2600,1789
114,3200,1849
115,2300,1553
116,2500,1729
117,2200,1569
118,2400,1687
119,2400,1629
120,2200,1513
121,2400,1505
122,2600,1688
123,2300,1812
124,2100,1521
125,2700,1894
126,2900,1885
127,2500,1722
128,2200,1550
129,2700,1915
130,2600,1901
131,2700,1783
132,2300,1706
133,2300,1686
134,2600,1874
135,2200,1673
136,2500,1616
137,2400,1778
138,2600,1759
139,2600,1703
140,2400,1613
141,2300,1710
142,2200,1491
143,2100,1593
144,1900,1327
145,2400,1598
146,2200,1580
147,2100,1547
148,2000,1464
149,2500,1709
150,2700,1945
151,2000,1496
152,2300,1550
153,2300,1781
154,1900,1541
155,2100,1595
156,2400,1745
157,2300,1720
158,2200,1698
159,2200,1679
160,2100,1460
161,2100,1661
162,2100,1514
163,2500,1675
164,2100,1462
165,2000,1422
166,2400,1889
167,2200,1393
168,1900,1480
169,2500,1981
170,2500,1960
171,2300,1744
172,1600,1508
173,2400,1430
174,2200,1869
175,2500,2018
176,2000,1617
177,2600,1742
178,2300,1823
179,2300,1595
180,2100,1903
181,1900,1446
182,1900,1317
183,1800,1350
184,2500,1774
185,2100,1584
186,1600,1291
187,2500,1935
188,2200,1596
189,2200,1686
190,2000,1592
191,1900,1712
192,1800,1549
193,2200,1887
194,2000,1733
195,2400,1939
196,1900,1162
197,1900,1503
198,2600,1829
199,2500,1888
