generation,averageFitness,topFitness
0,258.5,950
1,489,1250
2,1100.5,2100
3,1243.5,1850
4,1156.5,1950
5,1580,2350
6,1734.5,2450
7,1385,1800
8,1416,2200
9,1675,2200
10,1433.5,2350
11,1910,2250
12,1399.5,2200
13,1217.5,1900
14,1301.5,1700
15,1235,2100
16,1410.5,1900
17,1570,2350
18,1358.5,2000
19,1269.5,1800
20,1599.5,2100
21,1561.5,2350
22,1427.5,2500
23,1401.5,1950
24,1652.5,2200
25,1572.5,2600
26,1454,2200
27,1580.5,2150
28,1875,2400
29,1394,2000
30,1244.5,2250
31,1875,2450
32,1405.5,2000
33,1802.5,2650
34,1756,2550
35,1786.5,2700
36,1524,2450
37,1600.5,2400
38,1361,1900
39,2371,2900
40,1576.5,2300
41,1428,1850
42,1437.5,1950
43,1830,2950
44,1585.5,2450
45,1668,2300
46,1228,1750
47,1384,2100
48,1544.5,2300
49,1459.5,1950
