generation,averageFitness,topFitness
0,159.5,1050
1,1913,2600
2,2245,2700
3,2279.5,2850
4,1826.5,2750
5,1985.5,2750
6,1615,2550
7,1843.5,2700
8,1534,2600
9,1802.5,2750
10,1397.5,2500
11,1788,2650
12,2074,2950
13,2238,2850
14,2118.5,2750
15,2451.5,2850
16,2435,2850
17,2438.5,2900
18,2231.5,2800
19,2103.5,2750
20,1870,2600
21,1752.5,2650
22,2029,2800
23,1685.5,2900
24,2020.5,2750
25,2405,2950
26,1942.5,2700
27,2546,2950
28,2479.5,2950
29,2346.5,2900
30,2554.5,2900
31,2434.5,2800
32,2500.5,2800
33,2533.5,2950
34,2545,2950
35,2626.5,2950
36,2450,2800
37,2495.5,3000
38,2089,2700
39,2247,2900
40,1996.5,2850
41,1859,2700
42,1856.5,2750
43,1838,2600
