Generation,Average,Best,Updates
0,965,2400,95269
1,1900,3100,187976
2,2749,3500,271747
3,1776,3800,175727
4,1203,2200,119007
5,1220,2700,120661
6,886,1800,87616
7,2015,3400,199271
8,1564,3200,154737
9,1541,2600,152448
10,2354,3500,232807
11,2513,3500,248649
12,2760,3800,273106
13,1998,3800,197703
14,983,2600,97283
15,531,1900,52547
16,791,2900,78276
17,352,1900,34834
18,2389,3400,236430
19,2883,4200,285301
20,2197,3500,217397
21,1425,2900,141017
22,2484,3300,245851
23,2797,4000,276866
24,1394,2300,137974
25,2512,4000,248590
26,2688,3800,265989
27,2847,3800,281783
28,2858,3800,282842
29,2566,3700,253850
30,2541,3500,251414
