Generation,Average,Best,Updates
0,745,2100,73632
1,2063,3200,203951
2,2090,3300,206646
3,1857,3300,183660
4,788,2000,77866
5,1415,2800,139795
6,1360,2400,134500
7,2119,3100,209651
8,2553,3700,252531
9,1943,3200,192227
10,2575,3500,254740
11,2216,3500,219255
12,2420,3800,239413
13,1650,2600,163238
14,2148,2900,212499
15,2070,3500,204721
16,2556,3400,252920
17,2681,3600,265335
18,2192,3700,216953
19,2602,3600,257509
20,2527,3300,250006
21,2345,3600,232053
22,2709,3800,268108
23,2212,4100,218920
24,2333,3600,230882
25,2414,3800,238802
26,2034,3500,201207
27,2402,3300,237617
28,2629,3500,260058
29,2503,3900,247568
30,2876,4000,284598
31,2525,3600,249884
32,2777,3900,274822
33,2442,3400,241669
34,2690,3500,266157
35,2202,3500,217913
36,2647,4100,261966
37,2388,3800,236332
38,2418,3500,239299
39,2700,3800,267211
40,2787,3800,275827
41,2229,3600,220610
42,1663,3300,164586
43,1884,3900,186450
44,1334,3000,132017
45,1612,3000,159513
46,1230,2300,121728
47,1288,2900,127429
48,929,2300,91925
49,986,2000,97527
50,977,2300,96681
51,2172,3400,214841
52,1544,3100,152752
53,2723,3900,269427
54,2545,3600,251819
55,2681,3600,265251
56,2744,3700,271462
57,1794,3500,177450
58,2700,4000,267118
59,2606,3600,257789
60,2723,4100,269400
61,2573,3900,254603
62,1905,3100,188518
63,2459,3500,243359
64,1615,2900,159839
65,2669,3700,264155
66,2240,4100,221636
67,2504,3500,247802
68,2569,3500,254228
69,2560,3800,253370
70,2781,4000,275196
71,2566,3700,253912
72,1265,2800,125174
73,2107,3300,208514
74,1940,3500,191995
75,1423,2600,140814
76,2227,3300,220382
77,2288,3200,226413
78,1898,3300,187835
79,2235,3600,221204
80,1736,3400,171762
81,1653,3000,163574
82,1514,2800,149825
83,2180,3300,215724
84,2103,3800,208098
85,2623,3500,259541
86,2845,3700,281544
87,2443,3500,241747
88,2608,3800,258097
89,2589,3500,256216
90,2044,3400,202298
91,1688,3000,167050
92,2698,3700,267002
93,2290,3400,226561
94,2809,3600,278002
95,1795,3100,177636
96,2203,3700,217947
97,2309,3400,228514
98,2567,3500,254058
99,2845,4000,281567
100,2646,3600,261862
101,2400,3700,237512
102,1197,2300,118455
103,1538,3700,152209
104,2345,3400,232058
105,1512,3500,149638
106,2468,3800,244231
107,2723,3800,269486
108,1960,3400,193970
109,1815,2800,179623
110,2793,4100,276374
111,2771,3600,274176
112,2683,3500,265494
113,2756,3700,272730
114,2369,3700,234434
115,2869,4000,283929
116,2410,3400,238512
117,2277,3500,225291
118,2283,3400,225917
119,2342,3500,231710
120,2311,3400,228707
121,2728,3700,269874
122,2811,4000,278150
123,1456,2700,144092
124,2539,3600,251260
125,2759,4000,273012
126,2350,3400,232565
127,1167,3200,115475
128,1092,2900,108056
129,1942,3100,192150
130,2051,3800,202933
131,1968,2900,194703
132,2053,3200,203170
133,1248,2900,123500
134,1458,2200,144259
135,562,1500,55619
136,1023,2500,101247
137,991,2300,98073
138,2140,3300,211697
139,2295,3300,227109
140,2516,3600,248945
141,2332,3300,230778
142,2233,3400,220924
143,2812,3700,278207
144,2251,3200,222674
145,2352,3200,232661
146,2452,3700,242623
147,2415,3700,238956
148,2765,4100,273559
149,2426,3300,240090
150,1929,3200,190869
151,2528,3400,250146
152,2375,4000,235016
153,2795,4600,276570
154,2361,3200,233631
155,2158,3200,213533
156,2156,3300,213308
157,1908,3200,188765
158,1299,2900,128555
159,744,2900,73620
160,1261,2800,124770
161,811,2200,80248
162,1763,2900,174450
163,1635,3200,161786
164,2527,3900,250032
165,2517,3700,249039
166,2565,3700,253853
167,2770,3600,274013
168,2138,3600,211560
169,2317,3600,229122
170,2847,4200,281739
171,2705,3600,267698
172,2590,3800,256166
173,2363,3800,233695
174,1973,3200,195202
175,1543,2800,152700
176,2055,3100,203345
177,2276,3400,225171
178,2297,3400,227228
179,2067,3400,204484
180,1153,2800,114087
181,1527,2700,151117
182,1470,2600,145439
183,1583,2700,156647
184,2170,3200,214741
185,2347,3500,232226
186,2376,3500,235079
187,2987,4100,295550
188,2734,3900,270409
189,1901,3600,188091
190,2503,3800,247613
191,2754,3700,272517
192,2805,4100,277504
193,1983,3300,196228
194,2884,3700,285362
195,2589,4100,256131
196,2462,3800,243596
197,2784,4000,275452
198,2611,3600,258347
199,1889,3900,186905
200,2326,4100,230194
