Step,Best,Average
1,1100,176
2,900,54
3,1000,199
4,1100,52
5,2100,389
6,2200,175
7,1400,510
8,1800,484
9,1900,385
10,1800,421
11,1800,613
12,1900,816
13,2100,1039
14,2100,938
15,2100,1180
16,2300,1184
17,2500,1350
18,2300,1083
19,2200,1207
20,1900,848
21,1400,516
22,400,204
23,2100,1308
24,1500,233
25,1300,411
26,1700,805
27,1200,408
28,1900,1108
29,2000,1032
30,1400,685
31,700,358
32,1400,768
33,300,201
34,2100,1303
35,1700,590
36,1600,1016
37,2200,1447
38,2400,498
39,2200,1326
40,1500,763
41,1100,603
42,1400,331
43,600,187
44,200,200
45,100,100
46,600,132
47,800,390
48,700,533
49,100,100
50,500,8
51,1500,213
52,0,0
53,0,0
54,300,251
55,100,100
56,100,100
57,200,200
58,800,367
59,500,402
60,300,286
61,0,0
62,300,202
63,500,334
64,600,198
65,200,200
66,0,0
67,400,120
68,300,234
69,200,200
70,0,0
71,0,0
72,500,158
73,500,228
74,100,100
75,100,100
76,300,250
77,300,300
78,300,300
79,100,100
80,400,372
81,0,0
82,0,0
83,400,306
84,900,310
85,100,100
86,900,343
87,500,102
88,400,295
89,600,592
90,200,200
91,800,279
92,100,100
93,100,100
94,1600,947
95,1400,849
96,1600,800
97,1000,174
98,400,131
99,200,140
100,1900,922
101,1900,796
102,0,0
103,2100,793
104,1500,648
105,2100,1027
106,2100,1121
107,2000,1244
108,2200,1375
109,2200,1516
110,2300,1566
111,2100,1420
112,2000,1443
113,2000,1487
114,2600,1539
115,2400,1786
116,2200,1322
117,2300,1504
118,2100,1231
119,2900,1643
120,2300,1300
121,2000,920
122,2600,1025
123,1600,654
124,2700,1246
125,1700,645
126,1100,259
127,0,0
128,2000,873
129,2000,1019
130,1500,497
131,2200,971
132,2100,1023
133,0,0
134,2200,1097
135,2100,1272
136,2300,1489
137,2100,770
138,2200,830
139,2000,904
140,2300,1574
141,2400,1599
142,1800,976
143,2300,1420
144,1900,477
145,2000,763
146,2200,673
147,2700,1428
148,2200,1102
149,2000,1225
150,2400,1409
151,2100,1063
152,100,100
153,2300,1155
154,2000,1199
155,2800,1420
156,2100,1254
157,2300,1291
158,2100,1068
159,2300,1504
160,1800,699
161,1800,630
162,1800,880
163,2200,1405
164,2300,1277
165,2100,1046
166,1800,829
167,1200,318
168,2100,937
169,2300,938
170,1900,1046
171,1900,1114
172,2200,1118
173,1900,445
174,2100,1046
175,1500,700
176,1800,455
177,100,100
178,2500,1363
179,2200,663
180,1900,1073
181,1700,702
182,2100,671
183,2100,984
184,2200,1147
185,1600,893
186,200,197
187,2000,810
188,1900,641
189,1900,889
190,1800,581
191,200,200
192,1800,877
193,1500,437
194,2200,1194
195,200,200
196,300,223
197,100,100
198,0,0
199,300,300
