Generation,Average,Best,Updates
245,10782.97,19015,67769
246,14624.23,21017,16251
247,13004.51,21015,67517
248,12146.94,21019,95150
249,12446.1,20017,88357
250,13903.97,21014,6456
251,13627.17,22014,97969
252,12254.79,21021,47963
253,10026.29,17011,98672
254,9783.58,18018,81033
255,13465.92,23017,107834
256,11574.46,17022,93922
257,15930.02,21023,117952
258,9274.09,20015,64817
259,12979.19,23022,130566
260,13912.69,25018,116501
261,13820.87,22021,88101
262,11733.3,19025,106706
263,14227.01,20019,137015
264,14647.41,22016,50955
265,13480.29,22011,135051
266,11268.91,19024,74170
267,13698.75,19016,118339
268,12655.2,21014,73602
269,11165.75,18018,116473
270,7535.31,13014,44874
271,8913.64,17014,85204
272,7283.65,13021,63912
273,10106.29,20024,102776
274,8112.54,16013,83708
275,8942.11,16020,47569
276,10171.05,18014,42504
277,11832.31,18019,34871
278,6026,23014,45499
279,12451.52,24017,38446
280,15224.63,21019,13512
281,14087.91,21016,146876
282,14076.82,25015,140409
283,14596.92,22017,130026
284,16844.95,23013,11742
285,15294.7,20015,961
286,13091.51,20016,38457
287,13555.25,22018,77751
288,12796.44,20019,122731
289,11255.02,18015,95099
290,10863.06,16014,45170
291,13541.78,20013,1959
292,10590.53,17018,11379
293,10511.94,17013,10464
294,9973.61,16020,62172
295,12345.18,20017,88437
296,12763.7,22014,66948
297,13340.07,21021,138906
298,12009.37,19013,132391
299,15660.55,22023,88693
300,12255.95,24015,140519
301,11610.23,21015,17642
302,12774.43,21010,49802
303,13763.19,21010,12552
304,15294.61,23014,11535
305,13285.27,20019,68485
306,8783.14,22024,95422
307,12706.53,19018,123005
308,13697.45,23017,59328
309,12193.29,21016,43243
310,13196.06,19016,96617
311,12495.74,23022,116569
312,11934.86,18013,118205
313,12563.59,19019,125306
314,11766.64,18021,112450
315,11708.81,18022,115065
316,12379.25,20018,127092
317,12124.82,17016,111852
318,14502.72,20011,14683
319,10042.74,15013,63469
320,12542.62,18016,6031
321,10435.42,15008,72547
322,11821.42,19008,39554
323,13601.92,18009,12310
324,12995.68,19014,93647
325,10873.58,17015,80982
326,10362.57,15016,63699
327,8474.7,13018,67372
328,8844.82,15014,59221
329,11842.15,16010,49598
330,11130.58,16012,1786
331,11192.62,19008,55358
332,13349.5,20029,81618
333,8912.45,20020,88336
334,11735.43,24024,117157
335,12590.69,22017,126660
336,14671.47,23020,129801
337,14461.53,22021,140465
338,15740.84,24024,82978
339,13189.4,21019,137621
340,13063.13,19029,125852
341,13329.99,24017,90278
342,12969.67,20021,114407
343,13908.31,21022,108008
344,11780.38,19024,92460
345,13554.65,20020,50432
346,10382.41,16012,40652
347,9049.65,20010,78280
348,13253.31,18016,57387
349,13451.72,22010,11805
350,14730.51,21008,1749
351,12812.65,21010,19401
352,13714.87,20016,134581
353,15254.52,22017,46058
354,15304.2,23015,22333
355,14379.44,21025,161197
356,12777.24,19016,61371
357,14265.34,21017,79595
358,15335.43,21013,3169
359,15436.98,22018,99646
360,12535.99,18020,88605
361,12175.41,20014,114475
362,9203.64,16010,87373
363,11865.54,18014,88025
364,10716.74,18022,68612
365,11486.28,18021,100084
366,7220.99,15015,76576
367,10312.28,16014,90351
368,6307.73,16018,59307
369,7552.37,13015,70424
370,7621.16,17015,80455
371,11462.92,16006,119351
372,9859.97,16012,10777
373,9121.2,14011,42170
374,9262.62,17026,65358
375,10863.77,15017,103637
376,12162.33,18014,52741
377,9441.84,14015,57116
378,11712.06,19022,86420
379,9120.8,20015,42311
380,9321.77,18015,95298
381,8041.98,18011,30639
382,11432.32,21015,14068
383,9902.28,17015,94238
384,10443.86,18018,103534
385,9989.93,15015,61180
386,13199.72,21008,9205
387,8932.9,18019,34775
388,8992.4,18019,61763
389,10021.79,18013,96671
390,7380.67,17009,65986
391,2771.01,11012,28802
392,5201.99,15014,32028
393,4280.87,16008,30828
394,5892.11,22011,58559
395,11711.57,21010,13866
396,13410.55,22015,10177
397,14280.08,21013,6206
398,12550.93,20010,3988
399,14010.08,22010,7836
400,13100.99,22015,6618
401,10799.64,20015,8439
402,11890.22,19012,30044
403,12910.74,20013,42153
404,7260.45,22010,61998
405,11693.05,20017,115196
406,13019.6,19011,9692
407,6309.08,17013,39671
408,12792.71,19012,65258
409,11079.91,19007,42106
410,9780.32,17010,76879
411,9519.41,16009,38876
412,9662.45,16015,106578
413,12330.84,20010,8829
414,9011.03,14010,59303
415,11500.91,17014,16059
416,10090.68,18010,104317
417,12121.71,20014,18504
418,10903.56,16024,113325
419,12731.59,19015,38892
420,12002.09,19015,37398
421,8281.66,21009,25249
422,10783.22,20006,106457
423,13665.05,22014,135937
424,5942.44,14019,27530
425,2461.14,9012,25601
426,2610.96,13010,33784
427,3099.32,13011,32062
428,9848.86,21012,2057
429,7401.51,13009,76679
430,11940.39,20011,25487
431,9252.52,20012,70576
432,12062.04,22009,28860
433,13305.27,22013,110217
434,8863.1,18021,77809
435,12293.02,20017,127755
436,9841.26,15018,101890
437,9780.67,16008,87107
438,10721.66,17010,81717
439,10761.72,19022,74432
440,12433.37,20007,57559
441,12984.9,20016,126737
442,8630.59,15010,68950
443,10961.39,19012,46498
444,8700.46,13012,37808
445,9125.09,15012,90539
446,10540.95,16012,57034
447,7312.11,15017,71916
448,9269.89,14014,89124
449,8790.53,15011,104998
450,9962.67,18007,77556
451,13252.78,18017,39464
452,11719.41,19007,5380
453,9660.38,17012,49211
454,8733.24,18008,88244
455,7080.1,14012,50062
456,9719.54,16010,4507
457,10872.59,23019,110048
458,13685.05,23015,79959
459,13517.01,19014,113002
460,12557.99,19015,72801
461,12243.27,19017,91028
462,12972.67,19014,2565
463,12554.14,21008,90855
464,13946.83,24024,61699
465,12926.24,21015,87096
466,14513.49,25012,9403
467,14652.59,21018,23313
468,12781.86,23017,2744
469,11883.22,19013,120663
470,12740.55,22010,1940
471,13664.8,22012,110977
472,14403.03,23010,4057
473,16763.59,27011,15696
474,12214.06,19018,82044
475,14271.96,24007,6235
476,12174.24,19014,134896
477,9411.93,16011,96157
478,12040.91,20021,29063
479,12143.17,18013,39374
480,9120.67,20021,94633
481,10994.6,20019,120098
482,10933.74,17022,79046
483,14926.95,22021,71732
484,13448.06,21023,97553
485,13746.67,21023,129597
486,14878.04,23017,54460
487,14308.24,21025,122239
488,13716.55,20027,108781
489,11785.16,19021,113529
490,13607.44,20018,135243
491,16528.34,28015,112414
492,14227.93,20024,112705
493,14568.42,23018,117935
494,12729.44,20018,123788
495,11765.9,19025,115319
496,11204.06,16016,91000
497,8424.84,14016,91515
498,10801.52,17008,99105
499,10553.24,15022,61000
500,11432.37,17017,31887
