Generation,Orientation Variance,Velocity Variance
1,0.0372953648255173,0.00305165405990079
2,0.0187212974994889,0.000430479825614034
3,0.0142835976826034,0.000354047953103044
4,0.0165044013377308,0.000207641395088802
5,0.0142821268026854,0.000269294029490117
6,0.023914382270574,0.000369613996598321
7,0.0198285881251685,0.000509540563753206
8,0.0193281896933273,0.000192991566701298
9,0.0241524349022324,0.000473142387390287
10,0.0219054508282301,0.000167243176657243
11,0.0177478164910806,0.000453920786242007
12,0.0189846163666714,0.000285553380661847
13,0.0193376542703135,0.000119104106059066
14,0.018435269295918,0.000353431378056239
15,0.023519175543271,0.00043367090564901
16,0.0186960330626542,0.000119607720393641
17,0.0244954291779217,0.000415434087442211
18,0.0238314748531523,0.000405269447360345
19,0.0218790426245993,0.00257206308432095
20,0.024510845983262,0.000586215056568593
21,0.0147907483232652,0.000379711240409239
22,0.0184731618098967,0.000690240378076727
23,0.0197182796955661,0.000240330150409151
24,0.0186394019928129,0.000929022574499544
25,0.013929295733973,0.00242478514368526
26,0.0194590490337277,0.000815107621724072
27,0.0139856530141969,0.000933609609496688
28,0.0198195346309866,0.000650463095297619
29,0.0162253607033979,0.00110702186282277
30,0.0251229446052462,0.00174942391321747
