Generation,Orientation Variance,Velocity Variance
1,0.0428339511053215,0.00238202300179261
2,0.048498965567987,0.0027834017944992
3,0.0417850310876365,0.00421754307476665
4,0.0397890608459888,0.00356210647524633
5,0.0473920670648898,0.00370436274631497
6,0.0378925946905742,0.00281028898103491
7,0.0450352646881365,0.00233450035395947
8,0.0476648089254904,0.00245033508221184
9,0.0408455731841098,0.00321274473112294
10,0.0341393088448863,0.00183068586269202
11,0.0382907044425706,0.00199631886830481
12,0.0414685881691308,0.0029505226440132
13,0.0405075351693634,0.00487422970569518
14,0.0487973378788688,0.0040066150168097
15,0.0451163787128023,0.00329563840220109
16,0.0401260304416477,0.00404190584532165
17,0.0404205884382329,0.00122478889888684
18,0.0397120105416048,0.000736951288654547
19,0.0427552033523109,0.00231867880563406
20,0.0381474994817526,0.00185467150374679
21,0.0315695771052854,0.00127085804436224
22,0.0399790384093159,0.0015200025592178
23,0.043708865119726,0.00108421793725442
24,0.0455130682769643,0.000855956598629575
25,0.0479095928217168,0.00108042544145731
26,0.0292189791842088,0.000402055868186602
27,0.0224195943385082,0.00374197385515908
28,0.0251926062006944,0.0020889020433344
29,0.0303039947235619,0.00314665246120465
30,0.033621729305408,0.00151171757474236
