Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.0520393777828,0.0105285508464,0.00464682495336,0.00278205676988,100
1,0.0476726373076,0.0127538909421,0.00363390007357,0.00294402660785,100
2,0.0458229741181,0.0129595915473,0.00299781936188,0.00249134953781,100
3,0.0450497957408,0.0138164485028,0.00265524588714,0.00246914759664,100
4,0.0438946274205,0.0132156915215,0.00226271262041,0.00222767090688,100
5,0.0436386285774,0.0126793331787,0.00222232474165,0.00245202540083,100
6,0.0424097783459,0.0136450807348,0.00209440393425,0.00195826651702,100
7,0.0427877842441,0.014394593961,0.00189714917178,0.00185380629718,100
8,0.0407963470303,0.0152009011447,0.00175278371631,0.00178501346277,100
9,0.0403209156227,0.0153283132562,0.0016657925211,0.00188539161463,100
10,0.0405597272739,0.0159102814535,0.00185308829643,0.00169253199698,100
11,0.039576992883,0.0158539896833,0.0016942520863,0.00156848105861,100
12,0.0386557549488,0.0152666076476,0.00175076650881,0.00179965037251,100
13,0.0402093449507,0.0162206459786,0.00187280516711,0.00209093954015,100
14,0.039149660522,0.0155568994949,0.0015180857424,0.00162985813935,100
15,0.0380086261878,0.0144746155637,0.00132950762683,0.00139151233517,100
16,0.0367447387248,0.0146848882997,0.00144285136585,0.00134444234215,100
17,0.0376766674285,0.0153087353291,0.00152443584929,0.00171902141996,100
18,0.0359307154708,0.0150574328601,0.00143390529764,0.00142085546436,100
19,0.0356245021824,0.0149108769833,0.00142405683155,0.00195792661632,100
20,0.0344902071923,0.0152875174017,0.00150025821747,0.00160013909159,100
21,0.0348388732382,0.0154790317297,0.00133026494814,0.00136085157605,100
22,0.0353041263381,0.0161130696735,0.00132203510966,0.00137219623116,100
23,0.0347415374294,0.0150774733716,0.00129376579584,0.00132800566511,100
24,0.0349374614697,0.0175182969834,0.00155383196523,0.0024842519216,100
25,0.0330147441079,0.0160302998762,0.00141779145118,0.00231016280851,100
26,0.0337120163132,0.017084818022,0.00141116050777,0.00171611300979,100
27,0.0320064113076,0.0160192968033,0.00144995579583,0.00174801448172,100
28,0.0324931800932,0.0169868106833,0.0012938331298,0.00127275185606,100
29,0.0322814643467,0.016662961786,0.00131771845469,0.00138463755869,100
