Generation,Average,Best,Samples
227,2314.0,2840.0,10
228,2379.0,2880.0,10
229,2395.6,2865.0,10
230,2330.5,2890.0,10
231,2391.6,2870.0,10
232,2424.3,2860.0,10
233,2428.8,2860.0,10
234,2453.05,2900.0,10
235,2419.45,2860.0,10
236,2378.85,2875.0,10
237,2335.0,2830.0,10
238,2315.7,2860.0,10
239,2255.5,2855.0,10
240,2320.6,2855.0,10
241,2326.75,2860.0,10
242,2373.15,2895.0,10
243,2347.25,2860.0,10
244,2391.95,2885.0,10
245,2270.15,2835.0,10
246,2276.25,2850.0,10
247,2364.9,2855.0,10
248,2366.4,2865.0,10
249,2382.05,2850.0,10
250,2385.6,2860.0,10
251,2286.5,2800.0,10
252,2278.45,2825.0,10
253,2337.3,2870.0,10
254,2414.2,2865.0,10
255,2298.85,2810.0,10
256,2311.65,2870.0,10
257,2369.05,2850.0,10
258,2353.1,2875.0,10
259,2291.8,2795.0,10
260,2388.95,2805.0,10
261,2427.65,2915.0,10
262,2393.9,2875.0,10
263,2374.25,2875.0,10
264,2307.2,2845.0,10
265,2393.55,2865.0,10
266,2355.35,2880.0,10
267,2421.6,2885.0,10
268,2410.8,2845.0,10
269,2458.6,2905.0,10
270,2402.7,2860.0,10
271,2351.95,2810.0,10
272,2311.05,2825.0,10
273,2325.8,2825.0,10
274,2334.95,2850.0,10
275,2395.55,2850.0,10
276,2354.9,2890.0,10
277,2277.6,2870.0,10
278,2480.05,2930.0,10
279,2357.25,2845.0,10
280,2342.9,2865.0,10
281,2386.6,2895.0,10
282,2380.35,2865.0,10
283,2323.55,2850.0,10
284,2331.65,2865.0,10
285,2325.95,2820.0,10
286,2409.15,2865.0,10
287,2366.5,2890.0,10
288,2383.3,2890.0,10
289,2412.85,2895.0,10
290,2429.6,2840.0,10
291,2368.75,2850.0,10
292,2454.1,2915.0,10
293,2414.6,2880.0,10
294,2361.4,2875.0,10
295,2408.05,2865.0,10
296,2375.05,2890.0,10
297,2437.3,2875.0,10
298,2366.25,2850.0,10
299,2410.6,2895.0,10
300,2418.3,2895.0,10
301,2388.05,2860.0,10
302,2334.25,2840.0,10
303,2365.7,2890.0,10
304,2402.75,2850.0,10
305,2341.15,2855.0,10
306,2379.75,2890.0,10
307,2340.8,2855.0,10
308,2441.6,2910.0,10
309,2338.85,2875.0,10
310,2288.55,2880.0,10
311,2386.8,2870.0,10
312,2503.5,2905.0,10
313,2470.1,2885.0,10
314,2417.6,2895.0,10
315,2466.5,2860.0,10
316,2398.2,2870.0,10
317,2462.7,2900.0,10
318,2418.2,2880.0,10
319,2430.0,2865.0,10
320,2351.55,2825.0,10
321,2375.25,2875.0,10
322,2381.4,2840.0,10
323,2363.4,2860.0,10
324,2419.8,2880.0,10
325,2467.1,2890.0,10
326,2407.0,2855.0,10
327,2366.0,2815.0,10
328,2394.15,2870.0,10
329,2318.75,2860.0,10
330,2362.05,2905.0,10
331,2338.6,2855.0,10
332,2350.2,2840.0,10
333,2397.2,2890.0,10
334,2448.1,2855.0,10
335,2408.6,2830.0,10
336,2362.65,2835.0,10
337,2410.65,2875.0,10
338,2370.65,2845.0,10
339,2397.65,2885.0,10
340,2434.85,2880.0,10
341,2331.0,2890.0,10
342,2454.75,2885.0,10
343,2436.85,2875.0,10
344,2361.85,2845.0,10
345,2333.05,2835.0,10
346,2237.15,2870.0,10
347,2275.75,2830.0,10
348,2235.55,2820.0,10
349,2223.65,2845.0,10
350,2270.4,2860.0,10
351,2312.2,2795.0,10
352,2368.4,2830.0,10
353,2291.25,2865.0,10
354,2269.2,2885.0,10
355,2300.5,2855.0,10
356,2296.1,2805.0,10
357,2417.8,2890.0,10
358,2403.9,2920.0,10
359,2404.9,2890.0,10
360,2416.85,2895.0,10
361,2372.45,2890.0,10
362,2395.95,2875.0,10
363,2367.5,2840.0,10
364,2340.75,2835.0,10
365,2348.95,2820.0,10
366,2398.0,2885.0,10
367,2490.6,2930.0,10
368,2323.4,2865.0,10
369,2413.25,2885.0,10
370,2376.3,2880.0,10
371,2319.95,2885.0,10
372,2357.95,2850.0,10
373,2290.3,2880.0,10
374,2224.2,2825.0,10
375,2392.8,2910.0,10
376,2419.95,2885.0,10
377,2369.25,2850.0,10
378,2319.4,2900.0,10
379,2277.0,2875.0,10
380,2369.5,2865.0,10
381,2403.45,2905.0,10
382,2457.55,2890.0,10
383,2451.4,2885.0,10
384,2457.95,2895.0,10
385,2472.75,2920.0,10
386,2464.65,2945.0,10
387,2405.9,2885.0,10
388,2433.8,2870.0,10
389,2384.7,2860.0,10
390,2418.3,2845.0,10
391,2472.45,2875.0,10
392,2430.7,2885.0,10
393,2431.25,2875.0,10
394,2470.05,2895.0,10
395,2413.5,2915.0,10
396,2448.6,2890.0,10
397,2464.65,2900.0,10
398,2342.75,2840.0,10
399,2452.9,2920.0,10
400,2424.35,2880.0,10
401,2355.95,2865.0,10
402,2406.6,2875.0,10
403,2478.75,2885.0,10
404,2457.1,2900.0,10
405,2355.3,2880.0,10
406,2360.05,2850.0,10
407,2466.95,2920.0,10
408,2469.8,2910.0,10
409,2404.8,2880.0,10
410,2430.35,2890.0,10
411,2304.95,2825.0,10
412,2363.5,2865.0,10
413,2419.25,2875.0,10
414,2454.55,2935.0,10
415,2388.1,2885.0,10
416,2380.9,2890.0,10
417,2398.85,2890.0,10
418,2360.2,2845.0,10
419,2271.55,2885.0,10
420,2279.95,2845.0,10
421,2329.45,2860.0,10
422,2392.45,2875.0,10
423,2316.0,2850.0,10
424,2337.2,2850.0,10
425,2301.9,2830.0,10
426,2283.35,2830.0,10
427,2269.85,2880.0,10
428,2228.9,2865.0,10
429,2262.1,2825.0,10
430,2217.05,2815.0,10
431,2272.9,2860.0,10
432,2286.6,2845.0,10
433,2274.1,2835.0,10
434,2324.2,2825.0,10
435,2289.85,2845.0,10
436,2173.35,2875.0,10
437,2348.15,2890.0,10
438,2334.95,2840.0,10
439,2321.55,2845.0,10
440,2381.4,2890.0,10
441,2426.55,2900.0,10
442,2420.0,2875.0,10
443,2349.55,2855.0,10
444,2384.05,2855.0,10
445,2388.55,2845.0,10
446,2436.1,2890.0,10
447,2402.55,2865.0,10
448,2347.6,2875.0,10
449,2419.6,2875.0,10
450,2305.9,2860.0,10
451,2349.45,2895.0,10
452,2328.95,2845.0,10
453,2344.15,2880.0,10
454,2400.1,2920.0,10
455,2394.75,2875.0,10
456,2347.3,2825.0,10
457,2343.75,2875.0,10
458,2375.5,2880.0,10
459,2414.25,2905.0,10
460,2423.15,2885.0,10
461,2423.95,2855.0,10
462,2428.15,2820.0,10
463,2388.05,2835.0,10
464,2226.85,2810.0,10
465,2287.9,2815.0,10
466,2320.05,2860.0,10
467,2340.8,2850.0,10
468,2333.25,2855.0,10
469,2423.2,2895.0,10
470,2458.0,2895.0,10
471,2485.2,2890.0,10
472,2412.55,2875.0,10
473,2530.0,2925.0,10
474,2448.1,2880.0,10
475,2361.5,2890.0,10
476,2396.45,2865.0,10
477,2459.75,2925.0,10
478,2483.55,2900.0,10
479,2490.3,2915.0,10
480,2393.9,2870.0,10
481,2331.05,2870.0,10
482,2377.5,2910.0,10
483,2362.25,2860.0,10
484,2353.95,2865.0,10
485,2321.25,2870.0,10
486,2316.5,2835.0,10
487,2303.2,2850.0,10
488,2403.4,2865.0,10
489,2343.65,2905.0,10
490,2419.55,2895.0,10
491,2441.45,2890.0,10
492,2340.4,2870.0,10
493,2457.3,2920.0,10
494,2413.6,2900.0,10
495,2373.8,2855.0,10
496,2421.5,2880.0,10
497,2420.35,2890.0,10
498,2488.55,2920.0,10
499,2395.0,2900.0,10
