Step,Score
5000,0
10000,0
15000,0
20000,0
25000,300
30000,0
35000,100
40000,0
45000,0
50000,0
55000,0
60000,0
65000,0
70000,0
75000,0
80000,0
85000,100
90000,0
95000,0
100000,0
105000,0
110000,0
115000,0
120000,0
125000,0
130000,0
135000,0
140000,0
145000,100
150000,0
155000,0
160000,0
165000,0
170000,0
175000,0
180000,0
185000,0
190000,0
195000,0
200000,0
205000,0
210000,0
215000,0
220000,0
225000,0
230000,0
235000,0
240000,0
245000,0
250000,0
255000,0
260000,0
265000,0
270000,100
275000,0
280000,0
285000,100
290000,0
295000,0
300000,0
305000,0
310000,0
315000,0
320000,0
325000,0
330000,0
335000,100
340000,0
345000,0
350000,100
355000,0
360000,0
365000,100
370000,0
375000,0
380000,100
385000,0
390000,0
395000,0
400000,0
405000,0
410000,0
415000,0
420000,0
425000,0
430000,0
435000,0
440000,0
445000,0
450000,0
455000,0
460000,0
465000,0
470000,0
475000,0
480000,100
485000,0
490000,0
495000,100
500000,0
505000,100
510000,0
515000,0
520000,0
525000,0
530000,0
535000,0
540000,0
545000,0
550000,0
555000,0
560000,0
565000,0
570000,0
575000,0
580000,0
585000,0
590000,0
595000,0
600000,0
605000,0
610000,0
615000,100
620000,0
625000,0
630000,0
635000,0
640000,0
645000,0
650000,0
655000,0
660000,0
665000,0
670000,0
675000,0
680000,100
685000,0
690000,0
695000,0
700000,100
705000,0
710000,0
715000,0
720000,0
725000,0
730000,0
735000,0
740000,0
745000,0
750000,100
755000,0
760000,0
765000,0
770000,0
775000,0
780000,0
785000,0
790000,0
795000,0
800000,0
805000,0
810000,100
815000,0
820000,0
825000,0
830000,0
835000,0
840000,0
845000,0
850000,0
855000,0
860000,0
865000,0
870000,0
875000,0
880000,0
885000,0
890000,0
895000,0
900000,100
905000,200
910000,0
915000,0
920000,100
925000,0
930000,0
935000,0
940000,0
945000,0
950000,0
955000,0
960000,0
965000,0
970000,100
975000,0
980000,0
985000,0
990000,0
995000,0
1000000,0
1005000,0
1010000,0
1015000,0
1020000,0
1025000,0
1030000,0
1035000,0
1040000,0
1045000,0
1050000,0
1055000,0
1060000,0
1065000,0
1070000,0
1075000,100
1080000,0
1085000,100
1090000,0
1095000,0
1100000,0
1105000,0
1110000,100
1115000,0
1120000,0
1125000,100
1130000,0
1135000,0
1140000,0
1145000,0
1150000,0
1155000,0
1160000,0
1165000,0
1170000,100
1175000,0
1180000,0
1185000,0
1190000,0
1195000,0
1200000,0
1205000,0
1210000,0
1215000,0
1220000,0
1225000,0
1230000,0
1235000,0
1240000,0
1245000,0
1250000,0
1255000,0
1260000,0
1265000,0
1270000,0
1275000,0
1280000,0
1285000,0
1290000,0
1295000,0
1300000,0
1305000,0
1310000,0
1315000,0
1320000,0
1325000,0
1330000,0
1335000,0
1340000,0
1345000,0
1350000,0
1355000,0
1360000,0
