Step,Best,Average
1,300,3
2,600,28
3,500,6
4,600,82
5,1600,169
6,1600,68
7,1300,221
8,1600,469
9,2000,265
10,2000,344
11,2400,310
12,2100,311
13,2100,618
14,2000,517
15,2700,653
16,2300,726
17,1900,605
18,1600,660
19,2400,1225
20,1900,524
21,2100,698
22,1900,987
23,2200,1302
24,2300,1445
25,2500,1530
26,2400,1629
27,2600,1652
28,2500,1527
29,2000,1359
30,1600,429
31,100,100
32,1700,906
33,2600,1751
34,1800,372
35,1000,427
36,0,0
37,1800,805
38,1100,312
39,400,390
40,1100,524
41,0,0
42,100,100
43,1500,685
44,200,200
45,800,119
46,1600,405
47,1000,570
48,100,100
49,1300,524
50,1400,450
51,1700,745
52,2200,1125
53,1800,1012
54,2200,1409
55,2200,1441
56,2400,1642
57,2400,1763
58,2000,1338
59,2600,1788
60,2500,1645
61,2400,1572
62,2500,1733
63,2400,1634
64,2500,1578
65,2600,1323
66,2200,1090
67,2100,1042
68,1900,835
69,2300,935
70,1800,748
71,2500,870
72,1000,383
73,1500,705
74,0,0
75,1200,409
76,1400,679
77,1300,609
78,1800,435
79,1800,456
80,200,184
81,100,100
82,2200,588
83,1800,699
84,1900,855
85,1300,646
86,900,207
87,1900,926
88,800,409
89,2000,1128
90,2200,680
91,700,329
92,1900,1038
93,1100,215
94,2200,905
95,1200,395
96,1500,711
97,2100,1011
98,1600,669
99,1200,603
100,300,296
101,100,100
102,1800,762
103,200,200
104,100,100
105,0,0
106,1900,452
107,300,298
108,1300,392
109,1800,744
110,1200,413
111,800,401
112,500,248
113,300,102
114,1700,510
115,600,600
116,1400,393
117,1800,774
118,700,387
119,200,200
120,1000,827
121,1900,460
122,1200,776
123,300,300
124,1400,409
125,300,246
126,1200,626
127,300,300
128,300,104
129,1800,513
130,200,200
131,1300,803
132,400,345
133,300,213
134,1900,385
135,1700,772
136,800,665
137,100,100
138,100,100
139,500,354
140,600,237
141,600,403
142,1300,687
143,400,337
144,400,400
145,200,200
146,1000,711
147,100,100
148,400,354
149,600,342
150,1200,386
151,0,0
152,0,0
153,1000,629
154,0,0
155,1500,756
156,0,0
157,100,100
158,300,300
159,1900,554
160,1200,517
161,1400,461
162,900,411
163,300,300
164,100,100
165,1700,648
166,100,100
167,800,431
168,200,100
169,500,221
170,0,0
171,0,0
172,700,395
173,1500,746
174,1100,740
175,800,466
176,0,0
177,500,273
178,800,521
179,0,0
180,100,100
181,100,100
182,300,243
183,500,284
184,500,297
185,900,420
186,900,479
187,1100,814
188,300,300
189,800,498
190,200,200
191,300,252
192,500,401
193,2000,1081
194,100,100
195,600,393
196,800,491
197,200,200
198,600,600
199,400,358
