generation,averageFitness,topFitness,Updates
0,311.94,6010,0
1,322.59,4011,0
2,1281.12,4014,0
3,1437.68,5009,0
4,998.84,3017,0
5,798.56,3012,0
6,1639.23,8010,0
7,1668.59,5015,0
8,1034.61,5015,0
9,2471.53,6015,0
10,1815.6,5019,0
11,1730.97,6007,0
12,1749.5,6020,0
13,1882.7,6007,0
14,1862.55,6015,0
15,845.94,7010,0
16,1379.52,5019,0
17,2242.01,9009,0
18,2132.14,7018,0
19,2504.3,5019,0
20,2312.41,5022,0
21,2233.92,6019,0
22,4506.03,10016,0
23,2325.91,7018,0
24,2065.25,6013,0
25,2939.39,6023,0
26,2937.01,7015,0
27,3206.28,7017,0
28,4849.56,8024,0
29,2594.51,7015,0
30,2183.35,5016,0
31,2777.79,7019,0
32,2754.33,6020,0
33,1983.72,6012,0
34,2524.64,6018,0
35,3591.79,9013,0
36,1954.48,6014,0
37,2176.12,7018,0
38,2780.24,9019,0
39,4567.75,9020,0
40,2608.99,7022,0
41,2920.15,7016,0
42,3418.63,8018,0
43,2561.67,6026,0
44,3727.49,9018,0
45,3160.62,8017,0
46,3370,8021,0
47,3421.66,8022,0
48,2541.44,8026,0
49,2428.1,7032,0
50,3148.04,7046,0
51,2842.19,8032,0
52,3027.39,7021,0
53,2747.18,7041,0
54,3259.03,7042,0
55,2073.9,6027,0
56,1875.3,5040,0
57,3255.43,8043,0
58,2224.23,6040,0
59,2297.51,6038,0
60,1864.38,5045,0
61,1897.14,7047,0
62,2704.59,6044,0
63,2954.96,7038,0
64,2015.06,5040,0
65,2693.17,6038,0
66,2741.09,8022,0
67,2847.98,7031,0
68,2669.41,7030,0
69,2382.68,8038,0
70,2908.94,8036,0
71,2620.94,7025,0
72,3187.91,8026,0
73,3630.14,8041,0
74,2621.89,7033,0
75,2520.41,6032,0
76,2659.94,9029,0
77,2835.1,9036,0
78,2657.64,8030,0
79,2714.59,8036,0
80,2204.99,6032,0
81,2499.82,10032,0
82,2948.11,8028,0
83,2706.28,7037,0
84,2785.13,7037,0
85,2773.82,7038,0
86,2100.44,7038,0
87,3413.95,9037,0
88,2844.35,8041,0
89,2339.63,7030,0
90,2439.25,6040,0
91,2575.76,7026,0
92,2862.51,7027,0
93,1440.78,6013,0
94,3032.9,8021,0
95,3092.09,8022,0
96,2512.41,6027,0
97,3046.15,7035,0
98,2562.38,7025,0
99,2896.13,7032,0
100,2607.81,8032,0
101,1956.09,6029,0
102,2708.68,7025,0
103,2472.3,8035,0
104,2776.89,7030,0
105,3446.89,7036,0
106,3134.94,8032,0
107,2618.13,7032,0
108,2526.6,6040,0
109,2079.55,7023,0
110,2444.41,7026,0
111,2091.21,5039,0
112,2632.14,6032,0
113,2143.86,6034,0
114,2580.25,9023,0
115,2251.87,6043,0
116,2261.59,5040,0
117,2889.41,9028,0
118,3302.91,9037,0
119,2542.42,6034,0
120,2570.12,7030,0
121,2591.56,6032,0
122,2540.04,7027,0
123,2362.21,6031,0
124,2582.03,6043,0
125,3373.71,8026,0
126,3144.63,7042,0
127,1864.58,5039,0
128,2740.56,6039,0
129,2081.4,8036,0
130,3003.8,8036,0
131,2543.14,7037,0
132,1885.1,5042,0
133,2567,8046,0
134,3459.5,9043,0
135,2506.36,7035,0
136,2630.26,7041,0
137,2657.18,6036,0
138,2389.23,6039,0
139,2266.5,5039,0
140,2280.21,5043,0
141,2123.5,6034,0
142,2769.93,6037,0
143,1759.42,5045,0
144,1762.01,7045,0
145,2599.72,7032,0
146,1850.17,7044,0
147,1628.96,5041,0
148,2248.47,5046,0
149,2112.69,5040,0
150,3003.25,7043,0
151,2554.32,7036,0
152,2235.44,6037,0
153,2156.98,7045,0
154,2817.41,7038,0
155,2304.04,6036,0
156,2871,8051,0
157,2087.86,6038,0
158,2118.59,6034,0
159,2317,6047,0
160,2106.68,6035,0
161,2518.37,7043,0
162,2628.41,6034,0
163,1889.13,5048,0
164,1956.86,6038,0
165,2270.19,6043,0
166,2379.45,7048,0
167,1927.76,6046,0
168,1841.08,6047,0
169,1761.48,7030,0
170,2089.5,7045,0
171,1830.48,5050,0
172,1748.73,5047,0
173,2619.06,7032,0
174,1591.47,5038,0
175,2338.38,6048,0
176,1910.18,5046,0
177,1930.42,5041,0
178,1759.18,5042,0
179,1999.83,5046,0
180,2329.15,6040,0
181,2238.38,5041,0
182,1728.41,6038,0
183,2190.63,6042,0
184,2378.49,7040,0
185,2448.23,5050,0
186,2579.34,5044,0
187,2962.61,6048,0
188,1489.84,4046,0
189,2270.76,8039,0
190,2081.73,6038,0
191,2378.33,7030,0
192,2370.45,6034,0
193,2060.99,6048,0
194,2298.06,8035,0
195,2060.32,6042,0
196,3207.87,7046,0
197,2009.09,6045,0
198,3318.58,8037,0
199,2449.67,7043,0
200,2150,6042,0
201,2070,5050,0
202,1928.47,5036,0
203,1773.96,6043,0
204,1580.17,8038,0
205,2212.54,6034,0
206,2033.39,6051,0
207,2481.81,7043,0
208,3134,8030,0
209,1817.17,6037,0
210,1686.5,7041,0
211,1628.26,4048,0
212,2743.89,6039,0
213,1396.44,4039,0
214,1359.56,5039,0
215,2469.45,7044,0
216,3136.01,9037,0
217,2180.31,7049,0
218,1820.42,5048,0
219,2576.55,7037,0
220,1849.22,6040,0
221,1707.86,5036,0
222,2110.44,6043,0
223,1798.1,6041,0
224,1596.95,6033,0
225,1461.6,5034,0
226,2176.02,6041,0
227,2874.69,7045,0
228,2657.83,6042,0
229,2518.38,6036,0
230,2755.84,8032,0
231,2356.66,6039,0
232,2252.63,5038,0
233,2166.7,4046,0
234,2330.61,8034,0
235,2202.54,6034,0
236,2276.92,7031,0
237,1386.83,4030,0
238,1950.09,6035,0
239,2215.77,6040,0
