generation,averageFitness,topFitness
0,9.5,450
1,329,1750
2,819.5,1800
3,1029,2650
4,1442.5,2400
5,900,2300
6,928.5,2600
7,2244,2450
8,1493.5,2400
9,687.5,1700
10,831.5,2300
11,285.5,2050
12,582,2200
13,763.5,2300
14,271.5,1350
15,336.5,1550
16,872.5,1900
17,1135.5,2300
18,801.5,1600
19,1444.5,2350
20,450.5,1550
21,878,2100
22,561.5,1800
23,988,2000
24,706,1850
25,1204.5,2600
26,1363.5,2650
27,1521,2600
28,846,2600
29,1164,2500
30,1618.5,2600
31,1804,2450
32,1737,2700
33,1764.5,2900
34,2020.5,2950
35,2032.5,2850
36,1691.5,2750
37,1706,2650
38,1236.5,2500
39,1647,2700
40,1728.5,2750
41,1834.5,3000
42,1484.5,2900
43,1504,2800
44,2063.5,2600
45,2349,2900
46,1700.5,3000
47,1667,2700
48,2214,2850
49,2121,3000
50,1435.5,2850
51,1932,2750
52,1804,2800
53,2282.5,2950
54,2319,2900
55,2523,3000
56,2299,3000
57,2554.5,2950
58,1597.5,3000
59,2293,2950
60,1750,2850
61,1734.5,2850
62,1955.5,2950
63,1777,2950
64,1991.5,2950
65,1999,2750
66,1998,2550
67,1655.5,2850
68,1773,2950
69,2038,2900
70,2176.5,2950
71,1282,2650
72,1880,2750
73,2202,3000
74,1727,2800
75,1242,2750
76,2141,2950
77,2057.5,2950
78,2069,2950
79,2101.5,2900
80,2234,2750
81,1438.5,2550
82,1978.5,2850
83,2016,2900
84,2087.5,2800
85,2340.5,2950
86,2041,2950
87,1685,2650
88,1409.5,3000
89,2022.5,2700
90,2454,3000
91,1695,2550
92,2149.5,2850
93,1935,3000
94,1908.5,2900
95,2039,2750
96,1391,2350
97,1998.5,2750
98,2110,2800
99,2007,2800
100,1745.5,2950
101,2325.5,2750
102,1488,2350
103,1763.5,2800
104,1608,2750
105,2081,2950
106,1903.5,2700
107,1846,3000
108,1648.5,2800
109,1833,2850
110,1746.5,2800
111,1406.5,2950
112,2154,2900
113,1391.5,2550
114,1871,2800
115,2031.5,2950
116,1948.5,2900
117,2309.5,3000
118,1940.5,3000
119,1971.5,2800
120,1662,2700
121,2249.5,2850
122,1841.5,2750
123,1623,2650
124,834,2850
125,2183,2850
126,2235,2950
127,2166,2900
128,2310,2950
129,2463,2950
130,2005,2750
131,2274.5,2800
132,1949.5,2750
133,1896,2850
134,2401.5,3000
135,1964,2800
136,2213.5,2900
137,1970.5,2850
138,1881,2450
139,1817.5,2800
140,1239.5,2800
141,2116,3000
142,1649,2650
143,1156,2800
144,2114,2850
145,2488,3000
146,1421.5,2700
147,2158,2800
148,1878.5,2850
149,1647.5,2550
150,1985,2800
151,2238,2850
152,2212.5,2950
153,1470.5,2900
154,2000,2750
155,2224,2950
156,1773.5,2750
157,1501.5,2500
158,2033,2900
159,1686,2850
160,2125.5,2850
161,2124.5,2700
162,1851,2900
163,1762.5,2600
164,2260,3000
165,1688.5,2600
166,2014.5,2700
167,2114.5,2950
168,2267.5,2900
169,2177,2850
170,1955,2750
171,1856.5,2600
172,1635.5,2650
173,1916,2700
174,1839,2900
175,1764,2800
176,1824.5,2700
177,2086.5,2950
178,1837.5,2950
179,1951,2850
180,1931.5,2800
181,1953,2850
182,1939,2850
183,1875,2850
184,1927.5,2750
185,1659,2750
186,1851,2750
187,2502.5,2950
188,1856.5,2700
189,1844.5,2550
190,1538,2650
191,2210.5,2950
192,1968,2950
193,1889,2500
194,2123,2900
195,2263,2850
196,1716.5,2850
197,2094,3000
198,2440.5,2950
199,2229.5,2900
200,2152,2850
