generation,averageFitness,topFitness
0,23,600
1,19,400
2,467,1200
3,1080,2200
4,707.5,2400
5,937,2200
6,374,1050
7,829,1800
8,602.5,1600
9,549.5,2100
10,80.5,1550
11,540.5,1600
12,305.5,2600
13,26.5,1050
14,1624.5,2800
15,262.5,2600
16,764,1500
17,339,1950
18,768.5,2000
19,711,2150
20,957,2000
21,604,1200
22,1095,2100
23,1015,2350
24,149.5,500
25,308,1950
26,561.5,2100
27,17.5,700
28,47,1000
29,696.5,1250
30,193,1900
31,150,1900
32,1490,2250
33,1406,2250
34,898,2350
35,800.5,2700
36,740,2250
37,848,1650
38,593.5,1850
39,1160.5,1900
40,1481.5,2400
41,1054.5,2100
42,678.5,1800
43,435,1900
44,1351,2400
45,1083,2200
46,668,1800
47,976.5,2100
48,754.5,1900
49,1054,2500
50,337.5,1650
51,794.5,2000
52,591.5,2450
53,1098,2850
54,1445,2350
55,1437,2800
56,1053,2800
57,425.5,2000
58,937,2300
59,1102,2200
60,993.5,2100
61,1299.5,2750
62,1785,2900
63,1385.5,2800
64,1400.5,2700
65,1026,2550
66,1616.5,2700
67,1055,2400
68,1148,2600
69,1587.5,2850
70,1589.5,2500
71,1444.5,2600
72,1525.5,2550
73,1788.5,2750
74,916.5,2850
75,1929,2650
76,1967.5,2800
77,1933.5,2550
78,1438,2300
79,1950,2850
80,2089,2900
81,1772,2600
82,1998.5,2650
83,1711.5,2950
84,1927,2850
85,1859,2850
86,1928,2650
87,2114.5,2650
88,1484,2350
89,1434,2700
90,1280,2700
91,2059,2950
92,1708,2600
93,1562,2450
94,2092,2650
95,1888,2900
96,1957.5,2750
97,2286.5,3000
98,1985.5,2900
99,1549.5,2750
100,1788,2700
101,1745.5,2700
102,1461.5,2300
103,1869.5,2700
104,1511,2600
105,1794,2650
106,1811,2750
107,1995.5,2750
108,2093.5,2900
109,1708,2900
110,1618,2650
111,1376.5,2550
112,1745,2650
113,2173,2900
114,1873.5,2750
115,1914.5,2700
116,1869.5,2700
117,2236.5,2900
118,2118,2900
119,2086.5,2800
120,1654,2750
121,1963.5,2850
122,2140.5,2950
123,2190,2950
124,2000.5,2850
125,2009.5,3000
126,2343.5,3000
127,1805.5,2750
128,1925.5,2850
129,1973.5,2650
130,1650,2750
131,1791,2650
132,1937.5,2900
133,1868.5,2650
134,1759.5,2950
135,2184.5,2850
136,1999.5,2850
137,2027.5,2950
138,2200.5,2950
139,2014,3000
140,2090.5,2800
141,1736,2800
142,1868.5,2650
143,2184,2900
144,2040,2800
145,2034.5,2800
146,2077,2850
147,2258.5,2900
148,2194.5,2800
149,2106,2900
150,2095.5,2850
151,1599.5,2400
152,1931,2600
153,2140.5,2900
154,2143.5,2750
155,2142.5,2950
156,1948.5,2700
157,2262,2950
158,1951.5,2700
159,2058.5,2850
160,2123.5,3000
161,2047,2800
162,1896.5,2700
163,1823.5,2600
164,1994,2700
165,2161,2900
166,1839.5,2550
167,2094,2800
168,1800,2500
169,2318.5,2950
170,2036.5,2800
171,1320,2150
172,2088,2850
173,1932.5,3000
174,1997,2900
175,1980.5,2850
176,1979,2800
177,1602.5,2450
178,1862.5,2700
179,2030.5,2800
180,1859.5,2950
181,1714.5,2550
182,2091,2900
183,2298.5,3000
184,2024,2900
185,1799.5,2700
186,1862.5,2800
187,2116,2950
188,2008.5,2750
189,1840.5,2650
190,1875,2600
191,2051.5,2800
192,1840.5,2650
193,1832.5,2750
194,1753.5,2700
195,1673.5,2600
196,1869,2750
197,1752.5,2800
198,2080,2850
199,2040.5,2900
200,1759,2800
201,1934.5,2800
202,1631,2750
203,1854.5,2950
204,1976,2950
205,2124.5,2900
206,1873.5,2800
207,1920,2850
208,2016.5,2750
209,1660.5,2550
210,1732,2700
211,1650.5,2650
212,1788,2650
213,1882,2800
214,1835.5,2950
215,1566.5,2750
216,1762.5,2800
217,1909,2750
218,1894.5,2800
219,1649.5,2850
220,1472,2600
221,1683.5,2700
222,1789,2850
223,1662.5,2600
224,1742.5,2800
