Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.169593237088,0.00390084865481,0.169313139306,0.0029668190079,30
1,0.10955241819,0.028102774162,0.0417582078996,0.0350452638463,30
2,0.094967668495,0.026031617708,0.0264577320612,0.0149078355834,30
3,0.0777384981161,0.0242741699466,0.0202140612682,0.0184694270846,30
4,0.0703975917412,0.0229895142267,0.0144644757913,0.00947534229627,30
5,0.0602218065845,0.0255292651218,0.0119624846252,0.00998736258565,30
6,0.0559118939371,0.025231212061,0.0101748288201,0.00806414862179,30
7,0.0516370344224,0.0203564530431,0.00826639118363,0.00728251878986,30
8,0.0502443410687,0.0209099002153,0.00895365697681,0.0107209171264,30
9,0.0465986692537,0.0189962225685,0.00985267220869,0.0177240727673,30
10,0.0420074200392,0.0180035809406,0.00699771641799,0.0063837648451,30
11,0.038979704358,0.0171699242016,0.00613037757958,0.00566475609625,30
12,0.0366870663039,0.0180659479466,0.00712158455519,0.00849053064179,30
13,0.034782620283,0.0174734450168,0.00516314854458,0.00484883252742,30
14,0.0307728423913,0.0173904474716,0.00510115682985,0.00484350061611,30
15,0.0299355230107,0.0143170499842,0.0044423226874,0.00478560148907,30
16,0.0303385689407,0.014930444191,0.00444468451124,0.00358900147724,30
17,0.0266977803743,0.0124668221452,0.00484720918764,0.00542323596493,29
18,0.0256638704472,0.0145877277778,0.00409408973801,0.00290773813948,28
19,0.0246495005743,0.0150833761535,0.00430998774741,0.00487042957051,26
20,0.0258939211226,0.0160671524565,0.0039634299132,0.00328923349484,24
21,0.025401519019,0.0159104985522,0.00381550149065,0.00371775447312,24
22,0.0222592536182,0.0130171440519,0.00339759922798,0.00249146707718,23
23,0.0222683810759,0.0128938227598,0.00341058991875,0.00197452437273,22
24,0.021888742469,0.0152462779533,0.00355603481172,0.00386350973521,22
25,0.0201890791654,0.0135001396716,0.00315232414611,0.00203961785747,22
26,0.0181971379347,0.0120116772553,0.00352007979809,0.00339823090656,22
27,0.0185480098143,0.0181563880764,0.0030351009146,0.00241181993686,22
28,0.0156869194698,0.0105247948773,0.00231380334083,0.00218684088916,20
29,0.0169825575289,0.0118551908044,0.0029861649015,0.00217965039916,19
30,0.0145768153387,0.00614526553079,0.00247384392545,0.00185084390126,14
31,0.0156128133982,0.0114051804417,0.001885658495,0.00111753076736,12
32,0.0138134855687,0.00790057931612,0.00178087933794,0.00130680837686,12
33,0.014722229118,0.00721388349401,0.00207635430238,0.00153994647437,10
34,0.0176876856979,0.010337182937,0.00139816130941,0.00141259312033,8
35,0.0153488764798,0.0116227208468,0.00162997853485,0.00116003602035,7
36,0.0162795343651,0.0119212593324,0.00158208139128,0.00105875229467,7
37,0.0189537558743,0.0208690002507,0.00295796769455,0.00237533508842,5
38,0.0189039667817,0.0196518291139,0.00239754086104,0.00149890162374,5
39,0.0219699412216,0.0225605771384,0.00360666905707,0.00360086715109,5
40,0.0182928755797,0.0176567376579,0.00262629187442,0.00186069912707,5
41,0.016343129811,0.0152917031695,0.00251553220585,0.00106485035357,5
42,0.0197810285313,0.0216648384846,0.0015243485086,0.00137695709144,5
43,0.0147408670881,0.015569253893,0.00152275174812,0.000336872814305,5
44,0.0158184611441,0.0195900081381,0.00198096025392,0.00159049616396,5
45,0.0203497497526,0.0237188880547,0.00114911461998,0.00103266758004,5
46,0.0166317819746,0.0218895472774,0.00154725747809,0.00115304726287,5
47,0.0160786373004,0.0187044358395,0.00169263365457,0.00156175715446,5
48,0.0137730794768,0.0170227497558,0.00170555552426,0.00128134403139,5
49,0.0161388080151,0.0214461284398,0.00114119373855,0.00140977890767,5
50,0.0163885084618,0.0174799814796,0.00100560921875,0.000873281918998,5
51,0.0141623529571,0.0174700281937,0.0013009926556,0.00134656489397,5
52,0.0141177773369,0.0172457799314,0.00161874390531,0.00148923314274,5
53,0.0150125843869,0.018626955219,0.00118379714515,0.000743926665425,5
54,0.0140220987607,0.0166933816609,0.00155289589974,0.0015445714971,5
55,0.0137920443368,0.0157882193731,0.00208910935274,0.00118065326782,5
56,0.0113987117912,0.0128920940117,0.00190241545374,0.00126618468906,5
57,0.0131033199653,0.0155302616009,0.0021783955997,0.00224733473482,5
58,0.0115067677706,0.0139315846347,0.00233269120907,0.00229430330405,5
59,0.0108190344632,0.0132361890348,0.00280050374021,0.00203618366763,5
60,0.0129118168192,0.0143479045946,0.00332277783708,0.0034422732437,5
61,0.0105689576253,0.0139842554973,0.00231958347628,0.00220616035222,5
62,0.00928476465185,0.00979632622232,0.00239362560415,0.00221457082778,5
63,0.00934085595955,0.00896261879169,0.0029804422318,0.00244801423661,5
64,0.0111475037893,0.0118191059053,0.00342535117101,0.0034378975764,5
65,0.00984526970698,0.0115816650346,0.00224614803552,0.00224855751461,5
66,0.00801188662339,0.00854707726688,0.00167598510443,0.00127908823318,5
67,0.00531109776773,0.0045571620578,0.0045040562988,0.00705882873486,5
68,0.00479264172915,0.00301025146685,0.00278046937578,0.00210764348521,5
69,0.00503027242536,0.00307282744363,0.00266739855532,0.00237204936037,5
70,0.00555523129454,0.00438468855426,0.00266737936901,0.00281083448293,5
71,0.00530301208034,0.00350570932937,0.00308003103315,0.00384750662529,5
72,0.00512465679915,0.00392958647112,0.00231385391859,0.00205931075165,5
73,0.00514384264295,0.0046998722199,0.00195466056267,0.00239010151278,5
74,0.00690093398641,0.00501748064331,0.00217315521225,0.00228876217934,5
75,0.00654336588108,0.0059878214927,0.0019495992292,0.00206413771026,5
76,0.00580475715045,0.00331756543049,0.00183840372184,0.00138161072521,5
77,0.00547190713248,0.00576158347631,0.0025656126293,0.00301655985365,5
78,0.00618991203518,0.00425840912758,0.00191157743604,0.00189268529446,5
79,0.00857608785458,0.00534171707806,0.00246129490878,0.00217972072848,5
80,0.00597837182644,0.00549054667931,0.00281823885476,0.00315688023196,5
81,0.0071020942383,0.00404405730858,0.00246334166843,0.00251134983091,5
82,0.00462633414362,0.00285419056756,0.00204193158519,0.00234189765557,5
83,0.00631096917231,0.00526165022008,0.00250974546907,0.00222995438871,5
84,0.00574133042593,0.00355284994726,0.00185071925641,0.00250820894007,5
85,0.00676480322903,0.00746044774342,0.00132977428462,0.00140627411646,5
86,0.00619525982473,0.00528306478163,0.00129452048779,0.000808698362526,5
87,0.00720776011536,0.00675957284594,0.00146879659891,0.00144765613578,5
88,0.00708665595179,0.00603837125381,0.00177442714626,0.0010161210617,5
89,0.00607085465675,0.00544266405208,0.00150531775585,0.00109398259345,5
90,0.00767890674239,0.00705191833085,0.00168314359065,0.00144282865847,5
91,0.00803308539454,0.00676319664991,0.00197518003365,0.00181188208455,5
92,0.00635683937678,0.00528362331831,0.00216721274878,0.00159082060044,5
93,0.0089086885918,0.00897396650231,0.00271200831679,0.00290663312411,5
94,0.00642756463199,0.00618910723061,0.00154693801118,0.00185118133105,5
95,0.00610434615453,0.00545316773855,0.00131470346339,0.0014877433992,5
96,0.00565405581644,0.00511291656059,0.00304454434466,0.00287373381241,5
97,0.00666451034344,0.00626655512496,0.00167559749271,0.00215904292667,5
98,0.0076934818973,0.0068037284119,0.00212812669756,0.00206388440476,5
99,0.00576930212215,0.00510019802443,0.00273769167673,0.00278190069851,5
100,0.00587393812528,0.0052057539064,0.00217871938918,0.00163668374747,5
101,0.00683220716106,0.00639474966859,0.00309048125273,0.00314855110814,5
102,0.00752172576268,0.00636709281042,0.00224251723694,0.00278762892617,5
103,0.00570301615989,0.00414229310597,0.00242001094268,0.00294827982991,5
104,0.00650952814624,0.0064326359017,0.00160655074623,0.00185984332465,5
105,0.00479978437945,0.003659347173,0.00170047078428,0.00115433589308,5
106,0.00531907048363,0.00466241453523,0.00161268034737,0.00172679861117,5
107,0.00683116075274,0.00665068289567,0.00185142520931,0.00163251138243,5
108,0.00369508364137,0.00292859887598,0.0012052891284,0.000779374237502,5
109,0.00424378407499,0.00369915576917,0.00167607986086,0.00100923249119,5
110,0.00450570121847,0.00453853705163,0.00114417599244,0.000636444833546,5
111,0.00642900364342,0.00591320028099,0.00210172201267,0.0013813460108,5
112,0.0037378412507,0.00336855289904,0.000853396829632,0.000511423809614,5
113,0.00435088549156,0.00416759677926,0.00126294184661,0.000933884482571,5
114,0.00370686913894,0.00290379816704,0.00103819613485,0.00068854510555,5
115,0.00435543955242,0.00227899382796,0.000986324134299,0.000410956434416,5
116,0.00324054139716,0.00287949427554,0.000642371726232,0.000463491378064,5
117,0.00389473081092,0.00350951697644,0.000443173486422,0.000366731968693,5
118,0.00612205006468,0.00756446281606,0.00187537592432,0.000691045262819,5
119,0.00623831903794,0.00708214623035,0.00120782193328,0.000469084132207,5
120,0.0042577154099,0.0040901019422,0.00130278308292,0.000914164173977,5
121,0.00542145744433,0.0060958363131,0.00182412477575,0.00131542838958,5
122,0.00568964589003,0.00699429913253,0.00203918411785,0.00242990721068,5
123,0.00452847771821,0.00461143010781,0.000920769720827,0.00066529833173,5
124,0.00458612218425,0.00524810804811,0.00146945248428,0.000875777420615,5
125,0.00557046360623,0.00577659662504,0.00236847717629,0.00218545736557,5
126,0.00333847200203,0.00186007079898,0.00206143141338,0.0023113435455,5
127,0.00506255700829,0.00494799657594,0.0021140391431,0.00178637325854,5
128,0.00379009837235,0.00250022102521,0.0017154516621,0.00141910609513,5
129,0.00385764521006,0.00208875181577,0.0022067048002,0.00235858253447,5
130,0.00388313542473,0.00205400354278,0.001918787089,0.00208941212927,5
131,0.00363991754962,0.00220045512838,0.00237016429123,0.00237481988167,5
132,0.00269228358648,0.00114138907338,0.00141406088659,0.0013527044414,5
133,0.00324158094957,0.00152301224744,0.00201354391998,0.00161435436851,5
134,0.00354285921437,0.00150067025271,0.00143931730331,0.0013551244881,5
135,0.00322574017958,0.00157019246224,0.00106712940254,0.000479635106515,5
136,0.00473721456922,0.00257749127882,0.00127561247856,0.00118336147665,5
137,0.00457579406924,0.00265412665489,0.00148110018228,0.000759025872538,5
138,0.0044430154802,0.00245166840807,0.00129133251843,0.000982902628586,5
139,0.00280820895059,0.001124776595,0.000873631709595,0.000834250780586,5
140,0.00424119252909,0.00232717553735,0.00152296382448,0.000859197973875,5
141,0.00298304740163,0.00122737545853,0.0018422604742,0.000824680493128,5
142,0.00400636084131,0.00254655852226,0.00193516689059,0.00205642698384,5
143,0.00428435293336,0.00324325621223,0.00127867073164,0.000806218524426,5
144,0.00332391859964,0.00158899720807,0.00124389081431,0.000694108711749,5
145,0.00328675892619,0.00198626883383,0.00131184245004,0.000724305917192,5
146,0.0037222096012,0.00193843566305,0.000866266662804,0.000713398787846,5
147,0.00372501790729,0.00156420668099,0.00158077484274,0.000861836862893,5
148,0.0030682592111,0.00140163988355,0.00185232662222,0.000920420839822,5
149,0.00316929813911,0.00127017502485,0.00122072874647,0.000999045644483,5
150,0.00353170089449,0.00155618219518,0.000984107048399,0.000235947657314,5
151,0.0039319950169,0.00133938383664,0.00194975357205,0.000845254097174,5
