Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.155607197465,0.00620341231428,0.15782616369,0.00615306037685,30
1,0.112316924657,0.0197416024775,0.0596871522975,0.0184408159931,30
2,0.0885267613999,0.0225917237462,0.0430027381357,0.0191976892356,30
3,0.0822134529083,0.0244549081588,0.0375068337447,0.0174617308147,30
4,0.0729413728469,0.0215253506626,0.0322422669688,0.0153008293446,30
5,0.0657578001952,0.0232949575104,0.0290550463973,0.0140519990914,30
6,0.0643459507363,0.0243314278173,0.0255718020925,0.0132978628936,30
7,0.0620523642836,0.0294953243957,0.0269137881172,0.0139465527324,30
8,0.0541180508527,0.0246549831917,0.0210490508561,0.0131722026154,30
9,0.0525973866547,0.0245385033309,0.0256590490756,0.0172445215206,30
10,0.0488418133787,0.0249863547245,0.0230654754285,0.0125864932551,30
11,0.0487528838055,0.02413860479,0.022989088017,0.0136857388503,30
12,0.0442714376843,0.0219640218962,0.0213745916303,0.0135549343683,30
13,0.0430901789232,0.0233238389087,0.0207092700589,0.0126252478432,30
14,0.0409470409169,0.0193796701717,0.0193091834539,0.0105261692713,30
15,0.044411025057,0.0257314067365,0.02229287442,0.0126309570921,30
16,0.0436352142253,0.0228797503787,0.0198514576491,0.0113791660164,30
17,0.0389001842716,0.0249629226558,0.0223379040476,0.0149248007515,30
18,0.0384720998435,0.0200060298925,0.0199788434886,0.0109011137801,30
19,0.036887479297,0.0219486752443,0.0182015411994,0.0143653568946,30
20,0.035857718897,0.0210499888467,0.0189575846468,0.0114513140913,30
21,0.0381921073028,0.0268552733911,0.0184814774611,0.0148416390579,30
22,0.0338833485231,0.0198697153601,0.0184089060074,0.0118068267499,30
23,0.0373679183229,0.0272744448983,0.0190998296998,0.0104730831872,30
24,0.0347256407426,0.0204829196461,0.0188300347831,0.011923431415,30
25,0.0355148255881,0.0250495634152,0.0165507319276,0.00896836763325,30
26,0.0331086757432,0.0252548601088,0.0159737849546,0.00910897775665,30
27,0.0308764995381,0.0201598633448,0.0165679507905,0.0102670642771,30
28,0.0298841548152,0.0198959621046,0.0161686734267,0.00773465789038,30
29,0.0304154751884,0.0213618452384,0.0165921239595,0.00962457119947,30
30,0.0293741251365,0.0217377374088,0.0167973164055,0.0102160848739,30
31,0.0282138775971,0.0190911451274,0.0145414233173,0.00710857808988,30
32,0.0307764410141,0.0215260405608,0.0167308758256,0.00919570474773,30
33,0.0301842723953,0.0214783255415,0.0145391209645,0.00873814303867,30
34,0.0307243815175,0.0216654940815,0.0146653315794,0.0078611322921,30
35,0.0300364512127,0.021156838225,0.0147877152594,0.00943184248636,30
36,0.0305016039696,0.0222715306499,0.017056077296,0.00772402862206,30
37,0.0325208477057,0.0235384577619,0.0144704871616,0.00848606658308,30
38,0.0303579952215,0.0212303251611,0.0151528216904,0.00920050943704,30
39,0.0311964007609,0.0243998719805,0.0149031906539,0.00827219714002,30
40,0.0307234005059,0.0210112209023,0.0167933175921,0.00923652611058,30
41,0.0313165368554,0.0225470580894,0.0154758170895,0.00890298640655,30
42,0.0311872667391,0.0247903689718,0.0144052205757,0.00809797425067,30
43,0.0306294155198,0.023735884717,0.0136455255418,0.00834747461129,30
44,0.0312930134814,0.0261443704596,0.0134242201624,0.00758131271154,30
45,0.0312863135408,0.0281812164749,0.0128176812911,0.00718860005561,30
46,0.0291749329845,0.0241836896701,0.0132833749009,0.00820257152738,30
47,0.033074604331,0.0268331178601,0.0134557238788,0.00794315993236,30
48,0.0313109214467,0.0284915434268,0.0147481724862,0.0104649334572,30
49,0.0308223710802,0.0286746808568,0.0140549325638,0.00789817826097,30
50,0.0320870403611,0.0276221771981,0.0137082018391,0.00829326846655,30
51,0.0306788102226,0.0265254484199,0.0130117389693,0.00677490383408,30
52,0.0304731969214,0.0283635722822,0.012947253759,0.00773608384517,30
53,0.0304410797513,0.0286291821949,0.012801940805,0.00746853313792,30
54,0.0292999043118,0.0218583465581,0.0166076526785,0.00995384858295,30
55,0.0284004640631,0.0275586345871,0.012944839854,0.00721519047712,30
56,0.0282460177185,0.0213768645501,0.012479604962,0.00828282567549,30
57,0.0277898947617,0.0237585278204,0.0134639893383,0.00782819005812,30
58,0.0277345455461,0.0220749813191,0.0155072942696,0.0111386589442,30
59,0.0292965699429,0.0266066382887,0.0126817636772,0.00905562105522,30
60,0.0281912238996,0.0255270873236,0.0129765942734,0.00837173987238,30
61,0.0278527866026,0.0239912596196,0.0139860221286,0.00870548025441,30
62,0.0287797070003,0.0239340879913,0.012039237818,0.00789397061652,30
63,0.0280016444356,0.0212591578468,0.0130866170724,0.00747590248599,30
64,0.0263371105665,0.0183313520131,0.0121606902004,0.00725781135384,30
65,0.0248634292231,0.0198186195693,0.0134991186644,0.00951285484312,30
66,0.0260249054459,0.02137252435,0.0119352589687,0.00751667341743,30
67,0.0233713558145,0.015817270586,0.0129426744744,0.00904996056022,30
68,0.0235007285126,0.0172845052498,0.0107716439282,0.00566076302433,30
69,0.0218565764768,0.0143518434584,0.0128061260785,0.00832028506653,30
70,0.0238106276176,0.0179504853015,0.0121123997593,0.00860877012698,30
71,0.0228582699049,0.0153693050279,0.012332365489,0.00733385087786,30
72,0.0219907981519,0.0194462337293,0.00952047179826,0.00598180822404,30
73,0.0217788591355,0.017677087242,0.0113766480512,0.0074369209062,30
74,0.0233550455497,0.0207631310983,0.0113863856831,0.00768478877211,30
75,0.0221784127767,0.0192621339948,0.0110537076364,0.0068735699383,30
76,0.020349850918,0.0195951956365,0.010228087019,0.00597650293569,30
77,0.0231140517361,0.0198025967745,0.0119312209044,0.00714178786436,30
78,0.0225449127639,0.0184443783143,0.0122772672786,0.00703585738718,30
79,0.0216045593758,0.0194800207777,0.0116379141709,0.007814677542,30
80,0.0230213934304,0.0204504445912,0.0121076309801,0.00664436238008,30
81,0.0221448684012,0.0187437403305,0.013108287578,0.00782172190966,30
82,0.0211778261831,0.018375793651,0.0111239862042,0.0060612255573,30
83,0.0223181061921,0.0199692986533,0.0118915536671,0.00741998628547,30
84,0.0229684579365,0.0178383963009,0.0137589264914,0.00908351941703,30
85,0.0215085482715,0.019150902589,0.0132580317757,0.00844118796619,30
86,0.0231996239038,0.0190462576407,0.0114105570778,0.00681799872983,30
87,0.0219382030505,0.0185442838807,0.0125937184658,0.00758857918377,30
88,0.0221398710615,0.0210363870323,0.0102715993999,0.00653790018321,30
89,0.0235754358649,0.0222998715279,0.0115065668057,0.00748829029496,30
90,0.0222737366303,0.019532289948,0.0120199818629,0.00642875640772,30
91,0.0216736020002,0.0171839404827,0.0130362722413,0.00810917364549,30
92,0.0208294109541,0.0179263930471,0.0133465032616,0.00762832590765,30
93,0.0211788295862,0.0172227307935,0.0121821096763,0.00687986395721,30
94,0.0206791143925,0.0175840492047,0.0131404245354,0.00743553834458,30
95,0.0236192909233,0.0202806167525,0.0131575233426,0.00778561970757,30
96,0.0212124650101,0.0170420923018,0.0125401268602,0.00709131347458,30
97,0.0206984588208,0.0176314233982,0.0129714459311,0.00811312823181,30
98,0.0210503274059,0.0187648191637,0.0122851030655,0.00659692722489,30
99,0.0214752285513,0.0181068712059,0.0122075450692,0.0067333792535,30
100,0.0211864854032,0.0202082659354,0.0126956810653,0.00645849670924,30
101,0.0223079503736,0.0199544419003,0.0126144376264,0.00702965977957,30
102,0.0225196685211,0.0206742333949,0.0122563690664,0.0076784864096,30
103,0.0223500206306,0.020997032051,0.0125034882091,0.00831432707119,30
104,0.0237316918662,0.0201745325025,0.0123260855459,0.00733019993899,30
105,0.0202313329729,0.0164070712142,0.0116503016421,0.00816017352359,30
106,0.0224939076007,0.0187122252037,0.0102922918062,0.00754381758088,30
107,0.0209457538522,0.0138771787154,0.0124037691554,0.00879745833269,30
108,0.0205323713916,0.0136510769332,0.0109459848232,0.00770476974397,30
109,0.0198311021956,0.0140342517403,0.0116891981082,0.00708173542245,30
110,0.0206937664462,0.0146248504119,0.01125393655,0.00772509744235,30
111,0.0235180447662,0.0194663463498,0.0136587659983,0.00846040978856,30
112,0.0219559027596,0.0143684619645,0.0122583079343,0.00770788988646,30
