Generation,Orientation Variance,Velocity Variance
1,0.0738826991774725,0.0285166353873404
2,0.0441482591749111,0.0119851930076584
3,0.049357825998446,0.00598698487176229
4,0.047198776462662,0.00512171672897979
5,0.0401404647534379,0.00988520991737808
6,0.0454387332835826,0.00330197062916341
7,0.0497060406442889,0.00836884642141282
8,0.0548761343461871,0.00734735099453766
9,0.0590631039205015,0.00509309010515459
10,0.0577645814930293,0.0050739638369486
11,0.0677334714177949,0.00433453986462071
12,0.0696487301327181,0.00332849187291959
13,0.0640557320344718,0.00428159581549897
14,0.0586928396175619,0.00266582662251495
15,0.0531566014334209,0.0026337375729234
16,0.0464668208718024,0.00154561092389842
17,0.0633156679503004,0.00393401438521558
18,0.0600484089140043,0.00284527137975294
19,0.0595529043525322,0.00405699045048499
20,0.0516027758406491,0.00305558106183127
21,0.0513009238879618,0.00233610919780692
22,0.0457905318233577,0.00234488856860772
23,0.0494029642258113,0.00218240129289821
24,0.0566806300499613,0.00325702854137131
25,0.0569061860155345,0.00207370321747256
26,0.0299458341720151,0.00114169199138396
27,0.0264114211775536,0.00037264499067728
28,0.0256501959556545,0.00102791059636961
29,0.02415430043605,0.000833130023063472
30,0.0245864365141908,0.000495590797337802
