Generation,Average,Best,Updates
0,111,1200,0
1,533,1500,19800
2,783,2200,19800
3,1115,2300,19800
4,1257,2400,19800
5,1129,2100,19800
6,1434,2300,19800
7,1336,2400,19800
8,1474,2600,19800
9,1661,2500,19800
10,1667,3100,19800
11,1431,2700,19800
12,879,2000,19800
13,1437,2500,19800
14,1921,2800,19800
15,1714,2800,19800
16,2114,3300,19800
17,1467,3200,19800
18,2292,3600,19800
19,2028,3200,19800
20,1941,3200,19800
21,2072,3000,19800
22,2014,3000,19800
23,2044,3100,19800
24,2174,3200,19800
25,1897,3100,19800
26,2107,3100,19800
27,1430,2800,19800
28,2210,3100,19800
29,1698,2900,19800
30,2317,3100,19800
31,2209,3300,19800
32,2004,2900,19800
33,2050,2900,19800
34,2171,3100,19800
35,2307,3400,19800
36,2198,2900,19800
37,2445,3400,19800
38,2208,3200,19800
39,2337,3500,19800
40,2260,3400,19800
41,2060,3400,19800
42,2177,3400,19800
43,2286,3800,19800
44,2285,3200,19800
45,2324,3600,19800
46,2292,3600,19800
47,2327,3400,19800
48,2191,2900,19800
49,2190,3500,19800
50,2231,3400,19800
51,1897,3000,19800
52,2313,3200,19800
53,2094,3400,19800
54,2037,3300,19800
55,1850,2900,19800
56,2227,3200,19800
57,2353,3200,19800
58,1826,3200,19800
59,1675,2800,19800
60,2151,3400,19800
61,1477,2900,19800
62,2176,3000,19800
63,2276,3200,19800
64,2302,3100,19800
65,2392,3700,19800
66,2530,3300,19800
67,2622,3500,19800
68,2440,3400,19800
69,2580,3400,19800
70,2589,3400,19800
71,2269,3500,19800
72,2407,3400,19800
73,2576,3500,19800
74,2384,3600,19800
75,2353,3400,19800
76,2645,3600,19800
77,2466,3600,19800
78,2588,3600,19800
79,2580,3600,19800
80,2464,3600,19800
81,2490,3800,19800
82,2442,3300,19800
83,2481,3700,19800
84,2506,3400,19800
85,2642,3700,19800
86,2358,3200,19800
87,2553,3500,19800
88,2499,3600,19800
89,2473,3300,19800
90,2437,3400,19800
91,2441,4100,19800
92,2428,3400,19800
93,2744,3800,19800
94,2397,3300,19800
95,1718,3300,19800
96,296,1400,19800
97,2222,3500,19800
98,2274,3400,19800
99,2178,3000,19800
100,2082,3000,19800
101,2428,3400,19800
102,2397,3600,19800
103,2310,3400,19800
104,2179,3200,19800
105,2438,3600,19800
106,2314,3300,19800
107,2360,3200,19800
108,2190,3000,19800
109,1825,3000,19800
110,1708,2800,19800
111,1982,3100,19800
112,1662,2800,19800
113,1782,3000,19800
114,2204,3000,19800
115,1985,3200,19800
116,2651,3700,19800
117,2637,3600,19800
118,2277,3100,19800
119,2341,3200,19800
120,2272,3300,19800
121,2496,3300,19800
122,2250,3000,19800
123,2383,3600,19800
124,2340,3600,19800
125,2509,3700,19800
126,2284,3700,19800
127,2077,3100,19800
128,2444,4100,19800
129,2448,3100,19800
130,2578,3600,19800
131,2539,3500,19800
132,2442,3600,19800
133,2261,3300,19800
134,2468,3300,19800
135,2666,3600,19800
136,2726,3800,19800
137,2682,3700,19800
138,2448,3600,19800
139,2464,3700,19800
140,2410,3400,19800
141,2653,3600,19800
142,2479,3600,19800
143,2491,3400,19800
144,2513,3200,19800
145,2288,3400,19800
146,2637,3500,19800
147,2617,3600,19800
148,2564,3700,19800
149,2452,3200,19800
150,2589,3600,19800
151,2647,4000,19800
152,2509,3400,19800
153,2590,3900,19800
154,2792,3800,19800
155,2519,3500,19800
156,2663,3900,19800
157,2562,3900,19800
158,2759,3900,19800
159,2519,3200,19800
160,2558,4100,19800
161,2664,3500,19800
162,2706,3700,19800
163,2854,4000,19800
164,2642,3800,19800
165,2489,3500,19800
166,2756,3700,19800
167,2767,3800,19800
168,2128,3100,19800
169,2788,3700,19800
170,2636,3800,19800
171,2424,3400,19800
172,2453,3500,19800
173,2785,3700,19800
174,2681,3900,19800
175,2476,3500,19800
176,2433,3200,19800
177,2273,3200,19800
178,2272,3300,19800
179,2174,3400,19800
180,2428,3400,19800
181,2680,3300,19800
182,2165,3400,19800
183,2597,3800,19800
184,2750,3800,19800
185,2500,3300,19800
186,2321,3600,19800
187,2707,3800,19800
188,2411,3100,19800
189,2616,3700,19800
190,2083,3300,19800
191,2729,4200,19800
192,2493,3300,19800
193,2515,3500,19800
194,2512,4100,19800
195,2778,3800,19800
196,2495,3700,19800
197,2435,3400,19800
198,2711,4100,19800
199,2602,4200,19800
200,2484,3400,19800
