Step,Best,Average
1,700,44
2,1100,117
3,600,16
4,900,79
5,1500,143
6,1900,204
7,1600,312
8,1800,213
9,1700,356
10,2400,474
11,1800,497
12,2200,628
13,1700,353
14,1700,341
15,1900,333
16,1700,471
17,2100,547
18,2200,611
19,1900,401
20,1400,141
21,1300,260
22,1200,140
23,1600,227
24,1300,228
25,1600,195
26,2100,784
27,400,301
28,1300,216
29,2300,876
30,1900,734
31,1700,449
32,1500,320
33,1000,39
34,1800,181
35,1100,381
36,1000,494
37,1400,21
38,1300,319
39,1000,319
40,1000,142
41,2300,1081
42,1600,533
43,2000,1163
44,2300,1344
45,1600,235
46,1700,552
47,2200,1402
48,2400,1291
49,2200,1366
50,2200,1444
51,1500,316
52,800,135
53,1200,329
54,1800,659
55,1100,436
56,1300,669
57,1300,608
58,500,193
59,1100,328
60,1000,592
61,1100,304
62,2100,1021
63,1600,599
64,1900,1196
65,2200,1382
66,1900,1294
67,2100,1442
68,2300,1416
69,2300,1396
70,2000,1262
71,2300,1313
72,2200,1364
73,2200,1421
74,2200,1251
75,2800,1543
76,2300,1313
77,2200,1513
78,2400,1290
79,2000,1252
80,2400,1224
81,2300,1248
82,1700,999
83,2200,1315
84,2400,966
85,2200,1179
86,1400,601
87,1900,619
88,1900,832
89,2500,1449
90,1900,1162
91,2000,1275
92,1800,1194
93,2100,1284
94,2200,1153
95,2300,1548
96,2100,1182
97,2100,1434
98,2100,1320
99,2100,1375
100,2400,1374
101,2200,1461
102,2300,1450
103,2100,1319
104,2100,1471
105,2500,1597
106,2300,1649
107,2500,1501
108,2400,1455
109,2000,1176
110,2500,1611
111,2100,1350
112,2400,1427
113,2200,1289
114,1900,1350
115,2000,1194
116,2200,1406
117,2100,1355
118,2200,1464
119,2000,1366
120,2100,1359
121,2400,1412
122,2600,1574
123,1900,1282
124,2200,1465
125,2200,1605
126,1900,1258
127,2100,1348
128,2000,1260
129,2400,1378
130,2400,1422
131,2000,1131
132,2400,1508
133,2100,1370
134,2300,1469
135,2300,1426
136,2200,1464
137,2300,1532
138,2400,1544
139,2100,1224
140,2100,1084
141,1900,1297
142,2200,1623
143,1900,1342
144,2200,1144
145,2000,1263
146,1700,1232
147,2400,1417
148,1900,1414
149,1700,1043
150,2100,1426
151,2100,1462
152,2400,1458
153,2300,1460
154,1700,1024
155,2000,1230
156,2100,1576
157,2000,1343
158,2400,1485
159,2000,1282
160,2200,1273
161,1900,1355
162,2300,1231
163,2200,1268
164,2100,1266
165,2400,1520
166,2100,1419
167,1800,1228
168,2300,1336
169,2200,1423
170,2300,1514
171,2200,1520
172,2200,1475
173,2200,1369
174,1700,1201
175,2100,1319
176,2000,1264
177,2200,1442
178,1600,1202
179,1700,1036
180,1600,1254
181,2300,1550
182,2100,1606
183,1900,1203
184,2100,1464
185,1900,1416
186,2100,1369
187,1900,1427
188,2100,1491
189,2200,1296
190,2000,1436
191,2000,1242
192,2000,1465
193,2200,1272
194,2000,1551
195,2200,1328
196,2300,1388
197,1900,1353
198,2300,1673
199,2100,1427
