Step,Best,Average
1,700,41
2,1200,201
3,1300,98
4,1500,284
5,2000,162
6,1900,215
7,1700,225
8,2000,259
9,2100,681
10,2400,577
11,1900,350
12,2400,562
13,2500,594
14,2500,352
15,1900,714
16,2100,382
17,2200,464
18,2100,495
19,1900,816
20,2200,897
21,2700,1258
22,2000,1176
23,1900,363
24,2200,1398
25,2400,1456
26,2200,1415
27,2200,1462
28,2600,1456
29,2600,1500
30,2300,1459
31,2100,1439
32,1200,510
33,2000,1506
34,2500,1034
35,1400,631
36,2600,967
37,2400,1115
38,1800,636
39,2900,1539
40,1400,347
41,1300,397
42,2500,1730
43,2700,1584
44,2200,1421
45,2600,1525
46,2000,1257
47,2100,1354
48,2200,1536
49,2000,1355
50,2200,1388
51,2400,1590
52,2300,1566
53,2300,1536
54,2000,1384
55,2000,1417
56,2300,1561
57,2300,1505
58,2400,1669
59,2300,1602
60,2200,1345
61,2100,1558
62,2400,1686
63,2000,1383
64,2000,1447
65,2600,1679
66,2000,1419
67,2200,1393
68,2000,1278
69,2300,1397
70,2000,1385
71,2400,1660
72,2000,1366
73,2100,1563
74,2400,1693
75,2500,1532
76,2400,1550
77,2300,1568
78,2200,1066
79,2100,1557
80,2500,1042
81,2200,1436
82,2200,1452
83,2300,1383
84,2300,1402
85,1900,1230
86,2000,1106
87,2400,1559
88,2000,1307
89,2300,1166
90,2200,1351
91,2000,1225
92,2300,1466
93,1900,1387
94,2400,1457
95,2200,1564
96,2400,1439
97,1800,1194
98,2400,1539
99,1800,1373
100,1900,1385
101,1900,1021
102,2200,1484
103,2300,1553
104,2200,1425
105,1900,1298
106,2100,1329
107,2400,1738
108,2300,1596
109,2100,1328
110,2500,1679
111,1900,1402
112,2200,1474
113,2400,1540
114,2100,1201
115,2300,1281
116,2300,1533
117,2100,1356
118,2200,1475
119,2200,1380
120,2400,1532
121,2100,1409
122,2000,1441
123,2200,1614
124,2000,1181
125,1800,1176
126,2200,1573
127,2200,1524
128,1300,756
129,1900,1515
130,2200,1382
131,2500,1433
132,1600,1192
133,2000,1380
134,2200,1512
135,1500,1106
136,1800,1082
137,1500,782
138,2100,1184
139,2100,1603
140,2100,1479
141,2500,1631
142,2200,1594
143,2000,1285
144,2600,1486
145,1800,1406
146,2400,1821
147,2400,1707
148,2400,1739
149,2100,1483
150,2100,1425
151,2600,1542
152,2000,1567
153,2000,1305
154,2000,1180
155,2000,1529
156,2200,1560
157,2300,1796
158,2200,1500
159,2200,1624
160,2000,1407
161,1900,1349
162,2100,1513
163,2000,1328
164,1200,999
165,2300,1062
166,2100,1432
167,2300,1664
168,1600,1035
169,2300,1517
170,1800,1324
171,2100,1586
172,2600,2173
173,2100,1461
174,2000,1322
175,1800,1662
176,1700,1200
177,2100,1575
178,1900,1510
179,2100,1646
180,2300,1698
181,1700,931
182,2400,1398
183,2000,1702
184,3000,1901
185,2000,1146
186,2100,1555
187,2200,1505
188,2400,1426
189,2100,1652
190,1800,1172
191,2100,1379
192,2000,1457
193,2200,1388
194,1700,1311
195,2200,1560
196,2400,1449
197,2300,1408
198,2300,1496
199,2300,1362
