Step,Best,Average
1,1300,141
2,1400,66
3,1700,86
4,1700,28
5,2200,164
6,1200,116
7,1900,128
8,1700,342
9,1900,165
10,2000,655
11,2100,526
12,1900,562
13,2100,880
14,2100,914
15,2700,1400
16,2100,1292
17,2100,963
18,2200,1306
19,2500,1687
20,2200,1176
21,2100,956
22,2200,1494
23,2200,1218
24,2200,1299
25,2400,1335
26,2300,1416
27,2400,1280
28,1900,1164
29,1700,784
30,2000,762
31,2100,1446
32,1300,460
33,300,213
34,1700,563
35,0,0
36,1500,535
37,0,0
38,1700,716
39,1800,517
40,2000,755
41,1000,76
42,200,200
43,1700,593
44,2100,740
45,2100,205
46,1300,695
47,1500,710
48,800,326
49,1500,747
50,800,598
51,200,200
52,1500,777
53,1600,433
54,800,426
55,2000,1161
56,100,100
57,1400,348
58,100,100
59,1800,755
60,1200,224
61,300,300
62,1700,664
63,1500,762
64,800,692
65,0,0
66,200,109
67,100,100
68,100,100
69,0,0
70,2100,627
71,200,200
72,1100,251
73,1200,598
74,0,0
75,800,317
76,1500,509
77,300,300
78,200,199
79,400,298
80,1600,670
81,1500,526
82,200,200
83,1800,451
84,1700,752
85,1100,327
86,1700,604
87,2100,1009
88,1800,383
89,2200,927
90,1900,891
91,1700,469
92,1700,631
93,2300,1041
94,2400,1377
95,2400,864
96,1700,327
97,1700,729
98,1400,499
99,1000,484
100,700,223
101,2100,702
102,1500,496
103,1500,409
104,0,0
105,1400,503
106,800,121
107,1800,976
108,2200,1174
109,2300,1222
110,2100,986
111,2500,997
112,1600,608
113,0,0
114,2000,670
115,2000,612
116,1100,520
117,1200,193
118,1900,1001
119,1400,533
120,1800,346
121,1400,766
122,1900,837
123,0,0
124,1100,347
125,800,255
126,100,100
127,2300,528
128,300,300
129,2200,920
130,1400,686
131,0,0
132,700,177
133,1000,140
134,1100,389
135,1000,693
136,1700,563
137,1700,356
138,2200,1090
139,2100,984
140,1700,627
141,2600,1076
142,1400,588
143,2100,987
144,100,100
145,1300,472
146,1800,1170
147,100,100
148,100,100
149,1700,656
150,1300,641
151,1900,732
152,2100,756
153,2000,838
154,1700,857
155,1500,475
156,2000,638
157,200,200
158,1500,438
159,300,300
160,1400,552
161,600,219
162,600,295
163,1500,431
164,100,100
165,800,527
166,1600,619
167,2000,771
168,1000,160
169,200,200
170,2300,898
171,1000,166
172,1800,588
173,2300,708
174,1300,586
175,1100,224
176,100,100
177,1900,899
178,2100,828
179,2100,982
180,1600,363
181,2000,1066
182,2100,1024
183,1100,634
184,1900,620
185,1900,833
186,2300,973
187,2300,1161
188,2200,1332
189,1600,270
190,1600,958
191,2000,248
192,1600,704
193,300,300
194,600,219
195,1000,618
196,2100,1028
197,2300,696
198,1800,786
199,2000,623
