Step,Best,Average
1,200,29
2,900,180
3,1600,70
4,1300,259
5,1300,250
6,1800,351
7,1600,405
8,1600,193
9,1800,412
10,2000,216
11,2100,587
12,2100,410
13,1900,382
14,2400,993
15,2300,921
16,1800,964
17,2000,954
18,2100,1228
19,2200,1209
20,2100,1279
21,2200,1294
22,2200,1451
23,1800,1047
24,1500,485
25,1900,819
26,1400,558
27,2300,1190
28,2100,1102
29,1700,755
30,200,196
31,600,443
32,1000,700
33,500,296
34,500,251
35,100,100
36,800,288
37,900,487
38,500,85
39,900,562
40,1000,690
41,1000,339
42,900,146
43,200,116
44,0,0
45,500,327
46,0,0
47,400,235
48,300,179
49,900,236
50,500,44
51,300,154
52,0,0
53,1100,462
54,600,250
55,400,188
56,400,85
57,0,0
58,700,105
59,0,0
60,700,335
61,700,321
62,500,300
63,1200,510
64,200,147
65,1000,486
66,0,0
67,100,98
68,600,256
69,1400,592
70,1400,557
71,700,316
72,1900,476
73,600,421
74,0,0
75,200,115
76,1200,413
77,1200,399
78,1100,616
79,600,406
80,1300,375
81,2000,1350
82,1800,700
83,600,303
84,700,507
85,200,128
86,200,193
87,600,407
88,900,405
89,1000,456
90,300,213
91,1400,409
92,1400,907
93,600,167
94,900,452
95,400,308
96,800,145
97,900,641
98,0,0
99,0,0
100,100,100
101,1200,298
102,400,139
103,0,0
104,500,293
105,700,373
106,1200,767
107,200,200
108,700,301
109,1500,212
110,100,100
111,1200,330
112,200,101
113,1900,941
114,1700,988
115,2000,1182
116,1500,606
117,100,100
118,900,425
119,100,100
120,100,100
121,1400,494
122,1500,576
123,2200,733
124,1700,840
125,2300,1339
126,1900,786
127,1800,1062
128,1500,646
129,2000,804
130,1100,164
131,1100,470
132,1700,927
133,1800,810
134,1800,538
135,1600,565
136,1900,1091
137,2000,1281
138,1700,1111
139,2500,1481
140,1400,667
141,2300,1148
142,2400,1592
143,2400,1597
144,1800,1013
145,2300,1657
146,2000,1419
147,1900,1232
148,2200,1302
149,2200,1147
150,2000,1388
151,2100,1294
152,2300,1272
153,1500,669
154,200,200
155,1200,434
156,1100,327
157,1900,467
158,1700,597
159,2100,821
160,1000,169
161,1600,483
162,1000,466
163,800,425
164,300,298
165,900,197
166,700,454
167,800,481
168,1000,239
169,900,386
170,600,232
171,100,100
172,200,200
173,200,200
174,200,200
175,100,100
176,2300,1583
177,2200,1466
178,2200,1513
179,2500,1627
180,2200,1513
181,2500,1611
182,2400,1656
183,2400,1672
184,2500,1499
185,2200,1382
186,2100,1074
187,2000,1242
188,2600,1681
189,2300,1426
190,1800,1081
191,2100,952
192,2300,1010
193,1700,594
194,2000,1054
195,1700,273
196,1800,759
197,2100,1017
198,2000,1125
199,1900,995
