Generation,Orientation Variance,Velocity Variance
1,0.0762609208080159,0.019771412430862
2,0.0364490344545333,0.00567158202023658
3,0.0299481124896568,0.00552688414553229
4,0.0393869836758305,0.00363984146958171
5,0.0329030611894195,0.00579466984176062
6,0.0337434824214632,0.00741775318146102
7,0.0309801966340415,0.0038681709112985
8,0.0321069302887035,0.00540568169630162
9,0.0241018859906662,0.00303677648081223
10,0.0226921843257378,0.00151174365168414
11,0.0220174286139267,0.00505348836702608
12,0.0173934356286331,0.00286860445456197
13,0.0220257714268423,0.00243015314801765
14,0.0217511015509831,0.00298069051682286
15,0.0238137828084348,0.00229960168554025
16,0.0226083682930814,0.00137685499035157
17,0.0294494148776101,0.00258426813686429
18,0.0262965420104903,0.00106683854732507
19,0.0229181470324201,0.00639939165704199
20,0.0220141667809038,0.00179769439439142
21,0.0274450484827385,0.00176869414464014
22,0.0245792167966108,0.00264347784314625
23,0.0227501173227662,0.00198253906068056
24,0.0225833554857874,0.00121656337157493
25,0.023079060447081,0.00217229286400488
26,0.0248340867338263,0.00445143910120636
27,0.0248005619591983,0.00222325340547884
28,0.0299513145201066,0.00172051023466246
29,0.026112425183125,0.00122041600879431
30,0.0246416861514542,0.00134244900952866
