generation,averageFitness,topFitness
0,45.5,800
1,162.5,800
2,294,1350
3,502.5,1450
4,473,1350
5,595.5,1400
6,728,1350
7,659.5,1500
8,800,1800
9,892,1550
10,803.5,1650
11,853.5,1450
12,851.5,1400
13,816,1550
14,1003,2000
15,791.5,1550
16,799,1900
17,694,1750
18,960,1650
19,750.5,1800
20,785,1550
21,908.5,1500
22,758.5,1800
23,893,1600
24,843,1700
25,759,1500
26,1022,1750
27,763.5,1700
28,854.5,1350
29,902,1450
30,880,1550
31,1177.5,1700
32,884.5,1550
33,870.5,1700
34,982.5,1800
35,1062,2000
36,748.5,2050
37,859,1900
38,842,2100
39,1210.5,2250
40,1432.5,2250
41,1390.5,2200
42,1438.5,2150
43,1773.5,2350
44,1731,2300
45,1559,2400
46,1565.5,2250
47,1639,2350
48,1572.5,2300
49,1652,2300
50,1618,2350
51,1645,2550
52,1738.5,2400
53,1618,2350
54,1834.5,2500
55,1590,2350
56,1608,2400
57,1647,2350
58,1607.5,2400
59,1414,2150
60,1774,2350
61,1574,2150
62,1589.5,2400
63,1578,2550
64,1477.5,2150
65,1478,2400
66,1362,2350
67,1475.5,2300
68,1262.5,2050
69,1765,2300
70,1598.5,2500
71,1332.5,2150
72,1320.5,2100
73,1555,2250
