Step,Best,Average
1,800,19
2,500,19
3,1300,108
4,700,70
5,1400,310
6,2000,337
7,2100,425
8,2100,402
9,2300,379
10,2200,674
11,2000,447
12,2100,590
13,2100,573
14,2300,936
15,2100,504
16,1900,241
17,2100,197
18,1800,264
19,1800,497
20,2100,114
21,1900,283
22,1900,644
23,2400,966
24,1900,1038
25,1700,377
26,2000,83
27,1600,260
28,900,288
29,2100,1286
30,2000,1019
31,1300,485
32,2000,815
33,2400,1538
34,2500,1684
35,1400,538
36,2100,819
37,2000,740
38,1800,743
39,0,0
40,500,291
41,1100,170
42,600,143
43,1600,477
44,1400,523
45,1500,135
46,2100,743
47,900,483
48,400,113
49,1600,587
50,300,205
51,600,105
52,2000,680
53,500,368
54,200,198
55,700,216
56,100,99
57,0,0
58,100,99
59,300,235
60,400,396
61,200,187
62,200,198
63,0,0
64,1000,772
65,400,202
66,0,0
67,400,209
68,400,369
69,900,118
70,0,0
71,200,198
72,800,494
73,700,484
74,0,0
75,200,198
76,1100,396
77,0,0
78,300,297
79,400,200
80,200,198
81,300,297
82,2300,1021
83,1600,400
84,800,573
85,1000,529
86,400,251
87,1300,426
88,1100,357
89,1600,268
90,1200,420
91,2300,1532
92,2400,1558
93,2800,1553
94,1900,895
95,2300,1307
96,2500,1552
97,2600,1583
98,2000,932
99,1700,827
100,700,329
101,0,0
102,200,198
103,900,504
104,100,99
105,300,297
106,1100,649
107,1700,842
108,600,195
109,0,0
110,200,198
111,1300,557
112,100,99
113,400,272
114,600,110
115,800,411
116,200,198
117,1200,39
118,500,453
119,100,99
120,500,191
121,100,99
122,200,198
123,0,0
124,1500,793
125,100,99
126,1400,334
127,1100,671
128,600,366
129,500,409
130,400,396
131,0,0
132,300,101
133,200,198
134,1200,681
135,500,353
136,0,0
137,200,114
138,100,99
139,100,99
140,100,99
141,800,434
142,500,299
143,100,99
144,1700,634
145,1700,667
146,100,99
147,0,0
148,500,237
149,1500,656
150,300,288
151,1300,132
152,200,100
153,300,145
154,300,297
155,1500,660
156,1300,567
157,0,0
158,800,335
159,400,300
160,400,207
161,500,201
162,200,198
163,0,0
164,1100,411
165,100,99
166,200,198
167,0,0
168,700,236
169,0,0
170,900,504
171,800,601
172,0,0
173,0,0
174,100,99
175,200,198
176,900,532
177,0,0
178,900,297
179,400,361
180,500,214
181,200,101
182,600,406
183,100,99
184,0,0
185,100,99
186,1000,578
187,200,2
188,400,20
189,1700,571
190,100,99
191,100,99
192,100,99
193,0,0
194,800,490
195,200,198
196,1000,438
197,100,99
198,100,99
199,100,99
