Step,Best,Average
1,200,2
2,100,1
3,300,9
4,600,25
5,1300,61
6,800,129
7,1300,141
8,1600,175
9,900,94
10,1900,609
11,1400,551
12,2000,215
13,2300,440
14,1400,424
15,1900,392
16,2100,249
17,1600,443
18,1900,353
19,2000,721
20,1800,396
21,2500,779
22,2000,1129
23,2200,1220
24,2200,1322
25,2200,1159
26,2000,1089
27,1600,394
28,1300,339
29,2300,262
30,2400,1556
31,2500,1581
32,1500,210
33,200,117
34,1600,170
35,400,300
36,1100,482
37,1000,244
38,1100,315
39,0,0
40,500,423
41,800,406
42,1700,1032
43,700,527
44,2400,1717
45,2500,1695
46,2000,1150
47,0,0
48,1000,451
49,100,30
50,1000,529
51,100,100
52,0,0
53,2300,1685
54,2500,1379
55,2100,1440
56,2100,1384
57,2400,1659
58,2200,1490
59,2100,1134
60,2000,944
61,800,775
62,2100,1211
63,0,0
64,1300,366
65,2100,1006
66,2000,1206
67,2500,1635
68,2000,1255
69,2400,1584
70,2100,1284
71,2300,1368
72,2200,1108
73,2100,1138
74,2000,1029
75,1600,1038
76,1800,1099
77,300,300
78,1600,627
79,1500,502
80,1700,695
81,300,16
82,100,100
83,1000,612
84,800,232
85,500,256
86,200,200
87,0,0
88,300,300
89,300,295
90,1900,908
91,1900,702
92,1700,638
93,1500,783
94,1900,721
95,1900,1203
96,2600,1538
97,2100,1071
98,1400,159
99,1700,770
100,1800,996
101,2000,850
102,1900,824
103,1600,505
104,1700,779
105,2100,1028
106,2400,847
107,2500,858
108,2300,1517
109,2200,1446
110,2500,1593
111,2100,1382
112,2200,1425
113,2900,1661
114,2300,1455
115,2100,1476
116,2200,1336
117,1900,1311
118,2500,1427
119,2400,1209
120,2400,1526
121,2100,1235
122,2500,1350
123,1900,1338
124,2300,1538
125,2300,1428
126,2000,1096
127,2200,1370
128,2000,1367
129,2400,1642
130,1800,1184
131,2200,1224
132,2600,1257
133,2100,1399
134,2200,1521
135,2300,1141
136,2200,1443
137,2500,1361
138,1600,987
139,2400,858
140,2400,1432
141,2000,521
142,1900,319
143,1900,746
144,1700,560
145,800,326
146,2200,1229
147,1700,855
148,2000,1083
149,1600,956
150,2200,892
151,2000,1111
152,2200,748
153,1700,874
154,2200,1400
155,1700,839
156,2200,1181
157,2000,1163
158,2100,1342
159,1700,700
160,2000,1118
161,2400,1508
162,1800,632
163,1800,1006
164,1600,596
165,2100,1245
166,1400,515
167,2000,1143
168,1100,308
169,1700,1047
170,1900,749
171,2200,739
172,2100,1281
173,2100,943
174,1600,597
175,2000,1095
176,2100,1197
177,1200,524
178,2200,1073
179,1900,1100
180,1900,924
181,2200,1252
182,1700,483
183,2200,1378
184,2100,1089
185,1800,860
186,2000,1233
187,2000,851
188,300,296
189,0,0
190,0,0
191,1800,635
192,1600,790
193,1600,702
194,1600,538
195,1500,787
196,1900,558
197,1900,1020
198,2300,1538
199,0,0
