generation,averageFitness,topFitness
0,277.5,1050
1,247.5,1050
2,441,1150
3,484.5,1750
4,658.5,1650
5,860.5,1750
6,1304.5,2150
7,1273,1900
8,1133.5,1650
9,1592.5,2350
10,1170,2050
11,1399,2550
12,1586.5,2400
13,1678.5,2250
14,1559,2150
15,1301,1800
16,1415,2400
17,1450,2050
18,1701,2350
19,1426.5,2100
20,1521.5,2050
21,1795.5,2350
22,1815,2600
23,1446.5,2100
24,1417,1900
25,1229.5,2150
26,1731.5,2300
27,1349,2150
28,1281,2200
29,1182,1700
30,1239,1900
31,1393.5,1950
32,1388.5,2050
33,1302,2050
34,1502,2100
35,1518,2200
36,1168.5,1750
37,1667,2500
38,1560,2200
39,1641,2300
40,1519.5,2000
41,1359.5,2000
42,1245.5,2000
43,1410.5,2150
44,1391.5,2350
45,1527,2000
46,1987,2600
47,1612.5,2150
48,1446.5,2200
49,1599,2150
50,1272,1800
