Generation,Orientation Avg,Orientation Stdev,Velocity Avg,Velocity Stdev,Count
0,0.131283829671,0.00627735226996,0.0756538600939,0.0189337711712,10
1,0.106653982452,0.0108241795202,0.0388201791914,0.0149727147896,10
2,0.098166553798,0.0150458634709,0.0250382412946,0.00852380278864,10
3,0.0849456450671,0.0168241882121,0.0188470174824,0.00702933807119,10
4,0.0763177008377,0.0164751399674,0.0138094013823,0.00736200915406,10
5,0.0800868669452,0.0149924572291,0.0148922035338,0.00837720498007,10
6,0.0739818338217,0.0180384550786,0.0120934695318,0.00472636436799,10
7,0.0723986473277,0.0165080245446,0.0119818365017,0.00742262447443,10
8,0.0600072430463,0.0206549272816,0.00902367197975,0.00640670410373,10
9,0.0686357166646,0.0182924335838,0.0114251760952,0.00849072443028,10
10,0.072687817821,0.0194269421792,0.0113867225835,0.00937838199458,10
11,0.0735136736781,0.0114942418856,0.00812273336382,0.00565911741917,10
12,0.0597891024836,0.0248470556716,0.0066307180507,0.00567937712704,10
13,0.0608948038927,0.0111948375427,0.00986559690829,0.00764527657793,8
14,0.0474223746288,0.0212280625624,0.00621972572362,0.00453858154567,8
15,0.0565667885262,0.00970496351347,0.00809488898045,0.00597527652273,7
16,0.057156174831,0.00715273369493,0.0064575181644,0.00384729476821,7
17,0.0586677265407,0.0114560777241,0.00645945670528,0.00474655092397,6
18,0.0562981016961,0.0160878982525,0.00702540679123,0.00582718767559,6
19,0.0528319607241,0.0154084017312,0.0058902000425,0.00464245889913,6
20,0.042101281375,0.0150660918678,0.00657994674587,0.00549999175578,6
21,0.04596012492,0.0146741536246,0.00534449982982,0.00413384835572,6
22,0.0536896607418,0.00993185796834,0.00506466822907,0.00426732131091,5
23,0.0599194968176,0.00815421032747,0.00477349131207,0.00267505273529,4
24,0.0603154017866,0.00602018349081,0.00542184915524,0.00387346419814,4
25,0.0488614386631,0.0142317336333,0.00398855686133,0.00281347428639,4
26,0.0546256217188,0.00883746058891,0.00318541825951,0.0028970590304,3
27,0.0523066252576,0.00929183375939,0.00362679133729,0.0024972044592,3
28,0.0521406128708,0.0116402035574,0.00550451399037,0.00572693878166,3
29,0.0509737529478,0.00938656652969,0.00523447559759,0.00461222740419,3
30,0.0520183951621,0.00707433908146,0.00651663206307,0.00369969597297,3
31,0.0533344119614,0.00960976968946,0.00297718626903,0.00255875414443,2
32,0.0535621866052,0.00708130801093,0.00406137437655,0.00289310816805,2
33,0.0413882289143,0.0,0.00404693107907,0.0,1
34,0.0468519754262,0.0,0.00523978031208,0.0,1
35,0.0499537126975,0.0,0.00181245829086,0.0,1
36,0.0544420802932,0.0,0.00231887768062,0.0,1
37,0.054096422972,0.0,0.00607510237034,0.0,1
38,0.0494789081897,0.0,0.00592499870586,0.0,1
39,0.0480293639664,0.0,0.00734713407271,0.0,1
40,0.0459415533497,0.0,0.00386066670665,0.0,1
41,0.0423824651881,0.0,0.00291079102892,0.0,1
42,0.0421847220311,0.0,0.00395667809237,0.0,1
