Step,Best,Average
1,600,6
2,700,9
3,1000,126
4,1400,256
5,1700,161
6,1600,227
7,1800,458
8,2000,612
9,1900,539
10,1800,507
11,1800,300
12,1900,359
13,1500,506
14,1900,452
15,2300,970
16,2400,762
17,1900,514
18,2300,646
19,2400,964
20,2300,1199
21,2200,759
22,1400,242
23,1500,286
24,2100,35
25,1000,345
26,1400,721
27,2200,1478
28,2600,1670
29,2200,1299
30,1300,462
31,2600,1215
32,1200,328
33,500,204
34,700,275
35,900,472
36,300,223
37,300,7
38,300,299
39,900,460
40,0,0
41,700,190
42,400,301
43,1100,208
44,0,0
45,700,157
46,600,228
47,900,269
48,600,244
49,1100,381
50,1800,595
51,2400,1220
52,1800,749
53,1200,315
54,1200,360
55,2100,1121
56,1500,858
57,2200,1561
58,2500,1421
59,2300,1023
60,1200,615
61,1500,585
62,2000,319
63,2600,1062
64,2000,934
65,1800,517
66,1700,518
67,1700,984
68,1900,1052
69,2300,568
70,1300,336
71,2000,498
72,1600,559
73,1700,508
74,800,109
75,500,241
76,1800,333
77,2000,438
78,2000,625
79,1700,251
80,2200,1179
81,1800,547
82,1400,741
83,2500,1747
84,2100,1251
85,2300,902
86,2300,1657
87,2300,1487
88,2500,1450
89,2100,1118
90,1900,535
91,2100,1182
92,2100,966
93,2100,430
94,2700,1247
95,2000,636
96,2300,1458
97,2300,1250
98,1300,264
99,2200,1058
100,2200,1024
101,1800,704
102,0,0
103,1600,594
104,400,207
105,2100,557
106,300,217
107,1400,576
108,300,300
109,600,406
110,600,530
111,600,354
112,800,284
113,200,200
114,1500,707
115,800,212
116,600,408
117,1100,507
118,700,510
119,0,0
120,300,102
121,200,200
122,1500,767
123,900,431
124,100,100
125,900,652
126,400,362
127,1300,583
128,500,211
129,700,290
130,100,100
131,500,302
132,1300,542
133,0,0
134,100,100
135,1200,979
136,100,100
137,500,189
138,400,142
139,500,500
140,900,584
141,800,595
142,200,200
143,100,100
144,300,256
145,500,279
146,800,386
147,100,100
148,800,300
149,300,300
150,200,137
151,200,200
152,600,240
153,100,100
154,500,500
155,100,100
156,200,125
157,200,200
158,900,267
159,500,417
160,600,478
161,800,588
162,100,100
163,500,483
164,200,200
165,0,0
166,600,558
167,100,100
168,900,437
169,200,200
170,300,276
171,200,200
172,700,543
173,400,375
174,700,427
175,300,300
176,700,156
177,300,300
178,600,234
179,1000,325
180,100,100
181,100,100
182,1000,280
183,500,472
184,0,0
185,300,300
186,300,300
187,1700,776
188,100,100
189,1200,773
190,600,210
191,1200,656
192,0,0
193,1300,872
194,1100,588
195,200,200
196,500,500
197,200,200
198,400,400
199,300,300
