Step,Best,Average
1,400,10
2,1000,20
3,1200,122
4,1200,132
5,1500,190
6,1600,314
7,1400,164
8,1500,324
9,1900,399
10,1700,439
11,2000,201
12,1700,354
13,1600,415
14,1900,458
15,2000,853
16,2300,875
17,2100,667
18,2000,820
19,2100,1017
20,1800,628
21,1700,577
22,2300,909
23,1100,221
24,900,203
25,2300,1355
26,2500,1489
27,2300,1564
28,2200,1294
29,2100,1296
30,1200,333
31,1000,182
32,2300,1342
33,2200,1468
34,2300,1484
35,1600,767
36,200,196
37,1100,381
38,1800,937
39,1800,465
40,1100,573
41,100,69
42,0,0
43,1000,243
44,400,388
45,1800,811
46,1900,579
47,900,142
48,800,459
49,700,134
50,100,99
51,900,249
52,0,0
53,700,353
54,0,0
55,1500,820
56,1800,302
57,1900,852
58,2000,769
59,2100,909
60,2000,618
61,2400,1023
62,2100,1415
63,2100,1106
64,2300,1631
65,2500,1460
66,2200,1468
67,2500,1622
68,1900,1130
69,2400,1655
70,2200,1538
71,2200,1411
72,2200,1477
73,2500,1502
74,2500,1720
75,2200,1467
76,2300,1498
77,2400,1506
78,1900,1320
79,2700,1701
80,2200,1325
81,1900,1262
82,1900,768
83,1900,683
84,2300,852
85,2200,1401
86,2400,1073
87,2100,1082
88,1900,701
89,2300,650
90,1400,362
91,2300,1304
92,2000,1088
93,2200,1047
94,1900,578
95,2000,324
96,2100,847
97,2200,1110
98,1900,1025
99,1700,424
100,1900,882
101,2400,863
102,2300,919
103,2400,1296
104,2000,1047
105,2600,1169
106,1600,783
107,2100,1071
108,2000,550
109,1900,633
110,100,100
111,2000,1007
112,1600,777
113,1400,545
114,1600,670
115,1700,727
116,200,200
117,2200,845
118,2000,673
119,200,200
120,1600,548
121,1400,347
122,2200,974
123,2000,953
124,1700,270
125,0,0
126,1800,617
127,1800,630
128,0,0
129,2100,930
130,1700,684
131,1400,515
132,1700,710
133,1300,299
134,100,100
135,2200,1069
136,1700,796
137,1200,334
138,1400,704
139,1400,505
140,1900,355
141,0,0
142,1900,692
143,2300,805
144,300,122
145,1700,474
146,2100,433
147,1800,579
148,1800,523
149,2100,1008
150,400,400
151,0,0
152,1000,356
153,1300,555
154,200,200
155,1200,640
156,2200,760
157,0,0
158,0,0
159,1700,625
160,400,244
161,1200,624
162,2000,963
163,2100,646
164,900,392
165,1500,690
166,200,200
167,1200,626
168,200,200
169,1900,923
170,200,200
171,1000,557
172,1700,259
173,2200,1067
174,0,0
175,2500,1170
176,1600,272
177,500,308
178,2100,810
179,2100,895
180,1200,670
181,1600,518
182,500,352
183,2200,758
184,1200,424
185,1800,400
186,100,100
187,600,397
188,200,200
189,0,0
190,2400,874
191,1700,823
192,0,0
193,300,300
194,400,287
195,1800,427
196,1800,570
197,1800,765
198,1500,710
199,1900,908
