Generation,Baseline-Average,Baseline-Average-Stdev,Baseline-Champion,Baseline-Champion-Stdev,Social-Average (Darwinian),Social-Average-Stdev (Darwinian),Social-Champion (Darwinian),Social-Champion-Stdev (Darwinian),Social-Average (Lamarkian),Social-Average-Stdev (Lamarkian),Social-Champion (Lamarkian),Social-Champion-Stdev (Lamarkian)
0,11.5,0.707106781186548,900,424.264068711929,6.25,0.353553390593274,275,35.3553390593274,53,33.9411254969543,800,282.842712474619
1,17.5,12.0208152801713,775,388.908729652601,24.25,17.3241161390704,425,247.487373415292,52.25,24.3951839509359,750,353.553390593274
2,259.75,367.341972826411,925,1308.14754519511,368.5,221.324422511389,1150,424.264068711929,79.5,2.82842712474619,900,141.42135623731
3,128,181.019335983756,725,1025.30483272049,261.25,318.55160492454,900,848.528137423857,120.25,76.0139789775539,850,212.132034355964
