generation,averageFitness,topFitness
0,30.5,1100
1,226.5,1150
2,762.5,2250
3,830.5,1850
4,1287,2700
5,603,1600
6,967,2250
7,507,1650
8,1407.5,2700
9,831,2650
10,1058,2950
11,590.5,1450
12,1258.5,2350
13,671.5,1850
14,763.5,2000
15,309.5,2250
16,1126,2600
17,918,1950
18,1328.5,2450
19,909,2300
20,1939,2900
21,1456,2650
22,1569,2750
23,1612,2850
24,1645,2650
25,1388,2550
26,1907,2850
27,1415.5,2700
28,1382,2700
29,1646.5,2700
30,1578,2500
31,1249.5,2800
32,1110,2500
33,1708,2600
34,2188.5,2850
35,2375,2950
36,2338,2850
37,1644,2400
38,1349,2750
39,1237,2100
40,1474,2550
